Date,Weighted Sector Change,PAG Change,TILE Change,FLXS Change,HOFT Change,ETH Change,CLX Change,USNA Change,ABG Change,GT Change,CENTA Change,CENT Change,RUSHA Change,BSET Change,OI Change,SON Change,LAD Change,GPI Change,CTB Change,KMB Change
2011-04-18,0.0156154757471944,0.0227152825273972,0.0066926341239452,-0.0479078212746062,0.0155101698272079,0.0161435256801837,-0.0010100965619285,-0.0014551582122348,0.0078218504333479,0.0255548162317039,0.0218580077899043,0.0189309671447497,0.0062801526072386,-0.0181817719430634,-0.0006761479991635,0.000575387190145,0.0454232525493066,0.0027596740759455,0.0056634830455452,0.0084355771128364
2011-04-19,0.0032730202541873,-0.0205128009502704,0.0033463170619726,-0.0153846153846153,0.0265914526803858,0.0153307219728151,-0.0073593378610614,0.0055898386974588,-0.008328339922442,0.0052287531182189,-0.0021253458462972,0.0153172192986529,-0.0205446195885074,-0.0012300404355558,0.0077860370720378,0.0112133238452151,-0.0294695972134474,-0.011973049149648,0.0180144424013535,0.0033536563915982
2011-04-20,-0.001319876530085,0.0304123795973862,0.003814697186323,-0.0212121443314988,0.0054730019572319,0.0101608705584599,0.0002887601886845,0.0046538639453532,0.0111699313051747,-0.0070153449113932,0.006315833643863,-0.0042417773656986,-0.005741621292417,0.0024420584601221,-0.010901880367214,-0.0044855580494929,0.015862509537531,0.0340456976824103,0.0019253425387449,0.0040909173388257
2011-04-21,0.0092618932206413,0.0094105310392876,0.0064446254820741,-0.0305105720680302,-0.0115651942263956,0.0099667679351564,0.001873429234204,-0.0143843505219693,0.0262391121252991,0.019157100489017,0.0165974939537149,0.0169312011260825,-0.0052108293307022,0.0048721025173168,0.0019973190450659,-0.0150269002670288,-0.0116807467201894,0.0136559576402289,0.0079969186078563,-0.003169292712104
2011-04-25,0.0007706058501485,-0.011274487575353,-0.0042507930394948,0.0051216340776043,-0.0109975958116842,-0.0004127209686653,-0.0033444196417921,0.0205038305639718,0.0215786000906342,0.0093283345299731,0.0071720997113378,0.0094044049590266,-0.0095238004411968,0.0080553109181447,0.0013315248655012,-0.0120794356661793,-0.0059132819322519,-0.0339249242524163,0.0117070007043073,-0.003567526015409
2011-04-26,-0.0076214293464538,0.0059434833437645,-0.0005339150627998,-0.055133073528593,-0.0095162481226188,0.0214610180597502,-0.0030536439541009,0.0255967609413623,-0.0588888592190212,-0.0219245194079691,0.0162272623385004,0.0259605396707219,0.004786974990632,0.0067416204706093,0.0115970966842469,0.0026087000750115,-0.005940541331994,0.0138639513465979,-0.0022564673034249,0.0074614934404156
2011-04-27,0.0032811496258586,0.0098328791267981,0.0278671201509033,-0.0451827439573325,-0.0240000152587892,0.0176778041320726,0.0062500041584636,0.0168066795881966,-0.0112961080561781,0.0012391857819089,0.0099899525982908,0.0111111731909232,-0.0066730155556873,0.0055494105954167,-0.0038935409822511,0.0051843404045862,0.0236794968583174,0.03144020592402,0.0003773671276164,-0.0023024109022677
2011-04-28,0.0086942278242831,0.0340807289185366,0.0026455632496497,-0.0117647113175008,0.0073710198449396,0.0708164045747116,0.0111562490569651,0.0449036116356463,0.0362756010223572,0.007462738793704,0.010934359054573,-0.0060000419616699,0.0081378917232206,-0.029768413800877,-0.0289902695400407,-0.0037249588089225,0.0579881399027838,0.0415140593715928,0.0034052270733523,0.0103220165629393
2011-04-29,0.0105275068940749,-0.0314519418798552,-0.0215223025633765,0.0014015068989346,0.0113820640225594,0.0117597939070102,0.0012937180922807,-0.0256008248037443,0.0075712964582968,0.0156686494766211,-0.0186091654920095,-0.0171025281485045,-0.0004747993938598,0.0067644216900594,-0.0040282254295217,-0.0054675863801144,0.0150669897664147,0.006548236786369,0.0033469748839986,0.0070122071782584
2011-05-02,-0.0111777464377733,-0.0266074720364071,-0.0069111730174143,0.0048712383703332,-0.0322320405679688,-0.0251650419187864,0.0031532353631692,-0.0265843618111124,-0.0173511352529636,-0.0273972602739728,-0.0209163385403252,-0.0163099688320583,-0.0360873351031554,-0.0100670249594929,0.0349462029630428,-0.0011540945096204,0.0033112286514066,-0.029534894366597,-0.0184979647539197,0.001208768931428
2011-05-03,0.0020799539105122,-0.0050159876343276,0.0080863359594766,-0.0087837914030773,0.0008333524068192,-0.0148053503873756,-0.0001482237067708,-0.0123321661342921,-0.011255843374127,-0.0067492032957867,0.0161616977021844,0.0238342492230767,-0.0182805802759741,0.0170260625863625,0.0292397530361575,0.0066822594180467,-0.040861388524481,-0.0060009601756043,-0.0101886965193838,0.0154685919033645
2011-05-04,-0.0043581321931784,0.001377354377921,-0.0021344188189561,0.0,-0.0109519895277398,-0.0175513628724145,0.0059268267675206,0.0161380593549512,0.0017984879345335,-0.0084554464749478,-0.0188119333545976,-0.0071066645469603,-0.0030425934796095,-0.0507327863665212,-0.0009502305855832,-0.0089286106679675,-0.0282583487200855,0.0067550970842736,-0.0240274285760842,0.0050821872234143
2011-05-05,0.0060775952374714,0.0046189553455759,0.0297780814756993,-0.0168918916741976,-0.0462328722383454,-0.0334066034673333,0.0134755468467203,-0.0016438732408499,-0.0036231562727872,0.0046029877772747,0.0953347430819679,0.060724768192225,0.0230650353312857,-0.0130640921235788,-0.0035087913560785,0.0128881795334671,-0.0107913850049466,0.0048239451846575,-0.0086409788399665,0.0036041587909157
