Date,Weighted Sector Change,BDC Change,CULP Change
2011-04-18,0.0092901002285085,-0.0013657262012286,-0.0022345815101195
2011-04-19,0.0150359010185346,-0.0040916946673007,-0.021276654822452
2011-04-20,-0.0057688778322134,0.0077664947601037,-0.0078563070732877
2011-04-21,0.014270029583851,-0.0029061241767154,-0.0045197695060872
2011-04-25,0.0057015787998668,-0.0002661558207327,0.0214931648307358
2011-04-26,0.0011328666597897,0.0288283552763334,0.0033223352749354
2011-04-27,-0.0089907413413779,0.0194805194805195,0.021017652785958
2011-04-28,-0.0042481877458761,-0.0112158713189704,0.019607771842881
2011-04-29,0.0086477459395592,-0.0243714924088207,0.0610526235480056
2011-05-02,-0.0144938395295408,0.0240209399991933,-0.0099010274943349
2011-05-03,-0.0269426918064787,-0.0168970769126345,-0.0120360965240818
2011-05-04,-0.0168189688023877,-0.0117279326418097,-0.0253807096769571
2011-05-05,0.0031614426528803,-0.0007993280115273,-0.0083682922457005
2011-05-06,0.0099318603604717,-0.0141918771709562,-0.0031513324793006
2011-05-09,0.017999701070966,0.0214937993235625,0.0052520204470969
2011-05-10,-0.0026838682184526,0.0190451215070093,0.028242624711117
2011-05-11,-0.017498065199632,-0.0267627611732541,-0.0112590179321999
2011-05-12,2.7562647065444836e-05,0.0253198494495987,0.0352696251872104
2011-05-13,-0.0146838616368275,-0.0221066910780829,-0.0160642416465168
2011-05-16,-0.0011125858813004,-0.0152733038447282,-0.0420081801021722
2011-05-17,-2.425069977475977e-05,-0.0134689847190864,-0.026881719878787
2011-05-18,0.0146870775442913,0.0333333545260958,-0.0022075559423117
2011-05-19,-0.0113375465919169,-0.0159786547619666,-0.00770921755643
2011-05-20,-0.0079196208093274,0.0010917280620546,0.0167410287825506
2011-05-23,0.0287816046193449,-0.0047846376241466,0.008938539152061
2011-05-24,-0.006644838538628,-0.0225034951963249,-0.0339911699377591
2011-05-25,0.0218964204689906,0.0271597402522967,0.0249715440267894
2011-05-26,0.0062520074147917,0.0076292868725689,-0.0166851637763296
2011-05-27,0.0126958815295362,-0.0050195287817096,-0.0124013143288009
2011-05-31,-0.0125120398673054,-0.006633545506976,0.0067720566525621
2011-06-01,-0.0274469822512373,-0.0479911052840476,-0.0314606455025252
2011-06-02,0.0068958281050792,0.0070092830608844,-0.0290697661524144
2011-06-03,0.0085300706258062,-0.0109467142081787,-0.0133656941428404
2011-06-06,-0.0183439056207537,-0.0081008233702556,-0.0160098665360961
2011-06-07,-0.0094678157871604,-0.0065868625943825,-0.0161691685395178
2011-06-08,-0.0022628235529618,-0.019744767537527,0.0050890535844231
2011-06-09,0.0154574021733428,0.0086313996870395,-0.0265151560762659
2011-06-10,-0.0115874477823288,-0.0240518248321143,0.0052424588798263
2011-06-13,-0.0184273823523626,-0.0212765462236045,-0.0440414099729259
2011-06-14,0.0118186040832607,0.0129215207477817,0.0174029609226513
2011-06-15,-0.0215133826885165,0.0037819363682518,-0.0145888771977354
2011-06-16,-0.0345340228849458,0.0135092176832492,0.0308724865720733
2011-06-17,-0.0359883773711806,-0.0024570585896938,0.0504304848266665
2011-06-20,0.0048107132930903,0.0095856948617302,-0.0339578411180814
2011-06-21,0.0278892756991833,0.0121286092004529,-0.0071856786677341
2011-06-22,-0.0073516844392685,0.0009060337887005,-0.0277442151139548
2011-06-23,0.0173126522448891,0.0104198633606581,0.0176322248711172
2011-06-24,-0.0098634907210842,-0.0205438168133884,0.0470879961351962
2011-06-27,0.0142674246368919,0.0185472122757082,0.1091548475979273
2011-06-28,0.0097306797947735,0.0228032840960177,0.0369979260103983
2011-06-29,0.0137428583998846,0.0085647049704626,-0.052899237856078
2011-06-30,-0.0059281806535598,0.0192982407218925,0.0010661224690648
2011-07-01,-0.0077774599911843,0.040170937570031,0.0510638846159544
2011-07-05,0.0079514261230849,0.0049301647069542,0.0010029363028792
2011-07-06,0.0020122620943231,0.0013675939601323,-0.0221774461025003
2011-07-07,0.003177197835261,0.0127060660902718,0.0282257793163039
2011-07-08,0.0303752134363778,-0.0032626138082505,0.0029999732971192
2011-07-11,-0.0152902721601589,-0.0019395869916391,-0.0517766709777263
2011-07-12,0.0036250305351708,-0.0013998614235444,0.0342979311297902
2011-07-13,0.002413979755888,0.0245877963371659,-0.0051282246907552
