Date,Weighted Sector Change,GPX Change,GCO Change,BIG Change,FIVE Change,TRI Change,GPS Change,NSIT Change,MG Change,EQC Change,STWD Change,PENN Change,MGM Change,BKE Change,M Change,ATGE Change,NCLH Change,BLMN Change,BBY Change,LVS Change,WWE Change,STRA Change,IMKTA Change,CATO Change,LB Change,FC Change,HIBB Change,RCL Change,GMLP Change,DX Change,BBBY Change,APEI Change,AGNC Change,STON Change,URBN Change,IGT Change,KSS Change,BECN Change,BJRI Change,ANDE Change,WMT Change
2011-04-18,0.0144194533237149,0.0068285394919565,0.0040619408451719,-0.0111059585534302,0.0,0.0119349261873535,0.0153775323920428,-0.0131654007599479,0.0090191572421888,-0.0138420852308705,-0.0023051840302887,0.0062517104866546,-0.0014502903658217,-0.002704530028366,-0.0016694077507136,0.0048609760551534,0.0,0.0,0.0252631338019119,0.0502754489822351,0.0098214832343625,-0.0031580227460317,-0.0118534116209534,-0.0076985628731038,0.0133797167324344,-0.0189099088567385,0.0016596834318471,0.0113914292327078,0.0150529227169181,0.0031315293425414,0.0074033918292602,0.0038323316745415,0.0,0.0172481587655754,-0.0009858917628864,0.0199228443176365,-0.0045454141522234,-0.0027816164483663,0.0011941542473378,0.0034151514644466,0.0043330733666585
2011-04-19,-0.0105188039039678,-0.0300074734298323,0.0073232557247917,-0.0180032838326494,0.0,0.0222499847412107,-0.0045829689673847,-0.0143926302775603,-0.0077606036525513,0.0034775948804639,0.0023021090686521,-0.0059395057760884,-0.0362318835571968,-0.0081227436823105,0.0,-0.0426970470660402,0.0,0.0,0.0130048280987315,-0.0169638709669925,-0.0211081595016535,-0.0176836638222019,-0.0178185699540691,-0.0174796869312115,0.0063408636233074,-0.0011274215344824,-0.0096339738832377,0.0084970710600309,0.006043498000588,0.0020811469337898,-0.0003579820681233,-0.0187693255562692,-0.0007049861534023,0.0293436386129552,0.0294791876281861,-0.0075424190263961,-0.0064638814154181,-0.0055478010421018,0.008289873614439,0.0154366375375528,0.0016898264255391
2011-04-20,-0.0046998524483997,-0.0015267524565848,0.0272008488173355,-0.0063753637023481,0.0,-0.0019402866176476,-0.0045475389954786,-0.0080275970590522,-0.0082872715673442,-0.0022891822982901,0.0040964927703851,0.0029545970053406,-0.0190336919316358,0.0132227475910785,0.0103050287568576,-0.0353646450498451,0.0,0.0,0.008375209273203,-0.0054229936719052,0.0071493190688422,-0.0094560439616566,0.008597519729425,0.026993857947543,0.0152849786505418,0.0,0.0054630090031438,-0.0157662656321003,0.0217821480023977,-0.0072689196576411,0.0092035479250206,-0.0064888357078394,0.002805046368233,-0.0007454512791852,-0.0135946382939052,-0.0037336320523831,-0.0036080255841154,-0.0009187164604095,0.0104651340218477,-0.0075433011876071,-0.0011163046193678
2011-04-21,0.0013767350700894,-0.0068285394919562,-0.0071650165921569,-0.0149572001280621,0.0,-0.0063000274617529,0.0,0.0011527641108891,0.0195530943535553,0.0122137284544231,0.0058930393572718,0.0304124031317879,-0.0103473312942697,-0.0254945044000258,-0.0174867955472755,0.0067402336034631,0.0,0.0,-0.0098619078339295,-0.0015204103699445,-0.0008826327404391,0.0062903629865274,-0.0205695890548766,-0.0103958507198086,0.0005082708650377,-0.0285087973842553,-0.0005442301432291,0.0083681924889771,0.043261834780238,-0.0093847915699566,0.0052631445098341,0.0346973135001941,0.0024382307351138,0.0234026433499673,0.0169708835867488,0.0111455299955089,-0.0097069304785592,-0.0091158048345983,0.0733056760460319,-0.0065067037990756,-0.0044592691402896
2011-04-25,0.0019471535372173,-0.0152788240591117,-0.0275977384620736,-0.0158691955996793,0.0,-0.0051094669651844,0.0141102131533786,-0.0213011411258934,0.0032804517735942,0.0041713575844592,-0.0004491887981856,0.0050000321630247,-0.0014969689074325,0.0319655635428995,-0.0066252525854842,0.002043704751633,0.0,0.0,0.009695784587322,1.1583053688266559e-16,0.0052723607503523,-0.0020833333333333,0.0048387177818314,-0.0032401750496402,0.0252100293412094,-0.0419978231112838,-0.0029932138871173,-0.0038930110546029,-0.0283842355272979,-0.0010526556717723,-0.0125676594378965,0.0160651598242663,0.0003469892084569,-0.0043321601418131,0.0034601667139055,0.0016844855443638,0.0023076717670148,0.0,0.009225494519309,-0.0124565792893024,-0.0042910363579091
2011-04-26,0.0060984191121597,0.0170146410024776,-0.0056636182905572,-0.0113911154901956,0.0,0.0051169366420068,0.0224315827484645,0.0176159263044421,-0.0070499492597698,0.0060491433949708,0.009404346872686,-0.011391799062094,-0.0030627841169856,-0.0039343836180719,0.0149192135463019,0.0185034534722509,0.0,0.0,0.0108659833581481,-0.0034519925065682,0.0034812848259207,-0.0094221400028561,0.0095339148928476,0.0122549489386866,0.0116595730586423,0.0710900961256301,0.0076004011437878,0.0143005525260813,-0.0166666949236835,0.0168420892012746,0.0040421711084089,0.0125857946786807,-0.0058620715963429,-0.0032374156495625,0.0203125476837158,-0.0123317999704488,0.0195739866785005,0.003661323675486,-0.0078823805434507,0.012373614064833,0.0097396603054559
2011-04-27,0.0053146400850127,0.003810990180716,0.0093873782710581,-0.0017148382005769,0.0,0.0024278293797639,0.0114135303355921,0.0080971302623073,-0.0065324351524856,0.015043234909171,-0.0008849667747571,0.0017447506084285,-0.0007710276542751,0.0067788982445103,-0.000406844138034,0.0697211144782272,0.0,0.0,0.0003258464877098,0.003670163747034,-0.0156522004500679,0.0197728103011527,0.0015697947848637,0.033454249962618,0.0056220861181662,0.0122086186329539,0.0212938260921604,-0.0027624462881614,-0.0003772247753865,0.0082559261657265,0.0010491585020426,-0.0226346761677782,-0.0089531756434214,-0.0075322485937578,0.0137824480003626,0.0045377156843027,0.0035740900536935,0.0096021525566623,-0.0040974472953532,-0.0064895497523832,0.0100222177083371
2011-04-28,-0.0080587783314453,0.0015231914634454,0.0019592949490532,0.0024588712397511,0.0,-0.0195551024210318,0.0139494196763044,-0.0005740659493707,0.0021954400128891,0.0100000169542101,-0.0004434120890688,-0.001990557707754,-0.0170542108418727,0.006548745695009,-0.0178499205219806,-0.0194720261842079,0.0,0.0,0.0039062774061078,-0.0025873812811214,0.0070484511909501,0.0101356473434546,-0.0026218792795324,-0.0058662346625147,0.0019545080811374,0.0021954400128887,-0.0018538055597398,-0.0498687702266107,0.0026636108445685,-0.0071574979798616,-0.0061167822675914,-0.0125000209720042,0.0038154911773381,0.0054367385900942,0.0015732925103917,-0.0079141488281773,-0.0013167737965602,0.0177191906221188,0.0163114399188077,0.0045036075245666,0.0073677970977385
2011-04-29,0.0019719422217027,-0.0060744057131824,-0.0141601081377292,0.006611176708004,0.0,0.0089753329562067,0.0004304876917302,-0.0137930905965408,0.0,0.0018287943226587,0.0084070273583998,-0.0052212379635441,0.000790531951257,-0.0157940490222224,-0.0103476821845582,0.0101203476189391,0.0,0.0,0.0103559773066249,0.0131464822326369,0.0076701746275457,-0.021407687517734,-0.0041906717164278,0.0023575427954308,0.0017035700794419,0.0098576288564922,-0.0002646767924885,-0.0030044801204503,0.0113207259268128,0.0133333124666131,-0.0128385426380637,-0.0123889386259957,0.0048326303181006,0.0133381702338235,-0.0131702754572734,0.0051136449225675,-0.0064090510363359,-0.0057906932604581,0.0047079225948692,0.0073036475749159,0.0104760098588998
2011-05-02,0.0011361412019556,-0.0592254919098438,-0.0285433037606682,0.0075646992863313,0.0,-0.0017339533484339,-0.011622921355326,-0.0360465588216311,-0.0087003726330831,-0.0036509118784021,-0.0140227555951393,0.000252107854526,0.0195924761375892,-0.012472668540368,-0.0073891749041785,0.0007548046718845,0.0,0.0,0.0015923931533957,0.0029554442221911,0.0296651124664947,-0.014542805495003,-0.0358648961319852,-0.0168363465059375,-0.009194315298329,-0.0356756674276815,-0.0089638847838737,-0.0215133274339473,0.0093457943925234,-0.003015080450175,0.0005348056115898,0.0118287200043823,0.0017153051479766,-0.0252579500677715,0.004098394417698,-0.0174353971495545,-0.0119827633678499,-0.0303571569980412,-0.0252873379949439,-0.0204286090833038,-0.0007262330101228
