Date,Weighted Sector Change,ARLP Change,CNQ Change,VLO Change,BC Change,EOG Change,EQT Change,DKL Change,PXD Change,MPC Change,GLP Change,DRQ Change,CYD Change,CLB Change,MGEE Change,TPL Change,BBL Change,COG Change,GEL Change,SSL Change,FTI Change,EC Change,NOV Change,HAL Change
2011-04-18,0.0028802358964277,0.0014870975873496,0.0123428909360451,-0.0029454959932832,0.0162393621500023,0.00145842369378,-0.0069129832304332,0.0,0.0022385146869729,0.0,0.0018860519286631,0.0047964707176377,0.0016846103957696,0.0147652368670111,-0.0036955056704855,-0.0332648646099731,-0.002236306497118,-0.0074074680539941,0.0021513579994297,-0.0016968354267418,0.0153504064493537,-0.0049726692409074,0.0072683856198136,0.0042607747931557
2011-04-19,0.0240835759064997,-0.0203999837239582,-0.0035250021935139,0.0296955737220379,0.0404673028155954,-0.0040032974865411,0.0091364029828255,0.0,0.0072000717987838,0.0,0.0093562876655858,0.0119760099784335,0.002348195104941,0.0147089090729943,-0.0079012270326968,0.0050976604595462,-0.0003686259561234,0.0036822179655982,0.0043041909198572,0.0110652692416493,0.0103116103335443,0.0172371337109086,0.0154591407935404,0.0423223701487851
2011-04-20,0.0049433409507712,0.0121441305959617,0.0100086834994751,0.008890479180577,0.0124513496235249,0.0044013101204572,0.0101846598258939,0.0,0.0059171446261564,0.0,0.0092387289332598,-0.0044920591401534,0.0110966109451934,-0.0274041773809165,0.0022129840638839,0.0292754718418216,0.0045838027312865,0.0100511811852444,-0.0021238749006152,0.0069229563188316,0.0008527070443089,0.0203193069542188,-0.0007625543247377,0.0
2011-04-21,0.0181051387647041,0.0195974027308166,-0.0044843666657867,0.0175253569100416,0.0273868120304724,0.0048504527678606,-0.0100755560056658,0.0,-0.0145464986754886,0.0,0.00947170543923,-0.0005269518324013,0.0385232382114372,0.0064489572552337,-0.003655805889454,0.0055670197477047,-0.0056470983168658,0.0212964583531681,0.0116607750036225,0.0028540821172427,0.0067955812172994,0.01876486803231,0.0027844942585467,0.0291539312419665
2011-04-25,0.0017074481656442,-0.0118655444164047,-0.0164811737509643,0.0072664149751108,-0.0052005716661094,-0.014733472250674,-0.0033898516460174,0.0,-0.0079074373514107,0.0,0.0010826664610869,0.001320286202027,-0.0353012728504541,0.0112976399250123,0.0004908321940143,-0.0077204603553605,-0.0070988937287222,-0.0012808726966102,-0.0024356191851666,0.002317722727074,-0.0092964342924587,-0.0090719513635437,0.005954643558589,0.009370040313654
2011-04-26,-0.0111590115413462,0.0113167150474494,0.0021738798721976,-0.0440122880354115,-0.001117343993269,0.0088495880064868,1.507119197026548e-16,0.0,-0.0031739704006431,0.0,0.0086956437609072,0.002365312861826,0.0241757783733974,-0.0077837171341793,0.0075850361565545,-0.0105455372800969,0.00836516426493,0.0112870731556567,0.0017397753934371,0.0059649149576821,0.0275758390097329,-0.0018682395359077,0.0147298919734067,0.0129198507938567
2011-04-27,-0.0172680257348327,0.0091778577930576,-0.0081967442431478,-0.0213137604319211,-0.0265420218494452,-0.0022319435338989,0.0088421145186238,0.0,-0.001781123189434,0.0,-0.0007170509448795,-0.004323356781585,0.0082065845150199,-0.0182135896018529,0.0123997137724968,-0.0012403878420225,0.0033404769782428,-0.0044690741175785,0.0020768907773848,0.0027884253125436,-0.0032167976717054,0.0002330610997106,-0.0454432522170726,-0.0167445599714077
2011-04-28,-0.0037911152086088,0.002018973654377,-0.0021839328853224,0.0067978156208138,-0.0447648056848831,0.0033151397236684,0.0431053121603839,0.0,-0.003384395192008,0.0,-0.0003583027207635,0.0108250784795276,-0.0170760837802574,0.0007383933815488,0.0060010060966712,-0.0138688048974678,0.0097449173704107,-0.000897491256188,0.0034566325756947,0.0015770133707578,-0.0062701807968826,0.0108795693913288,-0.0090112688786312,0.0019935900005042
2011-04-29,0.0065429504157474,0.0233598058523939,0.0307286582305147,0.0064012043738694,-0.0696656027680849,0.010728695520853,0.052400022059922,0.0,0.0199541048889094,0.0,0.0057347616343995,-0.0023455865283619,0.0051592766315356,0.009253468947762,0.0016690665424571,-0.0027293946084385,0.0044147805436142,0.0096877840791074,-0.0203508745160018,0.0048661587563743,0.0130775295193707,0.0020557367541647,-0.0029901686545759,0.0031796472254065
2011-05-02,-0.0212110971167014,-0.0238643385569345,-0.0136286073706516,-0.0154820276614088,-0.0255753835266861,-0.0223828061366738,-0.005474777736605,0.0,-0.013837514717735,0.0,-0.0111470504097646,-0.0412437957815781,-0.018811616498673,-0.0247994670474077,-0.0119047846112931,0.012210564864309,-0.0031114709721434,-0.021080189320629,-0.0053609585769949,0.0019130540930707,-0.0087364677336803,-0.010454524647106,-0.0297324689682809,-0.0360591493803878
2011-05-03,-0.0215491377726526,-0.034000015258789,-0.0166992072776249,-0.0278671108124824,-0.0196936873272168,-0.022946976777527,0.0072477792340375,0.0,-0.0399121926888751,0.0,-0.0199855063684788,-0.022953958862356,-0.0517661618465459,-0.0140799392272482,0.0060255253724947,-0.0148877983836851,-0.0035413471448138,-0.0266547699068845,-0.009002520557399,-0.0089381482351568,-0.0290294842014093,-0.0154235310802557,-0.0253164556962025,-0.0129843582475569
