Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-04-16,99.8499984741211,101.12999725341797,99.75,100.66999816894531,3820900,0,0
2021-04-19,100.68000030517578,100.75,99.66000366210938,100.19999694824219,3491600,0,0
2021-04-20,100.25,101.83000183105469,100.05999755859375,101.41000366210938,3171600,0,0
2021-04-21,101.37000274658203,101.6500015258789,100.56999969482422,101.08999633789062,3741900,0,0
2021-04-22,101.20999908447266,101.20999908447266,100.04000091552734,100.08000183105469,3866800,0,0
2021-04-23,100.08999633789062,100.45999908447266,99.44000244140625,99.8499984741211,2849400,0,0
2021-04-26,99.94000244140625,99.94000244140625,99.01000213623047,99.19999694824219,2749800,0,0
2021-04-27,98.95999908447266,99.1500015258789,98.33999633789062,98.61000061035156,3441300,0,0
2021-04-28,98.88999938964844,99.16000366210938,98.06999969482422,98.56999969482422,2514600,0,0
2021-04-29,98.68000030517578,99.62999725341797,98.58000183105469,99.55000305175781,2172000,0,0
2021-04-30,99.86000061035156,100.70999908447266,99.2699966430664,100.69000244140625,2561453,0,0
