Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-04-16,111.58000183105469,113.75,111.20999908447266,113.44999694824219,585700,0,0
2021-04-19,113.29000091552734,114.6500015258789,113.12999725341797,114.05999755859375,725300,0,0
2021-04-20,113.05999755859375,113.68000030517578,111.87000274658203,112.9000015258789,741600,0,0
2021-04-21,111.22000122070312,114.16999816894531,111.13999938964844,113.9800033569336,542000,0,0
2021-04-22,114.4800033569336,115.02999877929688,113.37000274658203,114.26000213623047,710200,0,0
2021-04-23,116.04000091552734,117.13999938964844,115.43000030517578,117.0,518900,0,0
2021-04-26,115.91999816894531,116.0999984741211,114.62000274658203,114.9800033569336,616700,0,0
2021-04-27,114.05999755859375,114.68000030517578,113.2699966430664,114.55000305175781,499200,0,0
2021-04-28,113.91999816894531,114.0999984741211,111.55000305175781,112.12999725341797,883500,0,0
2021-04-29,112.37000274658203,112.55999755859375,106.3499984741211,109.13999938964844,1836500,0,0
2021-04-30,110.2699966430664,113.62999725341797,110.20999908447266,110.87999725341797,1503016,0,0
