,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Sector,Industry,Day Change,Weighted Sector Change,Weighted Industry Change
0,2011-04-18,16.671663056575692,16.824742621005843,16.435088081573742,16.643831253051758,8479900,0.0,0,M,Consumer Services,Department/Specialty Retail Stores,-0.0016694077507136834,0.015424452513018657,0.004656972063631042
1,2011-04-19,16.643831253051758,16.71341275259667,16.476836450438,16.643831253051758,5995600,0.0,0,M,Consumer Services,Department/Specialty Retail Stores,0.0,-0.0070018763990200026,-0.0017106527232623105
2,2011-04-20,16.880415802505784,17.103075648109453,16.734294449355023,17.05436897277832,10296000,0.0,0,M,Consumer Services,Department/Specialty Retail Stores,0.010305028756857657,-0.005537516641436237,0.0033920591951736192
3,2011-04-21,17.11002873692833,17.172651965376936,16.789954310729133,16.810829162597656,5905000,0.0,0,M,Consumer Services,Department/Specialty Retail Stores,-0.01748679554727556,0.001299261296462725,-0.011132482278602253
4,2011-04-25,16.80387869258527,16.845627088578702,16.539470415083407,16.692548751831055,5480400,0.0,0,M,Consumer Services,Department/Specialty Retail Stores,-0.006625252585484215,0.00162576628203771,-0.006004626708817826
5,2011-04-26,16.789948683225038,17.054358076309445,16.636870468967476,17.040441513061523,10100000,0.0,0,M,Consumer Services,Department/Specialty Retail Stores,0.01491921354630193,0.006053081911663854,0.011619443810008455
6,2011-04-27,17.103071489333868,17.388354513038937,16.956951498870946,17.096113204956055,11429200,0.0,0,M,Consumer Services,Department/Specialty Retail Stores,-0.0004068441380340559,0.005248883139246386,0.004267849734509743
7,2011-04-28,17.151777058973565,17.214400287223057,16.720374072318133,16.845619201660156,7835500,0.0,0,M,Consumer Services,Department/Specialty Retail Stores,-0.017849920521980613,-0.007931481021259141,-0.0030026317402697326
8,2011-04-29,16.810830187980322,16.887369989009848,16.60208696519058,16.636877059936523,6233300,0.0,0,M,Consumer Services,Department/Specialty Retail Stores,-0.010347682184558293,0.0020002743828408383,0.0008111610389999261
9,2011-05-02,16.94999163100854,17.00565657367372,16.685582157981248,16.824745178222656,8822800,0.0,0,M,Consumer Services,Department/Specialty Retail Stores,-0.007389174904178511,0.0015961136280996282,-0.00493757603904207
