,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Sector,Industry,Day Change,Weighted Industry Change
0,2011-04-18,35.22561785712327,35.283346648058775,34.60981961749763,35.17750930786133,276900,0.0,0,BDC,Basic Industries,Telecommunications Equipment,-0.001365726201228619,-0.004808385539575471
1,2011-04-19,35.27373149971773,35.39881668221799,34.90809986572717,35.12940216064453,120400,0.0,0,BDC,Basic Industries,Telecommunications Equipment,-0.004091694667300799,-0.0005181691464236826
2,2011-04-20,35.92801179345425,36.43796900596848,35.59124828904805,36.20704650878906,125500,0.0,0,BDC,Basic Industries,Telecommunications Equipment,0.007766494760103783,0.0007132681487319225
3,2011-04-21,36.41874174377731,36.70740050480165,36.005001434787616,36.31290435791016,89300,0.0,0,BDC,Basic Industries,Telecommunications Equipment,-0.0029061241767154465,0.003489437058175339
4,2011-04-25,36.1589387924022,36.74586896065456,35.879904070652174,36.14931488037109,78900,0.0,0,BDC,Basic Industries,Telecommunications Equipment,-0.00026615582073274193,-0.003279867658923615
5,2011-04-26,36.38024863925648,37.55411289098046,36.24553953586069,37.42903137207031,259200,0.0,0,BDC,Basic Industries,Telecommunications Equipment,0.028828355276333487,0.010427017605816453
6,2011-04-27,37.044157234726434,37.84277329536801,36.1300798935462,37.76579666137695,316800,0.0,0,BDC,Basic Industries,Telecommunications Equipment,0.01948051948051959,0.01502862461650303
7,2011-04-28,37.74653764662773,37.98708402750385,36.95754581098976,37.32317733764648,234000,0.0,0,BDC,Basic Industries,Telecommunications Equipment,-0.011215871318970491,-0.00031096758384128857
8,2011-04-29,37.50599604316373,37.72729830130507,36.46683745404584,36.5919189453125,324000,0.0,0,BDC,Basic Industries,Telecommunications Equipment,-0.024371492408820767,-0.006733239521531973
9,2011-05-02,36.85172166683912,37.92936891820084,36.85172166683912,37.736934661865234,612100,0.0,0,BDC,Basic Industries,Telecommunications Equipment,0.024020939999193344,-0.014300872685971145
10,2011-05-03,37.582991147842506,37.6984524544532,36.78437490686737,36.94794845581055,311400,0.0,0,BDC,Basic Industries,Telecommunications Equipment,-0.016897076912634573,0.007644691498974742
11,2011-05-04,36.91906833095886,37.159614782344605,36.207052890307686,36.486083984375,353900,0.0,0,BDC,Basic Industries,Telecommunications Equipment,-0.011727932641809774,0.00423972162644084
12,2011-05-05,36.11083079872342,36.92869090606187,35.8125555589019,36.08196640014648,175900,0.0,0,BDC,Basic Industries,Telecommunications Equipment,-0.0007993280115273052,-0.012724648784301192
13,2011-05-06,36.611176009049615,36.688152649693976,35.94726900050912,36.09159469604492,182100,0.0,0,BDC,Basic Industries,Telecommunications Equipment,-0.014191877170956265,-0.007743165314741431
14,2011-05-09,35.81256170827992,36.755503484996005,35.77407338993688,36.58230972290039,121000,0.0,0,BDC,Basic Industries,Telecommunications Equipment,0.02149379932356253,0.003668624198844591
15,2011-05-10,36.88057838365904,37.62145811737085,36.71700491161115,37.58297348022461,142300,0.0,0,BDC,Basic Industries,Telecommunications Equipment,0.0190451215070093,0.008176374635577514
16,2011-05-11,37.390528207717296,37.390528207717296,36.1877963619747,36.38985443115234,145000,0.0,0,BDC,Basic Industries,Telecommunications Equipment,-0.02676276117325411,-0.008393579071320975
17,2011-05-12,36.10120833202782,37.13074674958565,35.64897987312864,37.01528549194336,230000,0.0,0,BDC,Basic Industries,Telecommunications Equipment,0.025319849449598707,0.006695828836253064
18,2011-05-13,36.99604073829371,37.0633934433652,35.88952571992409,36.17818069458008,254600,0.0,0,BDC,Basic Industries,Telecommunications Equipment,-0.022106691078082916,-0.007378047639430468
19,2011-05-16,35.90877429481285,36.17818514826441,35.35070843117067,35.360328674316406,202800,0.0,0,BDC,Basic Industries,Telecommunications Equipment,-0.015273303844728263,-0.008044804385185842
20,2011-05-17,35.00431328955895,35.1486389278427,34.34040287393465,34.532840728759766,154600,0.0,0,BDC,Basic Industries,Telecommunications Equipment,-0.013468984719086478,0.00340158925054
21,2011-05-18,34.63869208389832,35.9184010810351,34.50398664639926,35.79331588745117,261500,0.0,0,BDC,Basic Industries,Telecommunications Equipment,0.03333335452609583,0.0009484940958556129
22,2011-05-19,36.13008651562305,36.13008651562305,35.129412113018944,35.55277633666992,141000,0.0,0,BDC,Basic Industries,Telecommunications Equipment,-0.015978654761966634,0.002577820153867157
23,2011-05-20,35.25447663384851,35.543131553862274,34.475108716855985,35.292964935302734,271100,0.0,0,BDC,Basic Industries,Telecommunications Equipment,0.001091728062054655,-0.001067617052565151
24,2011-05-23,34.18644266461353,34.552074107730355,34.01324901631849,34.02287292480469,139000,0.0,0,BDC,Basic Industries,Telecommunications Equipment,-0.00478463762414666,0.002339849989267705
25,2011-05-24,34.20570291893049,34.263435385697484,33.40709064944761,33.43595504760742,201400,0.0,0,BDC,Basic Industries,Telecommunications Equipment,-0.022503495196324916,0.0014269639251729125
26,2011-05-25,33.30125785142659,34.38852905275786,33.031846947554456,34.205711364746094,244000,0.0,0,BDC,Basic Industries,Telecommunications Equipment,0.02715974025229671,-0.0016738532386718812
27,2011-05-26,34.05174814120733,34.63868195041643,33.46481433199822,34.31153869628906,261400,0.0,0,BDC,Basic Industries,Telecommunications Equipment,0.007629286872568911,0.005938167698501612
