,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Sector,Industry,Day Change,Weighted Sector Change,Weighted Industry Change
0,2011-04-18,25.489999771118164,25.649999618530277,25.11000061035156,25.57999992370605,45800,0,0,ECPG,Finance,Finance Companies,0.0035308024086317617,0.02566379673204488,0.008554751491518754
1,2011-04-19,25.670000076293945,25.770000457763672,25.5,25.63999938964844,26300,0,0,ECPG,Finance,Finance Companies,-0.0011687061377615526,-0.004743791110490417,0.002359464239899232
2,2011-04-20,26.030000686645508,26.700000762939453,26.030000686645508,26.43000030517578,186000,0,0,ECPG,Finance,Finance Companies,0.015366869303829491,-0.0052019865602563956,0.009803617751474304
3,2011-04-21,26.649999618530277,26.649999618530277,25.809999465942383,26.18000030517578,38000,0,0,ECPG,Finance,Finance Companies,-0.0176359970012043,0.01004878988994171,-0.0011279674744671612
4,2011-04-25,25.989999771118164,27.07999992370605,24.76000022888184,26.88999938964844,217600,0,0,ECPG,Finance,Finance Companies,0.034628688974842434,0.003388161498514934,0.029283973036578616
5,2011-04-26,27.040000915527344,27.700000762939453,26.59000015258789,27.5,246700,0,0,ECPG,Finance,Finance Companies,0.017011799885276933,-0.006401629612668074,0.01400512375109236
6,2011-04-27,27.549999237060547,27.90999984741211,27.309999465942383,27.8700008392334,61000,0,0,ECPG,Finance,Finance Companies,0.011615303485830304,0.008153837957493264,0.010120251027077235
7,2011-04-28,27.979999542236328,30.51000022888184,27.920000076293945,29.950000762939453,417100,0,0,ECPG,Finance,Finance Companies,0.07040747866094035,0.009863839540960114,0.06186165818895579
8,2011-04-29,30.059999465942383,30.100000381469727,29.3799991607666,29.940000534057617,130000,0,0,ECPG,Finance,Finance Companies,-0.0039919805062113515,-0.004523353419408276,0.003556149811294333
9,2011-05-02,30.170000076293945,30.170000076293945,29.229999542236328,29.850000381469727,121000,0,0,ECPG,Finance,Finance Companies,-0.01060655266871074,-0.010591447281218826,-0.01836877912152463
10,2011-05-03,29.649999618530277,29.790000915527344,29.190000534057617,29.43000030517578,70000,0,0,ECPG,Finance,Finance Companies,-0.007419875756659484,0.0015248784790433667,-0.000976895640429202
11,2011-05-04,29.6299991607666,29.6299991607666,29.26000022888184,29.3700008392334,44800,0,0,ECPG,Finance,Finance Companies,-0.00877483391486118,-0.011490884018771746,-0.016112075997866994
