Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Sector,Industry,Day Change,Weighted Sector Change,Weighted Industry Change
2011-04-18,13.982737340342297,14.097567249578091,13.982737340342297,14.035736083984377,24700,0.0,0,LCUT,Capital Goods,Industrial Machinery/Components,0.0037902981620895277,-0.0005548845184818045,0.008120328240280975
2011-04-19,14.079899525648136,14.185896161547705,13.36442202272946,13.382087707519531,40300,0.0,0,LCUT,Capital Goods,Industrial Machinery/Components,-0.049560852111015505,0.026194849892528765,0.023094300398852467
2011-04-20,13.567582492042462,13.867906725157784,13.541083542763582,13.841407775878906,28800,0.0,0,LCUT,Capital Goods,Industrial Machinery/Components,0.020182319436572147,-0.004142824920920966,0.015043611903258824
2011-04-21,13.95623755550974,14.1682316750201,13.70007880172169,14.150565147399902,35400,0.0,0,LCUT,Capital Goods,Industrial Machinery/Components,0.013924067365379936,-0.021889393550131427,0.015315047257613675
2011-04-25,14.053401347886378,14.141732303839492,13.69124594477418,13.97390365600586,43800,0.0,0,LCUT,Capital Goods,Industrial Machinery/Components,-0.00565682925525182,-0.0007249987201183871,-0.00329188517190516
2011-04-26,13.973904076004208,14.221230423151974,13.956238389714484,14.035736083984377,27700,0.0,0,LCUT,Capital Goods,Industrial Machinery/Components,0.0044248198387410904,0.002649285483871825,0.018119293823731186
2011-04-27,14.071068298950276,14.088733985240005,13.929739439086667,14.035736083984377,25000,0.0,0,LCUT,Capital Goods,Industrial Machinery/Components,-0.0025109831190667665,0.0029676796121391913,-0.013053646952081463
2011-04-28,14.040158425276028,14.146322093607091,13.907454050790658,14.102087020874023,36000,0.025,0,LCUT,Capital Goods,Industrial Machinery/Components,0.0044108188613105545,-0.016503722895033244,-0.011744120697515554
2011-04-29,14.155168321718914,14.243638461215168,13.757054381413326,14.084392547607422,48000,0.0,0,LCUT,Capital Goods,Industrial Machinery/Components,-0.004999995231628438,-0.001082532602957734,-0.02005517206247692
2011-05-02,14.155170021263793,14.234792987627625,13.63319799173547,13.686280250549316,66000,0.0,0,LCUT,Capital Goods,Industrial Machinery/Components,-0.033124983310699435,-0.0197924680480027,-0.004255454940596295
2011-05-03,13.615504863275351,13.995924494917114,13.615504863275351,13.845525741577148,36000,0.0,0,LCUT,Capital Goods,Industrial Machinery/Components,0.016894039597622625,-0.0024691747931372306,0.0221139305322199
2011-05-04,13.916301122172303,13.995924088536134,13.606657284185486,13.686280250549316,40400,0.0,0,LCUT,Capital Goods,Industrial Machinery/Components,-0.016528880023766047,-0.005809950381394668,-0.012531713534026405
2011-05-05,13.270470527460589,13.535880106752558,12.2088330540065,12.332690238952637,97800,0.0,0,LCUT,Capital Goods,Industrial Machinery/Components,-0.07066669464111335,0.006332292667182589,0.010586304575966717
2011-05-06,11.978813835339205,11.978813835339205,10.70484877293329,10.899481773376465,100000,0.0,0,LCUT,Capital Goods,Industrial Machinery/Components,-0.09010341731654237,-0.01205019665786917,-0.008514353480238079
2011-05-09,10.82870254784261,11.350674465736883,10.465976528618102,11.288745880126951,104000,0.0,0,LCUT,Capital Goods,Industrial Machinery/Components,0.04248369832413534,0.00663459186542518,0.0070203671061851575
2011-05-10,11.368372103581112,11.978813484767672,10.961410901552092,11.739945411682127,82800,0.0,0,LCUT,Capital Goods,Industrial Machinery/Components,0.032684829869701976,0.016552329623036193,0.01282616734270577
2011-05-11,11.748791241750586,11.748791241750586,11.058726918289231,11.253360748291016,85100,0.0,0,LCUT,Capital Goods,Industrial Machinery/Components,-0.042168635331522916,-0.020833475324259533,-0.03055786037993294
2011-05-12,11.147196204237751,11.642626659169212,11.005643801972068,11.60723876953125,102800,0.0,0,LCUT,Capital Goods,Industrial Machinery/Components,0.04126980066239505,0.011738499956585794,0.021817686022324794
2011-05-13,11.660325312634244,11.660325312634244,11.279904726383371,11.421456336975098,60000,0.0,0,LCUT,Capital Goods,Industrial Machinery/Components,-0.020485618475869292,-0.01244109757351433,-0.0054478117826117
2011-05-16,11.377216289540462,11.403757837745204,11.191429670676182,11.332982063293455,34400,0.0,0,LCUT,Capital Goods,Industrial Machinery/Components,-0.003887965660604754,-0.004033460067092833,-0.013677509034806001
2011-05-17,11.217974323816296,11.288750117857518,11.032187653529576,11.1029634475708,26100,0.0,0,LCUT,Capital Goods,Industrial Machinery/Components,-0.010252374709159564,-0.009395806407206206,-0.007419756526306933
2011-05-18,11.11181231033347,11.11181231033347,10.669463108936206,11.02334213256836,54400,0.0,0,LCUT,Capital Goods,Industrial Machinery/Components,-0.007961813545287934,0.010262517632705616,0.009908309111520745
2011-05-19,11.014491510007774,11.014491510007774,10.474825956392332,10.527907371520996,47700,0.0,0,LCUT,Capital Goods,Industrial Machinery/Components,-0.044176722824169186,-0.0024246361980223784,-0.00327131601292854
2011-05-20,10.46597877263293,10.731388379417888,10.120946199441097,10.527907371520996,57400,0.0,0,LCUT,Capital Goods,Industrial Machinery/Components,0.005917134004704926,0.005388951867576366,-0.0003016443958556198
2011-05-23,10.280191733756318,10.492519073468133,10.182875247316865,10.368661880493164,27800,0.0,0,LCUT,Capital Goods,Industrial Machinery/Components,0.008605884892821877,-0.011903213543332599,-0.017623674569391828
2011-05-24,10.412893665622043,10.412893665622043,9.864380279008255,9.961697578430176,59800,0.0,0,LCUT,Capital Goods,Industrial Machinery/Components,-0.0433305190354034,-0.013794876839716787,-0.011880054551215343
2011-05-25,9.899771996250976,10.200569504341264,9.864384103752936,9.988242149353027,36600,0.0,0,LCUT,Capital Goods,Industrial Machinery/Components,0.008936584916860162,0.017986838195616014,0.014821483365464485
2011-05-26,9.91746592349849,10.253651309142455,9.908618739838785,10.165181159973145,26600,0.0,0,LCUT,Capital Goods,Industrial Machinery/Components,0.024977674577909746,0.025412987560082728,0.03603056558787613
2011-05-27,10.156333877964414,10.156333877964414,10.005935975775158,10.112099647521973,38700,0.0,0,LCUT,Capital Goods,Industrial Machinery/Components,-0.004355334412392035,0.022810447553686167,0.01815446892021906
2011-05-31,10.235956945871289,10.324427095075592,10.04132396756402,10.14748764038086,40500,0.0,0,LCUT,Capital Goods,Industrial Machinery/Components,-0.008642993122994106,0.010001328111974234,0.0028051236384327534
