Date,Weighted Industry Change,TRI Change,CMPR Change
2011-04-18,0.0013226327879483,0.0119349261873535,-0.0237874477109653
2011-04-19,0.0182825027534754,0.0222499847412107,0.0045575708158417
2011-04-20,0.0013736257038366,-0.0019402866176476,0.0093475413032428
2011-04-21,-0.0003746997086411,-0.0063000274617529,0.0049889220822693
2011-04-25,-0.002182222394074,-0.0051094669651844,0.0012860498701405
2011-04-26,-0.0064671918493337,0.0051169366420068,-0.0124019748762919
2011-04-27,-0.0034313815537575,0.0024278293797639,-0.0096171714573441
2011-04-28,-0.0039228805632533,-0.0195551024210318,0.0128707073093327
2011-04-29,0.0338339747645066,0.0089753329562067,0.0461538754976712
2011-05-02,0.000675018255237,-0.0017339533484339,0.0043795927337255
2011-05-03,-0.0037628579341991,-0.0069807722522104,0.0016432381200598
2011-05-04,-0.0002334521620855,0.0030256916880093,-0.0062055146360024
2011-05-05,-0.0029024294963122,-0.0033019369302722,-0.0018477175922887
2011-05-06,-0.0074285289873278,-0.0058124726815808,-0.0116086431325081
2011-05-09,0.0001494780436791,-0.001520465280937,0.0072884174281268
2011-05-10,-0.0069304348795342,0.003287740273342,-0.0202690672478333
2011-05-11,-0.0114637650664503,-0.0118476790446082,-0.0106921718278138
2011-05-12,0.0034019997066412,0.0040931145251356,0.0013270084326866
2011-05-13,-0.0069474614446737,-0.0068860103052284,-0.0071861017481023
2011-05-16,-0.0091777412809203,-0.0018004036240017,-0.0266028591320275
2011-05-17,-0.0049102173467204,0.0085825230119499,-0.0160047690875811
2011-05-18,-0.0083408760111511,0.0023225845829133,-0.0134511536874167
2011-05-19,0.0038463084256274,-0.0010304202947399,0.0147833034922247
2011-05-20,-0.0053455844711711,-0.0038909912879434,-0.0092351513047054
2011-05-23,-0.0022691386064394,-0.0034200804829903,-0.0004157306382693
2011-05-24,-0.0003787324208421,0.0015755660637818,-0.0049751589990911
2011-05-25,0.0067295131815092,0.0084454922137484,0.0039798621706937
2011-05-26,0.0150930018184436,0.0152671226831287,0.0144019751389385
2011-05-27,0.0011935674225056,0.0010322816910283,0.0014391384807277
2011-05-31,-0.0034941065353233,-0.0058673351469365,0.0008140194551115
2011-06-01,-0.0189328771890565,-0.0216049416026574,-0.0147329122517353
2011-06-02,0.0051343138823187,0.0042205182816173,0.0070466352867956
2011-06-03,0.0022738512966675,0.0015885986911256,0.0031223502981481
2011-06-06,-0.0064391421943459,-0.0047644338536722,-0.010813068332579
2011-06-07,-0.0047775861942136,-0.0034409014721624,-0.0065125539607376
2011-06-08,-0.0106647417546998,0.0008036104426846,-0.0211640211640211
2011-06-09,-0.002825574888196,0.0016020709578496,-0.0066752275572948
2011-06-10,-0.0117858257747047,-0.0152243513817223,-0.0085022759696936
2011-06-13,0.0081584596419081,0.0008169601933445,0.0135607811752204
2011-06-14,-0.0079712656896671,0.0099891717802216,-0.026299180141037
2011-06-15,-0.0007619751295855,-0.0067531063454531,0.0130946852491766
2011-06-16,0.0057536941982185,0.009026203609459,0.0021588617180467
2011-06-17,0.0023335432354476,-0.0010775081352634,0.0053671101368082
2011-06-20,0.0028184181942858,0.0010831550283451,0.0051535683925175
2011-06-21,-0.0073793295658666,-0.0080278096236332,-0.0065873643060911
2011-06-22,-0.000500514836792,-0.000812754793305,0.0002140410085266
2011-06-23,0.0006815382982515,-0.0043859607845353,0.0101358902637356
2011-06-24,-0.0076442231038619,-0.0107378687479451,0.0021394623562275
2011-06-27,0.0124527356122321,0.0181411576322687,0.0004280919786194
2011-06-28,-0.0004805064877632,-0.0002734318132804,-0.0006384888896032
2011-06-29,0.0022110918929469,0.0037909393038596,-0.0036093030669355
2011-06-30,0.014022318203493,0.0099489852176629,0.0189522872018689
2011-07-01,0.012233256462848,0.0085401570429469,0.0164652130692897
2011-07-05,-0.0018367295936028,-0.0071732322566914,0.0078237815627519
2011-07-06,-0.0079046348571152,-0.0080170831571424,-0.0077853115636905
2011-07-07,0.0022389726221694,-0.0064222068672514,0.0170676125463139
2011-07-08,-0.0011210672158899,0.0013524272493814,-0.0061286870762968
2011-07-11,-0.0059110912698553,-0.0030095926852995,-0.0164070797609995
2011-07-12,0.0015922221600376,0.0038577951533899,-0.0080524955388086
2011-07-13,-0.0003489068080866,0.0016419692690334,-0.0027730602635086
2011-07-14,-0.0216398999287973,-0.0160806806942314,-0.028467504201719
2011-07-15,-0.0110347280403526,-0.012661791246504,-0.0070113869216395
2011-07-18,-0.0053556441514257,-0.0067397268843918,-0.0037627707502052
2011-07-19,0.0099091829496865,0.0106204885712605,0.0085998504403096
2011-07-20,-0.0055821962037012,-0.005497546923239,-0.0058990704623834
2011-07-21,0.0070306314495999,0.0082531792118614,0.0026269468275631
2011-07-22,-0.0100513483792918,-0.0108635985451021,-0.0063373494638791
2011-07-25,-0.0064738207999744,-0.0056737805089207,-0.0081660281475988
2011-07-26,-0.0214224759966291,-0.0140079436873027,-0.0282536248322106
2011-07-27,-0.0169994046319532,-0.0172363470779452,-0.0163670558249889
2011-07-28,-0.0010827886151357,0.0049105138326854,-0.0035252106667723
2011-07-29,0.0115133414232453,-0.0040497365022944,0.0132827467325525
2011-08-01,-0.0317845099788151,-0.0143967753121314,-0.0365591566921106
2011-08-02,0.023489222126853,-0.0240187378290595,0.0502605526226541
2011-08-03,0.0301303626736665,-0.0116941351571896,0.0511921129396482
2011-08-04,-0.0473245838968049,-0.037400348047283,-0.0573632712213333
2011-08-05,-0.0233039086146473,-0.0132075498858649,-0.0357388626080429
2011-08-08,-0.0201656837303045,-0.0302432634446604,-0.0077177174398543
