Date,Weighted Industry Change,CNQ Change,EOG Change,EQT Change,PXD Change,TPL Change,COG Change,SSL Change,EC Change
2011-04-18,0.0010691566559894,0.0123428909360451,0.00145842369378,-0.0069129832304332,0.0022385146869729,-0.0332648646099731,-0.0074074680539941,-0.0016968354267418,-0.0049726692409074
2011-04-19,0.0015927182390024,-0.0035250021935139,-0.0040032974865411,0.0091364029828255,0.0072000717987838,0.0050976604595462,0.0036822179655982,0.0110652692416493,0.0172371337109086
2011-04-20,0.0084057461409411,0.0100086834994751,0.0044013101204572,0.0101846598258939,0.0059171446261564,0.0292754718418216,0.0100511811852444,0.0069229563188316,0.0203193069542188
2011-04-21,0.0092261675763839,-0.0044843666657867,0.0048504527678606,-0.0100755560056658,-0.0145464986754886,0.0055670197477047,0.0212964583531681,0.0028540821172427,0.01876486803231
2011-04-25,-0.007945596938828,-0.0164811737509643,-0.014733472250674,-0.0033898516460174,-0.0079074373514107,-0.0077204603553605,-0.0012808726966102,0.002317722727074,-0.0090719513635437
2011-04-26,0.0064533774982367,0.0021738798721976,0.0088495880064868,1.507119197026548e-16,-0.0031739704006431,-0.0105455372800969,0.0112870731556567,0.0059649149576821,-0.0018682395359077
2011-04-27,-0.0028390460270945,-0.0081967442431478,-0.0022319435338989,0.0088421145186238,-0.001781123189434,-0.0012403878420225,-0.0044690741175785,0.0027884253125436,0.0002330610997106
2011-04-28,0.0074186105938498,-0.0021839328853224,0.0033151397236684,0.0431053121603839,-0.003384395192008,-0.0138688048974678,-0.000897491256188,0.0015770133707578,0.0108795693913288
2011-04-29,0.0245037569017913,0.0307286582305147,0.010728695520853,0.052400022059922,0.0199541048889094,-0.0027293946084385,0.0096877840791074,0.0048661587563743,0.0020557367541647
2011-05-02,-0.0168248806967618,-0.0136286073706516,-0.0223828061366738,-0.005474777736605,-0.013837514717735,0.012210564864309,-0.021080189320629,0.0019130540930707,-0.010454524647106
2011-05-03,-0.021351051180797,-0.0166992072776249,-0.022946976777527,0.0072477792340375,-0.0399121926888751,-0.0148877983836851,-0.0266547699068845,-0.0089381482351568,-0.0154235310802557
2011-05-04,-0.0256667517324164,-0.0225863698230753,-0.0137342550816077,-0.021086629111315,-0.0340029288317509,-0.0565244508948105,-0.0325247464649211,-0.0100055128168826,0.0056075159519856
2011-05-05,-0.008192526314918,-0.0154592058441092,0.0008631914065475,-0.0144870583038263,-0.0233403358344664,-0.0018018429798488,-0.0015354706084522,-0.0198113063596329,-0.0116306113160828
2011-05-06,-0.0075835724895285,0.0215456241804989,-0.0143119042072822,-0.0005875348733032,-0.0165599466734138,0.0212093554418222,-0.0169204311791374,-0.0107746946187187,-0.0056114490506917
2011-05-09,0.0274961675874236,-0.0047760494277867,0.0098883816084185,0.0142745915476899,0.0455304047035729,0.0282214163501382,0.0490494658916013,0.0057262691459359,-0.0065574376812931
2011-05-10,0.0058601049956342,-0.017312120952489,-0.0051157754818838,-0.0024999609191598,0.0143846403417187,0.0129787363904587,0.0196185621439138,0.0090480593617236,0.026944740338707
2011-05-11,-0.0352978709512336,-0.0294458712337604,-0.0340425043976949,-0.0311351639234014,-0.0159417453206326,-0.0071729987688345,-0.0512820618052088,-0.0241256945217324,-0.0164009383981157
2011-05-12,0.0066333306711299,0.0033784558152824,0.0005689129443828,0.0119760001633706,-0.0024677653977477,0.0087048802695267,0.0131303986950322,0.0173930669570716,0.0116414433322068
2011-05-13,-0.0117938979779409,-0.0209235860574749,-0.0035909776461334,-0.0053296344940963,-0.0102040490205405,-0.0144957699333565,-0.0134178386647508,-0.0146266038284114,-0.0006930605996678
2011-05-16,-0.0025851352782569,0.005441533985716,-0.0044689667099557,-0.0125673378799087,-0.0184417552669381,0.0238805734636653,0.00037894009523,0.0078570325491614,-0.0195439776997304
2011-05-17,0.0139455981353997,0.0131415510844032,0.0142130355898478,0.0174690341143229,0.0066404499427987,-0.0154236917112182,0.0165336899323815,0.0061132198558043,0.0078458869610733
2011-05-18,0.0160639523385645,0.0069611357798736,0.0068939782901248,0.007188455708842,0.0207870471944545,0.014983766619717,0.0258076378369238,0.0153876297853403,0.0082958592133441
2011-05-19,-0.0135490434601066,-0.0113475071133283,-0.0091614784121728,-0.0031508664382457,-0.0152647355221773,0.00431129048439,-0.0264674324175633,0.0034436637382705,0.0267042220899127
2011-05-20,0.0088736186184173,0.0074412235820079,0.0073536229050722,0.0106888072753632,0.0001099981985802,-0.0006466076079201,0.0139120757210689,-0.0129597920593811,-0.0072959345729852
2011-05-23,-0.0062606334772476,-0.0012132792567661,-0.0080875212793689,-0.0033965503710912,0.0005607609373622,0.0065217225447946,-0.0113700017335005,0.0020210648695135,-0.0075931436564462
2011-05-24,0.0038516605668934,-0.0038277476156087,0.0084624836468926,0.0159521035162776,0.0025414735572771,0.0012903521137853,0.0007486602152137,0.0031866132310205,0.0114646196660398
2011-05-25,0.0511540463003038,0.0210144661792084,0.016113715149215,0.038917438109349,0.014106456622023,0.001074097483996,0.0779514091898075,0.0153846247652589,0.0039598920972944
2011-05-26,0.0104080690929511,0.004266421214383,0.0049672579554849,0.0143431307269682,0.0024202554126524,-0.0006459685655464,0.0164508654435957,0.0064102920355299,0.0099744908162336
2011-05-27,-0.0025441473119808,-0.0021097082257337,0.002502820535179,0.0005627373986781,-0.0070813979670519,0.0021505048198085,-0.0042830221787694,-0.0022852587263473,0.0041095960801634
2011-05-31,-0.0050735263141172,-0.0020595000232637,-0.0079083967792734,0.0033333460940845,-0.0122633326256007,-0.0017166956861993,-0.0079365283859334,-0.007220873944981,0.0280353084173714
