Date,Weighted Industry Change,IGT Change
2011-04-18,0.0199228443176365,0.0199228443176365
2011-04-19,-0.0075424190263961,-0.0075424190263961
2011-04-20,-0.0037336320523831,-0.0037336320523831
2011-04-21,0.0111455299955089,0.0111455299955089
2011-04-25,0.0016844855443638,0.0016844855443638
2011-04-26,-0.0123317999704488,-0.0123317999704488
2011-04-27,0.0045377156843027,0.0045377156843027
2011-04-28,-0.0079141488281773,-0.0079141488281773
2011-04-29,0.0051136449225675,0.0051136449225675
2011-05-02,-0.0174353971495545,-0.0174353971495545
2011-05-03,-0.002871868897114,-0.002871868897114
2011-05-04,0.0103746571307299,0.0103746571307299
2011-05-05,0.0154639445544866,0.0154639445544866
2011-05-06,-0.0117252421140025,-0.0117252421140025
2011-05-09,0.019230777529362,0.019230777529362
2011-05-10,0.0188469084248556,0.0188469084248556
2011-05-11,0.0032644927111365,0.0032644927111365
2011-05-12,0.0092542225654594,0.0092542225654594
2011-05-13,-0.0113207058280145,-0.0113207058280145
2011-05-16,-0.0229633709825234,-0.0229633709825234
2011-05-17,0.0028010776466117,0.0028010776466117
2011-05-18,0.0,0.0
2011-05-19,-0.0060975944993931,-0.0060975944993931
2011-05-20,-0.0044692695760302,-0.0044692695760302
2011-05-23,0.0005681948105163,0.0005681948105163
2011-05-24,-0.0107708975784023,-0.0107708975784023
2011-05-25,-0.0023028735517958,-0.0023028735517958
2011-05-26,-0.0011559856241032,-0.0011559856241032
2011-05-27,-0.0097869929810234,-0.0097869929810234
2011-05-31,-0.0080552011742597,-0.0080552011742597
2011-06-01,-0.0110209127946695,-0.0110209127946695
2011-06-02,-0.0041007437654172,-0.0041007437654172
2011-06-03,-0.0136904495643636,-0.0136904495643636
2011-06-06,-0.0145366303931553,-0.0145366303931553
2011-06-07,-0.0122698690154596,-0.0122698690154596
2011-06-08,-0.0141975608073313,-0.0141975608073313
2011-06-09,-0.0031132776290918,-0.0031132776290918
2011-06-10,-0.00376650461188,-0.00376650461188
2011-06-13,0.0094458797936771,0.0094458797936771
2011-06-14,0.0233990808787472,0.0233990808787472
2011-06-15,-0.0006086566461407,-0.0006086566461407
2011-06-16,-0.005494398647762,-0.005494398647762
