Date,Weighted Industry Change,APO Change,VRTS Change
2011-04-18,-0.0173715906812679,-0.0172972808013091,-0.0189194268224912
2011-04-19,-0.0052468235515359,-0.0027396842224956,-0.0194084892176628
2011-04-20,-0.0086090489963432,-0.0087003726330829,-0.0075534240352357
2011-04-21,-0.0103368659270051,-0.0103824390508283,-0.0045989697791208
2011-04-25,-0.001542784085099,0.0011085670399177,-0.0217189194754709
2011-04-26,0.0015033343569746,-0.0016473795060459,0.0491234683983084
2011-04-27,0.0038947402234044,0.0044198851944751,-0.0047654349282652
2011-04-28,-8.893118624025131e-05,-1.1343794445822586e-16,-0.0075841627265418
2011-04-29,-0.0072856123558768,-0.0055005709456041,-0.018218990993797
2011-05-02,0.0040080058387457,0.0066408877288343,-0.0254898261435566
2011-05-03,0.0143855254300777,0.0133111348850877,0.0234768929565176
2011-05-04,-0.0118007300693466,-0.0137136591485251,0.0227445185958183
2011-05-05,0.0053895646108547,0.003355781661482,0.0340993362454924
2011-05-06,-0.009855465690362,-0.0110071965932674,0.0123893940343265
2011-05-09,0.0099997847980661,0.0087240919346194,0.0405594346832138
2011-05-10,0.0063095669866658,0.0059139086423092,0.0160750010858984
2011-05-11,-0.0153817564243305,-0.0149254095538033,-0.0221811415233494
2011-05-12,-0.0198775897734163,-0.0202127221376428,0.0103681060980247
2011-05-13,-0.0203872888523923,-0.0203752905382925,-0.0208155810953475
2011-05-16,-0.0319257620258528,-0.0320304098883911,-0.0292725362187289
2011-05-17,-0.0370258029524459,-0.0380739239606552,-0.0014513428502831
2011-05-18,0.0273863120890343,0.0276338237792228,0.0143142042976065
2011-05-19,0.0012993197330915,0.0022561148652066,-0.0070959325662748
2011-05-20,0.0048615637104205,0.0050675760939198,-0.0019812789885556
2011-05-23,0.0096792406788169,0.010913299007631,-0.0009199491897752
2011-05-24,-0.009847032425135,-0.0062217538717664,-0.0347285275630881
2011-05-25,-0.012277964662053,-0.0130681555256376,0.0045283335559773
2011-05-26,0.0250525272535046,0.0248268078956306,0.0278786123533987
2011-05-27,0.0192051696748388,0.019618855295747,0.0025830145327998
2011-05-31,-0.0011275680928437,-0.0016619823027627,0.0036258296499767
2011-06-01,0.0022060401831647,0.0033575524971803,-0.0214414166974591
2011-06-02,-0.0044456394551373,-0.0050139358642096,-0.0012839268935525
2011-06-03,0.0247204941853422,0.016514859017496,0.0354815174677427
2011-06-06,-0.0234808138628855,-0.0252101262365576,-0.0104148981506963
2011-06-07,-0.0261896610188985,-0.0303725308580577,0.0015739795751581
2011-06-08,-0.0086217152625981,-0.0112160878434226,-0.0014022439513978
2011-06-09,-0.0185784365538978,-0.0216215442192729,0.0007022632754614
2011-06-10,-0.0452448317658717,-0.0480827721959422,-0.0100018159805889
2011-06-13,-0.0050453450187559,-0.0051314896037877,-0.002809972800685
2011-06-14,0.0262325699138906,0.0243277923959675,0.0336386031784935
2011-06-15,0.0029491149329887,0.0075709705155195,-0.0247294974760304
2011-06-16,0.0059691638288667,0.0050664929638584,0.0128250769574317
2011-06-17,-0.007135083447791,-0.0012523767958202,-0.0188712004038643
2011-06-20,-0.0094709048638411,-0.0144381978345546,0.0021108663113977
2011-06-21,0.0119115900454884,0.0113780220384372,0.0172234113839778
2011-06-22,0.0208090458403131,0.0219160564773444,-0.0006902660051892
2011-06-23,-0.0058541305196095,-0.0073982081975778,0.0084018822555952
2011-06-24,0.0019247512293049,-0.000624623906238,0.0055420797631111
2011-06-27,0.0083641021861891,0.0062422208871575,0.0121741956136474
2011-06-28,0.0102671603991553,0.0103532323693092,0.0080659279192065
2011-06-29,0.0420763862289138,0.0432398953211762,0.0128354162614199
2011-06-30,-0.0005723064716463,0.0,-0.004918020279681
2011-07-01,0.0118554329693309,0.0011681395697837,0.0429457410407408
2011-07-05,0.0013853414365935,-0.005269329800346,0.0184466714091671
2011-07-06,0.0018431508747837,-0.0017741387886588,0.0097102010937433
2011-07-07,-0.007175688985385,-0.0174722909567568,0.0291044320633161
2011-07-08,-0.0048614398834982,-0.0162037427962546,0.0404427728969672
2011-07-11,-0.0171789217913608,-0.0183975940014396,-0.0161062363564476
2011-07-12,-0.0008110989646746,-0.0059701720280433,0.0103448453518404
2011-07-13,-0.0215097850537398,-0.0238237941672168,-0.0067435143983651
2011-07-14,-0.0014077702868248,0.0006153987004207,-0.0192632549729179
2011-07-15,0.008509663327389,0.0073260589366099,0.0182909219476345
2011-07-18,-0.0198314649139985,-0.0251379436442194,0.018785228027291
2011-07-19,-0.0041784467424805,-0.008059464818994,0.041523394798228
2011-07-20,0.016863210337256,0.0193387057182499,0.0035789585674537
2011-07-21,0.0100267306496771,0.0072159257540134,0.0395735305868057
2011-07-22,0.0087739171741181,0.0089338660125715,0.0074646313234869
2011-07-25,-0.0013170203274421,-0.0028985064962635,0.0155287360485964
2011-07-26,0.002721422912483,0.0040674959847039,-0.0051390829655069
2011-07-27,-0.022028726981349,-0.0311239713921898,-0.0090147164196947
2011-07-28,0.0081113358603516,0.0065632821509157,0.0129670322781475
2011-07-29,0.0256949277752764,0.0340501614466953,0.0073086255986297
2011-08-01,0.0018163880684457,0.0028652856661609,-0.0042681891997814
2011-08-02,-0.0404034084897359,-0.0459443848270245,-0.0184623046366612
2011-08-03,0.0002060508800865,-0.0011940571799206,0.0122919219363461
2011-08-04,-0.1006032172566477,-0.1022248311113237,-0.0868294115570287
2011-08-05,-0.0650872836281782,-0.0639573633250028,-0.0691702625310146
2011-08-08,-0.0332524658730143,-0.022878259428267,-0.1223485918102564
