Date,Weighted Industry Change,OI Change,SON Change,KMB Change
2011-04-18,0.0057782822530732,-0.0006761479991635,0.000575387190145,0.0084355771128364
2011-04-19,0.0052063845794767,0.0077860370720378,0.0112133238452151,0.0033536563915982
2011-04-20,-0.0013289476956976,-0.010901880367214,-0.0044855580494929,0.0040909173388257
2011-04-21,-0.0038225808949472,0.0019973190450659,-0.0150269002670288,-0.003169292712104
2011-04-25,-0.0034667427219816,0.0013315248655012,-0.0120794356661793,-0.003567526015409
2011-04-26,0.0083249330414869,0.0115970966842469,0.0026087000750115,0.0074614934404156
2011-04-27,-0.0020129555191653,-0.0038935409822511,0.0051843404045862,-0.0023024109022677
2011-04-28,-0.0106139917331973,-0.0289902695400407,-0.0037249588089225,0.0103220165629393
2011-04-29,0.0021422126728604,-0.0040282254295217,-0.0054675863801144,0.0070122071782584
2011-05-02,0.0189953753636761,0.0349462029630428,-0.0011540945096204,0.001208768931428
2011-05-03,0.021506568169217,0.0292397530361575,0.0066822594180467,0.0154685919033645
2011-05-04,0.0021584397528089,-0.0009502305855832,-0.0089286106679675,0.0050821872234143
2011-05-05,0.0016254652634442,-0.0035087913560785,0.0128881795334671,0.0036041587909157
2011-05-06,-0.0011331836099847,0.0044234217593829,-0.0074327708672285,-0.0053538879711959
2011-05-09,0.0071232224317663,0.0122526326714378,0.0074841194292273,0.0038839861088028
2011-05-10,0.0098249659464296,0.012666044514702,0.0111047665577904,0.0077437980410075
2011-05-11,-0.0015838991894057,-0.0009171134251457,0.0028376410147052,-0.0028077471101441
2011-05-12,0.013522367391425,0.0141320766591267,0.0101983177941147,0.0137838463242251
2011-05-13,-0.0013196697586178,-0.0003028876716628,-0.0100812270955249,-0.0005854257519553
2011-05-16,-0.0036629624940109,-0.008838796202045,0.0048322389843841,0.0013235125813269
2011-05-17,-0.0152428362180951,-0.0292938869565116,-0.0073822296200725,0.0036710641458775
2011-05-18,0.0144735533178422,0.0237492688144573,0.0051355295033916,-0.0008778235006623
2011-05-19,0.0043245425767115,0.006777610194338,0.0005645062825683,0.0032253315277294
2011-05-20,-0.0112544032048314,-0.0175926412138461,-0.009026789504579,-0.0026332015743101
2011-05-23,-0.0035947293753484,-0.0079744815616579,0.0005753871901449,0.001326438511424
2011-05-24,0.0007032509259976,-0.0070287322273798,-0.0046096183126574,0.006034737807953
2011-05-25,-0.0015683649929702,0.0106934516260301,0.0034844004461997,-0.0082135259992282
2011-05-26,0.0029404032447298,0.0032216002310447,0.0090012016739919,0.0017753879893823
2011-05-27,0.0035957798818662,0.0128081852191288,0.0031527833842323,-0.0030941112813127
2011-05-31,0.0049916218265869,0.0075282238844448,0.0071083313339704,0.0030841141592043
2011-06-01,-0.0208699701320804,-0.036080923785556,-0.0335589017888628,-0.0093924631404095
2011-06-02,-0.0053065474830603,0.0022544799965502,-0.0035077151445829,-0.0100620994997919
2011-06-03,-0.0035779360099953,-0.0039164143040194,-0.0020765261561948,-0.0036220488138331
2011-06-06,-0.0020036900210587,-0.008218277428435,-0.0125149572841447,0.001817332641349
2011-06-07,-0.0034482094640099,-0.0016463991777236,0.0050745722073228,-0.0063329705562643
2011-06-08,-0.0044008272673294,-0.013907286943163,-0.0017835184209968,0.0009174195276152
2011-06-09,0.003462989760045,0.0133869322996541,0.0115864346826021,-0.0048669388904108
2011-06-10,-0.0133466219271996,-0.0196013337246039,-0.0097029706746114,-0.0099585881759139
2011-06-13,-0.0044305897953554,-0.0118523661812175,0.0023732374140446,-0.0003080267065159
2011-06-14,0.0049133919042246,0.0003386464154861,0.0043988719234911,0.0084550291352468
2011-06-15,-0.0485732559436551,-0.0610294044430282,-0.0227003739573122,-0.0010731528674969
2011-06-16,-0.0097401667071892,-0.0176332584195765,-0.0042193908487273,0.0087490515021001
2011-06-17,0.0059696547589671,0.0094711827021698,-0.0048062434067847,0.003941813314954
2011-06-20,-0.0049657203336691,-0.0145211514337526,0.0081423540110401,0.0080000384360261
2011-06-21,0.0074846359612044,0.0130280270311886,0.007456009815138,-0.0026854492598364
2011-06-22,0.0065871060003727,0.0137523954274597,0.0065321026932803,-0.0046462637125871
2011-06-23,0.0046498399908095,0.0082872566380474,0.0098448094227571,-0.0007560969226367
2011-06-24,-0.0058404132189705,-0.0035087779308532,0.0047128083598386,-0.0113447045587413
2011-06-27,-0.0003692668446416,-0.0039541470086831,0.0156019652708717,0.0019911318640697
2011-06-28,-0.0053132349602918,-0.0098658247235436,0.0126911584841204,0.0
2011-06-29,-0.0017665085452316,-0.0059382271247473,0.0008491021155426,0.0022720098391887
2011-06-30,0.012831961315817,0.0221781966709855,0.0014088259987567,0.0033162475076715
2011-07-01,0.012727866807017,0.0194704047530413,0.0075461281994201,0.0082893689255795
2011-07-05,-0.0034335079544483,0.0038153523450129,-0.0111049839199178,-0.0095295182479468
2011-07-06,0.0083520368935969,0.0198397739766319,0.006197217484595,-0.003451356630871
2011-07-07,-0.003861105545746,-0.0077863956180626,-0.0050069624855567,-0.0005992234593271
2011-07-08,0.0023560916706401,0.0015157603809203,-0.0002838290509101,0.003464413056225
2011-07-11,-0.0003831842615465,-0.0111323998722477,0.0042979284992414,0.0054347734683151
2011-07-12,-0.0041820167209758,-0.0073386879562828,-0.0002854216923099,-0.0011977292112131
2011-07-13,-0.0044360559835314,-0.0011574338949538,-0.0170551014473076,-0.0028387903093776
2011-07-14,-0.0129004877728584,-0.0234255218473447,-0.018949285886081,-0.0068821180649185
2011-07-15,0.0059667904588121,0.0047003105623704,-0.0020419981714379,0.0072050711775655
