Date,Weighted Industry Change,BLMN Change,BJRI Change
2011-04-18,0.0011941542473378,0.0,0.0011941542473378
2011-04-19,0.008289873614439,0.0,0.008289873614439
2011-04-20,0.0104651340218477,0.0,0.0104651340218477
2011-04-21,0.0733056760460319,0.0,0.0733056760460319
2011-04-25,0.009225494519309,0.0,0.009225494519309
2011-04-26,-0.0078823805434507,0.0,-0.0078823805434507
2011-04-27,-0.0040974472953532,0.0,-0.0040974472953532
2011-04-28,0.0163114399188077,0.0,0.0163114399188077
2011-04-29,0.0047079225948692,0.0,0.0047079225948692
2011-05-02,-0.0252873379949439,0.0,-0.0252873379949439
2011-05-03,-0.0103649217879996,0.0,-0.0103649217879996
2011-05-04,0.0034881153507263,0.0,0.0034881153507263
2011-05-05,-0.010438812912336,0.0,-0.010438812912336
2011-05-06,0.0134099845520187,0.0,0.0134099845520187
2011-05-09,-0.0159295396377515,0.0,-0.0159295396377515
2011-05-10,0.0125317823904896,0.0,0.0125317823904896
2011-05-11,-0.0010543913747616,0.0,-0.0010543913747616
2011-05-12,0.0273247392616794,0.0,0.0273247392616794
2011-05-13,-0.0090553328941603,0.0,-0.0090553328941603
2011-05-16,-0.0229692730870833,0.0,-0.0229692730870833
2011-05-17,0.0078009472802886,0.0,0.0078009472802886
2011-05-18,0.022420632595144,0.0,0.022420632595144
2011-05-19,0.0074581521332931,0.0,0.0074581521332931
2011-05-20,-0.0030198855790462,0.0,-0.0030198855790462
2011-05-23,0.0108273497658073,0.0,0.0108273497658073
2011-05-24,-0.0245620586064089,0.0,-0.0245620586064089
2011-05-25,0.0177722798346539,0.0,0.0177722798346539
2011-05-26,0.0148797293477808,0.0,0.0148797293477808
2011-05-27,0.0041999816894531,0.0,0.0041999816894531
2011-05-31,0.0066810799109,0.0,0.0066810799109
2011-06-01,-0.0230333850423507,0.0,-0.0230333850423507
2011-06-02,-0.0162292401476137,0.0,-0.0162292401476137
2011-06-03,-0.0239818042800793,0.0,-0.0239818042800793
2011-06-06,-0.0099830331865685,0.0,-0.0099830331865685
2011-06-07,-0.0051205007305059,0.0,-0.0051205007305059
2011-06-08,-0.0066609662052583,0.0,-0.0066609662052583
2011-06-09,-0.0109795937105211,0.0,-0.0109795937105211
2011-06-10,0.0019672164500084,0.0,0.0019672164500084
2011-06-13,0.0021791738973288,0.0,0.0021791738973288
2011-06-14,0.015675317737171,0.0,0.015675317737171
2011-06-15,0.0010706474570387,0.0,0.0010706474570387
2011-06-16,0.002774243841698,0.0,0.002774243841698
2011-06-17,-0.010363745271163,0.0,-0.010363745271163
2011-06-20,0.0101032075683199,0.0,0.0101032075683199
2011-06-21,0.0212630241538557,0.0,0.0212630241538557
2011-06-22,0.0012515931374596,0.0,0.0012515931374596
2011-06-23,0.0221145587022701,0.0,0.0221145587022701
2011-06-24,0.0063550918624168,0.0,0.0063550918624168
2011-06-27,0.0140415638985865,0.0,0.0140415638985865
2011-06-28,0.0237194037240934,0.0,0.0237194037240934
2011-06-29,0.015740407844963,0.0,0.015740407844963
2011-06-30,0.00019106277979,0.0,0.00019106277979
2011-07-01,0.0152380807059151,0.0,0.0152380807059151
2011-07-05,0.0291642832238262,0.0,0.0291642832238262
2011-07-06,-0.0045405011580924,0.0,-0.0045405011580924
2011-07-07,-0.0067235860456527,0.0,-0.0067235860456527
2011-07-08,0.0115542104667871,0.0,0.0115542104667871
2011-07-11,-0.0044534768322086,0.0,-0.0044534768322086
2011-07-12,0.003548722888682,0.0,0.003548722888682
2011-07-13,0.0268219924418756,0.0,0.0268219924418756
