Date,Weighted Industry Change,ILMN Change,COHR Change
2011-04-18,-0.0058463331800411,-0.005523139707213,-0.0130778978172681
2011-04-19,0.0040147427769111,0.0029971068212363,0.0161379880235063
2011-04-20,0.0136371940404336,0.0129965627723626,0.0273873956353814
2011-04-21,0.0089405705411633,0.0093998772456374,-0.0047005651848696
2011-04-25,-0.0103652651942463,-0.010889501527875,0.0001753476228154
2011-04-26,-0.0025680214127413,-0.0048289156313185,0.0367518780407756
2011-04-27,-0.0250067927720239,-0.0293996340531978,0.0386693187035851
2011-04-28,0.0126530359389134,0.0093207694515627,0.034896894820358
2011-04-29,-0.008764627620997,-0.0074115335402619,-0.019604768395639
2011-05-02,0.0044700851951461,0.0060751668916608,-0.0166640099195451
2011-05-03,0.0077222100303783,0.0109611964468208,-0.0290322457590412
2011-05-04,-0.0159752158303235,-0.0157798805165018,-0.0168716449971163
2011-05-05,-0.011623652073298,-0.0082845566827162,-0.0331662029802776
2011-05-06,0.011483943733372,0.013526938670556,-0.0151843791553178
2011-05-09,0.0240288829079784,0.0257594334317439,0.0062711683370299
2011-05-10,0.0244310244989475,0.0253422241954266,0.0103974328488865
2011-05-11,-0.0057132500004301,-0.0035995769200294,-0.0328333536783852
2011-05-12,0.0131097544843028,0.0133352036860335,0.0081343238254192
2011-05-13,0.0087848719425907,0.0112716938448868,-0.0225640973474224
2011-05-16,-0.0130380368454013,-0.0118765048875243,-0.0262415973195266
2011-05-17,-0.0197049378946075,-0.0206227083023111,-0.0050937345420448
2011-05-18,0.0121185692549893,0.012262322502004,0.0102489271512898
2011-05-19,-0.01280142820278,-0.0146005382348487,0.0053889538642945
2011-05-20,0.0033175901898875,0.002063010971911,0.0127468415574072
2011-05-23,-0.0036313952360032,-0.0034722222222222,-0.0046813491527649
2011-05-24,-0.0107722817483435,-0.0090466463421432,-0.0236504346096557
2011-05-25,0.0343245588226232,0.0362985153438405,0.0085900857334521
2011-05-26,0.0105035996257159,0.0115518698494285,0.0055783387610134
2011-05-27,-0.0036049116031565,-0.0066107058655658,0.0217712230362667
2011-05-31,-0.003971649341542,-0.0051069031438582,0.0035777628404821
2011-06-01,0.0076896819748914,0.0108559331365583,-0.0547361259285317
2011-06-02,0.0095027515011429,0.0088704002233302,0.0163903334942195
2011-06-03,0.0026924563693627,0.0052961289674978,-0.0130262870588071
2011-06-06,0.0063782970810307,0.0111016476317785,-0.0243808879639748
2011-06-07,0.0072420417122489,0.0081807586719564,0.0015667452840936
2011-06-08,0.0096603327122208,0.0111785477343088,-0.0047178664990907
2011-06-09,0.0079275266133742,0.0088992540762786,-0.0084729124172569
2011-06-10,-0.0103622122212358,-0.0112848646718696,0.0013997902793638
2011-06-13,-0.0239723850721772,-0.0250718489549171,-0.0151093107964353
2011-06-14,0.0148383255533891,0.0131819166118169,0.0297523524219519
2011-06-15,-0.0105330840625786,-0.0101927300885007,-0.0143419122799522
2011-06-16,0.0056711991470931,0.0063766040837207,-0.002195544890308
2011-06-17,-0.0082376443396217,-0.0080555809868706,-0.0099780481722188
2011-06-20,0.0176851770314403,0.0177115848614107,0.0174194982571926
2011-06-21,0.0155581274874197,0.0108204477799256,0.0366936409694734
2011-06-22,0.0101068247484533,0.0109770639455745,-0.0021084301229621
2011-06-23,0.0059994961718242,0.006107450412301,0.0046874582069
2011-06-24,-0.0124366278930208,-0.0153763069737441,0.0087582863679368
2011-06-27,0.0153424961939166,0.0158926386636486,0.0028918744740266
2011-06-28,0.0227462432221627,0.0226843148873536,0.0237094014637787
2011-06-29,-0.0128325877202207,-0.0132354152686274,-0.0024172044694804
2011-06-30,-0.0060357542761361,-0.0079207719355919,0.0256077395387818
2011-07-01,0.0111625407005028,0.0113091861722407,0.0095564840018635
2011-07-05,0.0206196057879866,0.0207213354892418,0.0182012926677353
2011-07-06,-0.0018981029618627,-0.0063791785853653,0.0237637711205617
2011-07-07,-0.0168969645051392,-0.0188386978641633,0.0005035041687635
2011-07-08,0.0135400988441348,0.0141221052819887,0.0064614392882932
2011-07-11,-0.022894169913805,-0.0238126142289678,-0.0087478272419772
2011-07-12,-0.0012491723182366,0.0025881324415433,-0.0279513339983447
2011-07-13,-0.0048317570350511,-0.0036348498586898,-0.00920185203524
2011-07-14,-0.0114553317038119,-0.005533756957485,-0.0487457375626683
2011-07-15,-0.0099074596412312,-0.0118062521069096,-0.0027912452771473
2011-07-18,-0.0168007512571116,-0.018896589608028,0.0003742600725607
2011-07-19,0.0123553686517533,0.0121967628607116,0.0136556873448982
2011-07-20,0.0109068616967761,0.0117809903831563,0.0
2011-07-21,0.009453297633812,0.005834468425796,0.0416363802823153
2011-07-22,0.0052652257966838,0.003638871746171,0.0152284074150022
2011-07-25,-0.0206293902375696,-0.024696381494445,0.0034583597079326
2011-07-26,-0.0253659682308332,-0.0262826406472986,-0.004998292196472
2011-07-27,-0.0927823612345402,-0.0935968089951828,-0.0509598291068862
2011-07-28,0.0327590284866569,0.0431094485946082,-0.0639404958269834
2011-07-29,0.0386693760177065,0.042919165814656,-0.0372820331350312
2011-08-01,-0.0297976282071931,-0.0299553426337956,-0.0281719662038067
2011-08-02,-0.0203933059544349,-0.0228257067883369,0.0006418223838167
2011-08-03,-4.3578819143744414e-05,-0.0020394108017263,0.0256904471517823
2011-08-04,-0.0593598653066336,-0.0608305851034459,-0.0412065073482344
2011-08-05,-0.0050948059593295,-0.0042742898414139,-0.0228722429647487
2011-08-08,-0.021710819561663,-0.0211132150928463,-0.0292176697430229
2011-08-09,0.0572634347727855,0.057082477232056,0.0590626790704835
