Date,Weighted Industry Change,AVAV Change,ERJ Change,AIR Change
2011-04-18,-0.0164425142360247,-0.014508133195027,-0.0236777505204445,-0.0059594603923559
2011-04-19,0.0067199979456046,-0.0046428271702357,0.0106583719123,0.000797466420435
2011-04-20,-0.0067385412741667,-0.0241391658975544,-0.0012289068038379,0.0015588821420583
2011-04-21,-0.0018067888414228,-0.0010853393617699,-0.000919643785382,-0.0077101294842638
2011-04-25,0.001876786121582,0.0082763416573987,0.0015414011675278,-0.0144475138779904
2011-04-26,0.0060289638971361,0.0213979477364725,0.0046083419168907,-0.0003943307823799
2011-04-27,-0.0068937545403433,-0.0086865877010213,-0.0091631959797706,0.0055052846232149
2011-04-28,0.0188259413254472,0.0031623385623014,0.0198487449687972,0.0204081815975586
2011-04-29,0.0030151323953271,0.0066760555224782,0.0030882789012493,0.0015384967510518
2011-05-02,-0.0027895286668161,0.0178072709410101,-0.0116959387037239,-0.0106952132689683
2011-05-03,0.0126629654620185,0.0010280595950355,0.0177710885249886,-0.0139049328501285
2011-05-04,-0.03066482204645,-0.0082360938965366,-0.0395280263207349,-0.0109718135432216
2011-05-05,0.0217128614104978,-0.0076230497591953,0.0297766449904945,0.0127999877929687
2011-05-06,-0.0001417370702069,0.0003467485724315,0.0017888359259397,-0.006614788764485
2011-05-09,0.0185508246611518,0.01297368210614,0.0164033126090481,0.0298859701046543
2011-05-10,-0.0034225064023021,-0.0063375126621103,-0.0052417095042505,0.0037907651497747
2011-05-11,-0.0132730717580188,-0.0248238773691896,-0.009215147568913,-0.0128934448906817
2011-05-12,0.000848633731882,0.0003450734658315,-0.0066026777526442,0.0247581965262642
2011-05-13,-0.0075530142667959,-0.0120731419190426,-0.0039109825977973,-0.0204236348192113
2011-05-16,-0.0067861346222658,-0.0003496583478479,-0.0097293919356207,-0.0027247837045164
2011-05-17,0.0030521420757587,0.0122549155467282,-0.0024713629594414,0.0102402613285544
2011-05-18,0.0101451395314059,0.0148634739246389,0.0095916267394227,0.0089563683607111
2011-05-19,0.0020563186514478,0.0105084564726231,0.0021368593744852,-0.0084129757768176
