Date,Weighted Industry Change,PIPR Change,OPY Change,GBL Change
2011-04-18,0.0116976198033414,0.0093259339249283,0.0283996115203093,0.0052677512465226
2011-04-19,-0.0041292098329163,-0.0031529884984776,-0.0080906149866124,-0.0136807584087958
2011-04-20,-0.0271580680008208,-0.0279133482764702,-0.009772024005007,0.0021588897924727
2011-04-21,-0.0210170579896063,-0.0241800706768626,-0.0058727669630035,-0.0125558568860704
2011-04-25,0.006160613278666,0.0068552325042293,0.0003300865378343,0.0021767472843663
2011-04-26,0.0005582078670361,-0.0016938893759276,0.0226600528545399,-0.0036876962236323
2011-04-27,0.004265091057091,0.0050905062802256,-0.004186768565567,0.0008703046474714
2011-04-28,0.0200745510698682,0.0169443229795706,0.0432816599552143,0.0034979623354978
2011-04-29,0.0228517832439636,-0.0060992853497221,-0.0492260120787727,0.1209150321753819
2011-05-02,-0.0427416561337064,-0.0313626780933247,-0.0715447402581935,-0.0396578193287817
2011-05-03,-0.0077106990903221,-0.0025788008210014,0.0161121192334102,-0.0798463681660999
2011-05-04,-0.0237227431428436,-0.0143884892086331,-0.0305842366092821,-0.0381309233628799
2011-05-05,-0.0054302337894062,-0.0117542675736148,0.0007122670163111,-0.0006965471409864
2011-05-06,-0.0175296091702039,-0.0132158817334028,-0.0290514502125257,-0.0050239989310259
2011-05-09,0.0017444013234538,0.0065613250436193,-0.0067833106927897,0.021714038667518
2011-05-10,0.028063868704647,0.0079599195854576,0.0350124883976439,0.0671658671482237
2011-05-11,-0.012867588277144,-0.0176627102519117,-0.0215054055107223,0.0124999714061619
2011-05-12,0.0313115079497603,0.0259114385638901,0.0413105359887411,0.0224019848418503
2011-05-13,-0.0358608366941363,-0.0419724190779204,-0.0243151018243266,-0.0274802518052727
2011-05-16,0.0047727602679968,-0.0021551630483613,0.0162544524460229,-0.0050062316534897
2011-05-17,0.0028989891258479,-0.0105655733176984,0.0108543900240858,0.055214727603932
2011-05-18,0.0210422917075755,0.0287769814217554,0.0083188827710492,-0.0248946002489248
2011-05-19,-0.0203772871854891,-0.0160023791180331,-0.0347529964056713,-0.0116042010426676
2011-05-20,-0.0081278569980888,0.0111145605784301,-0.0007132830638601,-0.0165837104238513
2011-05-23,0.0077824349777349,-0.004639700506754,0.036429871482922,0.0088667387873536
2011-05-24,-0.0162312609752805,0.0068387079025543,-0.0411580154180563,-0.0496150481514577
2011-05-25,0.0149429496078897,0.0126738753246029,0.0065885910390358,0.0357546626209875
2011-05-26,0.0015997697507019,-0.0036809490031118,0.0163755738877584,0.0026350713215342
2011-05-27,0.0124008665587878,0.018053860069715,0.0046462140901395,-0.0036844225598798
2011-05-31,-0.007958001088009,-0.0127786117586081,0.0010563622200168,-0.0062218495617325
2011-06-01,-0.0389917301732089,-0.0319565154388869,-0.061658391688718,-0.0388936790032221
2011-06-02,-0.0089149185730579,-0.0142723887994424,0.0082987292136953,-0.009013048377177
2011-06-03,-0.0009888226256603,-0.0022356977329354,-0.0041857156574375,0.0057603146945888
2011-06-06,-0.0100192723563992,-0.0170418225126868,-0.0126825487279187,0.0082549850602303
2011-06-07,-0.0064138273731932,-0.011341554586759,0.0038506116331818,-0.0069741681744839
2011-06-08,-0.0119524372379151,-0.020751022906779,0.0176922724797174,0.0018182260193315
2011-06-09,0.0067660122781241,0.0073628255315344,0.0080213553103412,-0.0051860164755211
2011-06-10,-0.0117189122863995,-0.0123745463747585,-0.0178979173365569,0.0045557983640078
2011-06-13,-0.0162106772712628,-0.0192697666090056,-0.0146888695704616,-0.0040778926525394
2011-06-14,0.0130219982876055,0.0167349644681412,0.0011640969640662,0.0011235531149465
2011-06-15,-0.0094167783353262,-0.0125722336186427,-0.0102040907987794,-0.0004558197494823
2011-06-16,0.0115438362450473,-0.001716417387608,0.0300781424331942,0.0227066599934807
2011-06-17,-0.0043807031402314,-0.0020442747925912,-0.0079006427793614,-0.0063975381245639
2011-06-20,0.0058056891881645,0.0068610897275042,0.0034246632510029,0.0059919890386743
2011-06-21,-0.0013857781367292,-0.0061265623883173,-0.0011286940079615,0.0284650892970706
2011-06-22,-0.0020614437267711,0.000345550404191,-0.0049168330366627,-0.0073039426087488
2011-06-23,0.0113664413079183,0.0034904147574596,0.0184900410829391,0.0174277358547177
2011-06-24,-0.0245337838675121,-0.0274305218439769,-0.0056711350303279,-0.0315606883749348
2011-06-27,0.014851302787379,0.0168459221193308,0.0301871993074362,0.008246017421924
2011-06-28,-0.0145124000853114,-0.0186030428537523,-0.004441185684692,-0.0092225940721629
2011-06-29,0.0020223336519435,0.0106496001508005,-0.0029542069398612,0.0048878231485125
2011-06-30,0.0195110791709225,0.0069905225908475,0.0432691615876928,0.0164690402063816
2011-07-01,0.0113130558530196,0.0066133149002768,0.0274705148609538,0.010569454961242
2011-07-05,-0.0098822996958764,-0.0069468828266548,-0.0233693782529126,-0.0044843476677156
