Date,Weighted Industry Change,PLT Change,WCC Change,T Change,BDC Change,VZ Change,TU Change,CNSL Change
2011-04-18,-0.0048083855395754,-0.0113835203956594,0.0018603180849742,-0.0036160621326653,-0.0013657262012286,-0.0077126891648592,0.0143570246981402,-0.012554560374873
2011-04-19,-0.0005181691464236,-0.0161480631116212,-0.0139636277848845,0.0,-0.0040916946673007,-0.0008049041837513,0.0139116262339721,-0.0099337912162809
2011-04-20,0.0007132681487319,0.01112415309756,0.0028423033780639,-0.0013258506936092,0.0077664947601037,0.0045189257966324,0.0026000213623047,0.0027487210331265
2011-04-21,0.0034894370581753,-0.0060431391215152,-0.0089664042336547,0.0132100267324857,-0.0029061241767154,-0.0043161545381521,0.0031802791302854,-0.0054466436898343
2011-04-25,-0.0032798676589236,0.0023174396088234,-0.0142342759667639,-0.0039126455472737,-0.0002661558207327,-0.0021580258164553,-0.0047496115093488,0.0011013468024076
2011-04-26,0.0104270176058164,0.0308891372308732,0.0044568609261413,0.0084745836471838,0.0288283552763334,0.0126480415132685,-0.0031752301915085,0.0054615174432819
2011-04-27,0.015028624616503,0.0134529018534424,0.0018061870755053,0.01485791361189,0.0194805194805195,0.0159362138062248,0.0001991697486304,0.0065358893189311
2011-04-28,-0.0003109675838412,0.0091590852688096,0.0126644813721365,-0.002226453359897,-0.0112158713189704,0.0031454502512499,0.0001999227758247,-0.0027055864880446
2011-04-29,-0.0067332395215319,0.0178473794222524,0.0060084267762748,-0.0082854789192687,-0.0243714924088207,-0.0052659495879412,0.0048066866073032,0.0010886526674691
2011-05-02,-0.0143008726859711,-0.0204520539465538,-0.0213517709344446,-0.0123418130471215,0.0240209399991933,-0.0200887143485557,0.0057734604453559,-0.018918939538904
2011-05-03,0.0076446914989747,-0.0179014459183424,-0.0168011937596051,0.0107868067147868,-0.0168970769126345,0.0047846972431257,0.0015867083292353,0.0038482513891716
2011-05-04,0.0042397216264408,0.0535443320177055,-0.0249748857237288,0.0028391214644103,-0.0117279326418097,-0.0007958247582752,-0.0073529199946084,-0.0043668081353001
2011-05-05,-0.0127246487843011,0.0461806604267983,-0.0181190547581847,-0.0157629259402125,-0.0007993280115273,-0.0119776621398653,0.0327207190770081,-0.0038043313193182
2011-05-06,-0.0077431653147414,0.0076943881284186,-0.0069192443587055,-0.0095056794086542,-0.0141918771709562,-0.0048051337313136,-0.0081269733197064,-0.0054025056852075
2011-05-09,0.0036686241988445,0.0225973820146731,0.0078288233563535,0.0048076799635353,0.0214937993235625,-0.0010728836410874,0.0087463703841882,0.0070308853285278
2011-05-10,0.0081763746355775,0.022087830122287,0.0060116535002172,0.0073109172370727,0.0190451215070093,0.0077789947699351,0.0202585220907986,0.0166399026975726
2011-05-11,-0.0083935790713209,-0.016878674097947,-0.014065175052403,-0.007590185708313,-0.0267627611732541,-0.0087789792422221,-0.0117424041826421,-0.0084611236754716
2011-05-12,0.006695828836253,0.002656808991497,-0.0236220866627106,0.0066814852826478,0.0253198494495987,0.0088949284266109,0.0007701370154979,0.0101387692837888
2011-05-13,-0.0073780476394304,-0.0177671223869422,-0.0187868893993049,-0.0066413974145353,-0.0221066910780829,-0.0066648896610717,-0.0153786856982071,-0.0116340198376364
2011-05-16,-0.0080448043851858,-0.0051658138394481,-0.0016375573887758,-0.0083014122418653,-0.0152733038447282,-0.0077830680057353,-0.0029464059384892,-0.0139111942992215
2011-05-17,0.00340158925054,0.0027480706374182,-0.028492702358114,0.0032237388779502,-0.0134689847190864,0.0056910318641959,0.0178465500779809,0.0163487319250136
2011-05-18,0.0009484940958556,-0.0024725315608545,0.0120754601820459,0.0012837264352767,0.0333333545260958,-0.0021522200779727,0.0130477507994521,0.0
2011-05-19,0.0025778201538671,-0.0073489506104708,-0.0157523811812978,0.0038362829044308,-0.0159786547619666,0.0034955921730491,0.0003832973868665,0.0042575795533862
2011-05-20,-0.0010676170525651,-0.0079890061053021,0.0174044297828698,-0.0009569596899666,0.0010917280620546,-0.0026845227951973,0.0015417581806841,-0.0053022469901108
2011-05-23,0.0023398499892677,0.0011389782671952,-0.0060663449255776,0.0025806427001952,-0.0047846376241466,0.0027210469148597,0.0041071597904505,-0.0032398148924375
2011-05-24,0.0014269639251729,-0.0045274433141277,0.0064873145120735,0.0025740001255609,-0.0225034951963249,-0.0002708838139943,0.0021375944871471,-0.0064586027839693
2011-05-25,-0.0016738532386718,0.0202280037047123,0.0041904994419642,0.0022631650220999,0.0271597402522967,-0.0087145883493,0.0054485071535781,0.0021609404475478
2011-05-26,0.0059381676985016,0.007305375679081,0.0022366995055327,0.0041962901883843,0.0076292868725689,0.0090959713935548,0.0093421473775367,0.0091743157039632
2011-05-27,0.0011909310447836,-0.0050097496144427,0.0105418845578203,0.0022422038344795,-0.0050195287817096,-0.0019053757845229,0.0055887631323656,0.0026596354488466
2011-05-31,0.0020005563309892,0.0121749432439747,0.0094407521020309,0.0025412936743763,-0.006633545506976,0.0005418709793106,-0.0070195207420095,0.0094936874402695
2011-06-01,-0.008900390032101,-0.0417697302351716,-0.0430630520657376,-0.0082723584587117,-0.0479911052840476,-0.0052111528107499,-0.0101086930423793,-0.018238685342846
2011-06-02,-0.0040542106551087,0.0245644287798384,0.0090549589159034,-0.0064164505117074,0.0070092830608844,-0.0033067716603633,0.0081506305762094,-0.0042238606890319
2011-06-03,-0.0010769038546232,-2.2549156954004963e-16,0.0009530926026139,0.0016339619750731,-0.0109467142081787,-0.00613660851798,0.0107191429027489,-0.004262116236282
