Date,Weighted Industry Change,OGE Change,TVE Change,PPL Change,ES Change,MGEE Change,DTE Change,HE Change,NEE Change,POR Change
2011-04-18,0.0002960951773171,-0.013338570248758,0.0015993205842725,0.001493104110932,-0.0056429651630996,-0.0036955056704855,-0.0028606332974441,-0.0098039124022075,0.0045720555706788,-0.0105485228671779
2011-04-19,-0.0010989864773118,0.0029726818985428,0.0019999694824219,-0.0029805689640254,0.0038783134349607,-0.0079012270326968,-0.0038862472710362,-0.0049423737990007,0.0001821851555866,0.0012739145485108
2011-04-20,0.0049035381814595,0.0202688963748778,0.001592951302527,0.0018545923911123,0.0061874751817066,0.0022129840638839,0.0052910488290571,0.0078093109187597,0.0065076032598973,-0.004111857842293
2011-04-21,-0.0030212406145463,0.0032449319645566,-0.0035728523493362,-0.0062799609527952,0.0035036184491902,-0.003655805889454,0.0002022267775093,0.0057072721455182,-0.0041263607823401,-0.0008210368334379
2011-04-25,0.0002972922921764,-0.0108406901801367,0.0055776648414632,0.0007427090073407,0.0063989935768177,0.0004908321940143,-0.002422752571012,0.0060925919340847,-0.0005406846834857,0.0037128776170669
2011-04-26,0.0022788822097389,0.0044078102892137,0.0031847102322189,0.0007377777005614,0.0011511054828012,0.0075850361565545,-0.0117290560587691,0.0145336575030256,0.0088209124247814,0.0061450069425615
2011-04-27,0.0056352852015256,0.0085976454265869,-0.0047903766682449,0.0069904226666269,0.0065883570106453,0.0123997137724968,0.0126530394262198,0.013938608746063,0.001068781153248,0.0093457755600211
2011-04-28,0.0076005396391441,0.006456516399033,-0.0028078497379595,0.0007296280540567,0.007977282226966,0.0060010060966712,0.0090890886325022,0.0059124798410848,0.0148214612688336,0.008064547140815
2011-04-29,0.0008086642882189,0.0011296847656608,0.0020120417019321,-0.0003644151957031,0.0042312470508731,0.0016690665424571,0.0124223388855994,0.0,0.0001767737144703,-0.0016000366210938
2011-05-02,-0.0023904390562605,-0.0058150696924634,0.0,-0.0043494299625913,-0.0044656336570626,-0.0119047846112931,0.0092848919522019,0.008235258214614,-0.0029945742869785,-0.0031999969482421
2011-05-03,0.005243975782028,0.0013237460932356,0.0044053109081477,-0.002542641425224,0.0005602369001749,0.0060255253724947,0.0090195898916207,0.0038880398187959,0.0132462030050948,-0.0012024322937123
2011-05-04,0.0012825936208996,-0.0087022148914349,-0.0023847164668622,0.0018175140284898,0.0014013238966617,-0.0076720135990159,0.0058628700897608,-0.0054159108290546,0.002443696760537,-0.0059999847412109
