Date,Weighted Industry Change,TILE Change,FLXS Change,HOFT Change,ETH Change,BBBY Change,BSET Change
2011-04-18,0.0075779445371618,0.0066926341239452,-0.0479078212746062,0.0155101698272079,0.0161435256801837,0.0074033918292602,-0.0181817719430634
2011-04-19,0.0018800902467631,0.0033463170619726,-0.0153846153846153,0.0265914526803858,0.0153307219728151,-0.0003579820681233,-0.0012300404355558
2011-04-20,0.0089350254648924,0.003814697186323,-0.0212121443314988,0.0054730019572319,0.0101608705584599,0.0092035479250206,0.0024420584601221
2011-04-21,0.0054812225834025,0.0064446254820741,-0.0305105720680302,-0.0115651942263956,0.0099667679351564,0.0052631445098341,0.0048721025173168
2011-04-25,-0.0103842571178703,-0.0042507930394948,0.0051216340776043,-0.0109975958116842,-0.0004127209686653,-0.0125676594378965,0.0080553109181447
2011-04-26,0.0048672671287608,-0.0005339150627998,-0.055133073528593,-0.0095162481226188,0.0214610180597502,0.0040421711084089,0.0067416204706093
2011-04-27,0.003703280345957,0.0278671201509033,-0.0451827439573325,-0.0240000152587892,0.0176778041320726,0.0010491585020426,0.0055494105954167
2011-04-28,0.0104307661578641,0.0026455632496497,-0.0117647113175008,0.0073710198449396,0.0708164045747116,-0.0061167822675914,-0.029768413800877
2011-04-29,-0.0116597165741208,-0.0215223025633765,0.0014015068989346,0.0113820640225594,0.0117597939070102,-0.0128385426380637,0.0067644216900594
2011-05-02,-0.0029512483811582,-0.0069111730174143,0.0048712383703332,-0.0322320405679688,-0.0251650419187864,0.0005348056115898,-0.0100670249594929
2011-05-03,-0.0052376878676605,0.0080863359594766,-0.0087837914030773,0.0008333524068192,-0.0148053503873756,-0.0067990887862778,0.0170260625863625
2011-05-04,-0.0024548496333957,-0.0021344188189561,0.0,-0.0109519895277398,-0.0175513628724145,-0.0008996590520058,-0.0507327863665212
2011-05-05,0.0034293226791133,0.0297780814756993,-0.0168918916741976,-0.0462328722383454,-0.0334066034673333,0.0085037310803404,-0.0130640921235788
2011-05-06,-0.011009277995267,-0.0088082944566912,-0.0094979234614886,-0.0379523661139733,0.0093834226852623,-0.0143388449145643,0.0362319082620564
2011-05-09,0.0026047561476468,0.0126050293895964,-0.0068776053460857,0.0478821799450012,0.0212483195659181,-0.0021586424097029,-0.0103091871286077
2011-05-10,0.0166619883187388,0.0119110023793951,0.003455438134911,0.0278988393526091,0.0206629165602696,0.0167176035829489,-0.0022936304072484
2011-05-11,-0.0092656223121765,-0.0205022867164363,-0.0006873009450682,-0.0317052170642816,-0.0181818313789259,-0.0069173356200766,-0.0091324111433575
2011-05-12,0.0071376546830819,0.0210747960051395,-0.0163154160772115,0.0258237691316588,0.0221162289979696,0.004110804988383,-0.0011559856241032
2011-05-13,-0.0101004014592223,-0.0160124671238522,-0.0145732158480687,-0.0008680753892762,0.0012722937549862,-0.0106666395399306,0.005807223313428
2011-05-16,-0.0068695592455831,0.0084925608341958,0.0077793248943726,-0.0513936604912654,-0.0171013094898711,-0.0077645412943727,-0.0080367043074216
2011-05-17,0.0069116243652571,0.0206786520162879,0.0,-0.0213556625937602,-0.0030729411792286,0.0023761847978558,-0.0057536524136794
2011-05-18,0.007290941007925,0.0092975361312506,0.0126138294132661,0.018850213893606,0.0013152427596634,0.0078581925362438,-0.0299193656803436
2011-05-19,-0.0036888982264877,-0.0010146398449501,-0.0055594108267812,-0.0276242400133129,0.0052061103342882,-0.0045322697732337,-0.0034324638165697
2011-05-20,-0.0143963586786561,-0.0035843113011624,-0.006249944534565,-0.0009505920576702,-0.011728951016272,-0.0159049162660014,0.0
2011-05-23,0.0048578421271352,-0.0047120497796013,0.0138889422387266,0.0,0.0139137996583722,0.0056190155551623,-0.0011547608612053
2011-05-24,-0.0087391507356241,-0.0277487264952989,-0.0068493410175966,-0.0106074887069601,-0.0127640412386919,-0.0037139638608959,-0.0022987936238868
2011-05-25,0.0130823923769879,0.0086674844364063,0.007575733692104,0.014763836068639,0.0237668477479001,0.0121358792852042,0.0023040902518667
2011-05-26,0.0013618681802646,0.013506212690906,-0.0054274033207797,0.0233009482207631,0.0197889519555314,-0.0016697615962901,0.0
2011-05-27,-0.0051526596606773,0.0047669574464237,0.017053206180226,-0.0009416411477964,-0.0081440434924543,-0.0063197055280565,0.0057803691259999
2011-05-31,-0.0016779919314072,-0.0010379064498472,-0.0033534668844105,0.0185185005308345,-0.0085214683187919,-0.0016672870202132,-0.0023201281154144
2011-06-01,-0.0138998993634687,-0.020811635422502,0.0148849980381281,-0.0009173647300427,-0.0513817159714096,-0.0089635770135385,-0.0300577210027317
2011-06-02,-0.0182431740595126,-0.0116649636046339,-0.0072273724324341,-0.0137741567929851,-0.0618182095614345,-0.0109166538564735,-0.0367393448246525
2011-06-03,-0.0081057198009381,-0.0286951163508526,0.0202565313005109,0.017029357651157,-0.0167984267012227,-0.0059706773791677,-0.0094786644174716
2011-06-06,0.0008345730925005,-0.0139043385075028,0.0,-0.0046685518727144,-0.0200903878250037,0.0056464352040701,-0.0323353826860721
2011-06-07,0.0106928591394315,-0.0234244321888105,-0.0119920254784158,-0.0310442069758539,-0.0096202802054488,0.0154708808977869,0.0522388157073007
2011-06-08,-0.0021004873676676,0.0017251689303318,-0.0026863640651936,-0.0166340579111714,-0.0401855070982655,0.0013315521253676,-0.0107654548576076
2011-06-09,0.0104942659318629,0.0045584004093355,-0.0020270089584167,-0.0019860481326165,0.0134120176065474,0.0107750411792592,0.0036585041059747
