Date,Weighted Industry Change,VLO Change,MPC Change
2011-04-18,-0.0029454959932832,-0.0029454959932832,0.0
2011-04-19,0.0296955737220379,0.0296955737220379,0.0
2011-04-20,0.008890479180577,0.008890479180577,0.0
2011-04-21,0.0175253569100416,0.0175253569100416,0.0
2011-04-25,0.0072664149751108,0.0072664149751108,0.0
2011-04-26,-0.0440122880354115,-0.0440122880354115,0.0
2011-04-27,-0.0213137604319211,-0.0213137604319211,0.0
2011-04-28,0.0067978156208138,0.0067978156208138,0.0
2011-04-29,0.0064012043738694,0.0064012043738694,0.0
2011-05-02,-0.0154820276614088,-0.0154820276614088,0.0
2011-05-03,-0.0278671108124824,-0.0278671108124824,0.0
2011-05-04,-0.0183891328375026,-0.0183891328375026,0.0
2011-05-05,-0.0018968153655819,-0.0018968153655819,0.0
2011-05-06,0.0029951204200277,0.0029951204200277,0.0
2011-05-09,0.0309124948125445,0.0309124948125445,0.0
2011-05-10,0.0175063011069179,0.0175063011069179,0.0
2011-05-11,-0.0407656553800753,-0.0407656553800753,0.0
2011-05-12,-0.0122859242814047,-0.0122859242814047,0.0
2011-05-13,-0.0089152676351453,-0.0089152676351453,0.0
2011-05-16,-0.0124246961626027,-0.0124246961626027,0.0
2011-05-17,-0.0053763018658915,-0.0053763018658915,0.0
2011-05-18,0.0180008012503533,0.0180008012503533,0.0
2011-05-19,-0.0100820996798123,-0.0100820996798123,0.0
2011-05-20,-0.0173519294802474,-0.0173519294802474,0.0
2011-05-23,0.0085570072574634,0.0085570072574634,0.0
2011-05-24,-0.0159939400050649,-0.0159939400050649,0.0
2011-05-25,0.0249804611717301,0.0249804611717301,0.0
2011-05-26,0.0072435740576393,0.0072435740576393,0.0
2011-05-27,0.0131727654993449,0.0131727654993449,0.0
2011-05-31,0.0036496389276135,0.0036496389276135,0.0
2011-06-01,-0.0091441206837704,-0.0091441206837704,0.0
2011-06-02,-0.0221729719134181,-0.0221729719134181,0.0
2011-06-03,0.0111367569391981,0.0111367569391981,0.0
2011-06-06,-0.0408864924738653,-0.0408864924738653,0.0
2011-06-07,0.0118717972727863,0.0118717972727863,0.0
2011-06-08,-0.015264155071526,-0.015264155071526,0.0
2011-06-09,0.0087371190619238,0.0087371190619238,0.0
2011-06-10,-0.0091306003466025,-0.0091306003466025,0.0
2011-06-13,-0.0264105586123137,-0.0264105586123137,0.0
2011-06-14,0.0235007331561155,0.0235007331561155,0.0
2011-06-15,-0.0244488909239546,-0.0244488909239546,0.0
2011-06-16,-0.0053498684472655,-0.0053498684472655,0.0
2011-06-17,-0.0143148589640793,-0.0143148589640793,0.0
2011-06-20,0.012954429382603,0.012954429382603,0.0
2011-06-21,0.0179959641234556,0.0179959641234556,0.0
2011-06-22,0.0016057322185826,0.0016057322185826,0.0
2011-06-23,0.0093762666679143,0.0093762666679143,0.0
2011-06-24,-0.0599845459822098,-0.0619182996667456,-0.0387096774193549
2011-06-27,0.0231524407051982,0.0228744128568686,0.0261652476179454
2011-06-28,0.0231382551605673,0.0284280182273877,0.0093896872435788
2011-06-29,0.009902229763965,0.0044283124707197,0.0274358896108773
2011-06-30,0.01914143527178,0.0195375348002043,0.0179494317629698
2011-07-01,0.0158088311609225,0.0086037763194424,0.0242718442107294
2011-07-05,-0.0024436840984873,-0.0058501591021915,0.0
2011-07-06,0.0017824013418169,-0.0062843417541719,0.006971176109724
2011-07-07,0.0037787037649869,0.0245231716075378,-0.0097179393400728
2011-07-08,0.0133622325642595,0.0108108060204459,0.0149509956313302
2011-07-11,-0.0145378569293706,-0.0113236651557201,-0.0169159702358229
2011-07-12,0.0111396738716063,0.0071827521357244,0.0155544135070524
2011-07-13,-0.0095422653837839,-0.004295169287079,-0.0138203693722739
2011-07-14,-0.034587138963251,-0.0357420102947366,-0.0332750010116535
2011-07-15,0.0064498907272644,0.0091889666707905,0.004102560190054
2011-07-18,0.0059259366454069,0.0019944177610217,0.0100696977603401
2011-07-19,0.0115285707696867,0.0110366526389447,0.0122262704395054
2011-07-20,-0.0047102106725159,-0.0030984412109166,-0.0065343586390571
2011-07-21,0.0285653662312216,0.0354254631061759,0.0144194210074893
2011-07-22,-0.0014256326005409,-0.0089053435313094,0.0071996257278042
2011-07-25,0.0117822039736685,0.0187094832225106,0.0029090650153882
2011-07-26,0.0213991527056952,0.0079939658231172,0.0401063027758166
2011-07-27,-0.0268512986215618,-0.0293780676126894,-0.0223151807126356
2011-07-28,-0.0132161852931485,-0.0270270071460657,0.0082488444874792
2011-07-29,0.0296495801130101,0.0265631675306281,0.0340024201485201
2011-08-01,-0.0102188855063414,-0.0184966095188041,-0.0015541672602428
2011-08-02,-0.0459418906607075,-0.0434430175905473,-0.0494048283977277
2011-08-03,-0.0265017698117218,-0.014406830313424,-0.0427448827703306
2011-08-04,-0.0706400966762793,-0.0789473636042488,-0.0562515590033698
2011-08-05,-0.0327912713225406,-0.0276995015870705,-0.0411204955126082
2011-08-08,-0.0627875862693115,-0.0488059082010884,-0.0825766092170832
2011-08-09,0.0676227907451173,0.0547368363250981,0.091623792175937
2011-08-10,-0.018297033516565,-0.0208439039950712,-0.0120956487877362
2011-08-11,0.0554893086222572,0.0635245925735094,0.040111380654704
2011-08-12,-0.0054183721920034,-0.0057088746898579,-0.0047885156809021
2011-08-15,0.0233100221386107,0.018448399057044,0.0319345237256253
2011-08-16,-0.003833222669183,-0.012711897292546,0.0130344106372371
2011-08-17,-0.0138259287814983,-0.0141176623078977,-0.0133737718826496
2011-08-18,-0.0298390578303657,-0.0257966460729332,-0.0393597474672452
