Date,Weighted Industry Change,ING Change
2011-04-18,0.022127679053773,0.022127679053773
2011-04-19,0.0016611675936081,0.0016611675936081
2011-04-20,0.0112000274658204,0.0112000274658204
2011-04-21,0.0015711279248135,0.0015711279248135
2011-04-25,-0.0031176899525244,-0.0031176899525244
2011-04-26,0.0031104170233983,0.0031104170233983
2011-04-27,0.0123648227414922,0.0123648227414922
2011-04-28,0.013066877271574,0.013066877271574
2011-04-29,-0.0007575931080559,-0.0007575931080559
2011-05-02,-0.0074962803842493,-0.0074962803842493
2011-05-03,0.0045593024553489,0.0045593024553489
2011-05-04,-0.0240421215935432,-0.0240421215935432
2011-05-05,-0.0069071492273442,-0.0069071492273442
2011-05-06,-0.0268610464288627,-0.0268610464288627
2011-05-09,0.0,0.0
2011-05-10,0.0172820325954357,0.0172820325954357
2011-05-11,-0.0178848793449933,-0.0178848793449933
2011-05-12,0.0088211430891536,0.0088211430891536
2011-05-13,-0.0201612909428165,-0.0201612909428165
2011-05-16,0.0050378186721586,0.0050378186721586
2011-05-17,0.005025160948521,0.005025160948521
2011-05-18,0.0160337193474197,0.0160337193474197
2011-05-19,0.0024813674600966,0.0024813674600966
2011-05-20,-0.0241868196321058,-0.0241868196321058
2011-05-23,0.014222208658854,0.014222208658854
2011-05-24,-0.0069565151048744,-0.0069565151048744
2011-05-25,0.0157068328600884,0.0157068328600884
2011-05-26,0.005972670070763,0.005972670070763
2011-05-27,0.0058922301472984,0.0058922301472984
2011-05-31,-0.0024631105003142,-0.0024631105003142
2011-06-01,-0.0260503761243537,-0.0260503761243537
2011-06-02,-0.0033670001235441,-0.0033670001235441
2011-06-03,0.0248287632085521,0.0248287632085521
2011-06-06,-0.0110450390301531,-0.0110450390301531
2011-06-07,-0.0116860930716115,-0.0116860930716115
2011-06-08,-0.0076595874542886,-0.0076595874542886
2011-06-09,0.007679193731854,0.007679193731854
2011-06-10,-0.0257510083162039,-0.0257510083162039
2011-06-13,0.0,0.0
2011-06-14,0.0025488302297732,0.0025488302297732
2011-06-15,-0.0233766626238033,-0.0233766626238033
2011-06-16,0.0116487559335464,0.0116487559335464
2011-06-17,0.0025663548094435,0.0025663548094435
2011-06-20,0.0113438144858801,0.0113438144858801
2011-06-21,0.015319174908577,0.015319174908577
2011-06-22,-0.0075250963462235,-0.0075250963462235
2011-06-23,0.0122271044240078,0.0122271044240078
2011-06-24,-0.0167993392580311,-0.0167993392580311
2011-06-27,0.0218181610107422,0.0218181610107422
2011-06-28,0.017652233946328,0.017652233946328
2011-06-29,0.0118443609930087,0.0118443609930087
2011-06-30,0.0223140078989449,0.0223140078989449
2011-07-01,0.0193392243407813,0.0193392243407813
2011-07-05,-0.012738916858357,-0.012738916858357
2011-07-06,0.0074688922127229,0.0074688922127229
2011-07-07,-0.0048820520588226,-0.0048820520588226
2011-07-08,-0.0041459526529977,-0.0041459526529977
2011-07-11,-0.0199095260842867,-0.0199095260842867
2011-07-12,-0.0094073735082913,-0.0094073735082913
2011-07-13,0.015682663644,0.015682663644
2011-07-14,-0.0179855945434735,-0.0179855945434735
2011-07-15,-0.0101476576386671,-0.0101476576386671
2011-07-18,-0.0166015703216545,-0.0166015703216545
2011-07-19,0.0201149469911438,0.0201149469911438
2011-07-20,0.0109890004322973,0.0109890004322973
2011-07-21,0.0025861837917794,0.0025861837917794
2011-07-22,0.0008643240402426,0.0008643240402426
2011-07-25,-0.0087412090440006,-0.0087412090440006
2011-07-26,0.0079435263189702,0.0079435263189702
2011-07-27,-0.0174151771806275,-0.0174151771806275
2011-07-28,-0.0064102284189704,-0.0064102284189704
2011-07-29,0.0065604212112183,0.0065604212112183
2011-08-01,-0.0458633304074172,-0.0458633304074172
2011-08-02,-0.0329777050193883,-0.0329777050193883
2011-08-03,-0.0188305779171753,-0.0188305779171753
2011-08-04,-0.0801644162042702,-0.0801644162042702
2011-08-05,-0.0174359052609174,-0.0174359052609174
2011-08-08,-0.0670454704318161,-0.0670454704318161
2011-08-09,0.0273349353179608,0.0273349353179608
2011-08-10,-0.051341843179882,-0.051341843179882
2011-08-11,0.0735108251404267,0.0735108251404267
2011-08-12,-0.0022752564477986,-0.0022752564477986
2011-08-15,0.0144766281812686,0.0144766281812686
2011-08-16,0.0045609988329723,0.0045609988329723
2011-08-17,-0.0045095786210943,-0.0045095786210943
2011-08-18,-0.0326481793009094,-0.0326481793009094
2011-08-19,0.002567391659108,0.002567391659108
2011-08-22,-0.0447205124204526,-0.0447205124204526
2011-08-23,0.0283140013811708,0.0283140013811708
2011-08-24,0.023869293903613,0.023869293903613
2011-08-25,-0.0359281649136954,-0.0359281649136954
2011-08-26,0.0217669753571652,0.0217669753571652
2011-08-29,0.0134147088914897,0.0134147088914897
2011-08-30,0.0182039534430999,0.0182039534430999
2011-08-31,0.0104408531070478,0.0104408531070478
2011-09-01,-0.0161849012511547,-0.0161849012511547
2011-09-02,-0.022194800981332,-0.022194800981332
2011-09-06,0.014204531985004,0.014204531985004
2011-09-07,0.030219750529024,0.030219750529024
2011-09-08,-0.0135685083019486,-0.0135685083019486
2011-09-09,-0.0362844709498548,-0.0362844709498548
2011-09-12,0.0195121762110984,0.0195121762110984
2011-09-13,0.0109033791265352,0.0109033791265352
2011-09-14,0.0198472723386553,0.0198472723386553
2011-09-15,0.0070028279649637,0.0070028279649637
2011-09-16,-0.0026881694586956,-0.0026881694586956
2011-09-19,-0.0058650968982722,-0.0058650968982722
2011-09-20,-0.0014429656987559,-0.0014429656987559
2011-09-21,-0.0618704805956086,-0.0618704805956086
