Date,Weighted Industry Change,UEIC Change
2011-04-18,-0.0233545591672568,-0.0233545591672568
2011-04-19,-0.0119305829908358,-0.0119305829908358
2011-04-20,-0.0147854256826664,-0.0147854256826664
2011-04-21,-0.0217865055019457,-0.0217865055019457
2011-04-25,0.0586924189906455,0.0586924189906455
2011-04-26,0.0052539940415896,0.0052539940415896
2011-04-27,-0.021550254757333,-0.021550254757333
2011-04-28,-0.0042749887135514,-0.0042749887135514
2011-04-29,-0.012834178709256,-0.012834178709256
2011-05-02,-0.0100937523055437,-0.0100937523055437
2011-05-03,-0.0123367256595216,-0.0123367256595216
2011-05-04,-0.0080733692974125,-0.0080733692974125
2011-05-05,-0.0044527211813078,-0.0044527211813078
2011-05-06,-0.0091463328205637,-0.0091463328205637
2011-05-09,0.0015384967510516,0.0015384967510516
2011-05-10,0.0244088983126365,0.0244088983126365
2011-05-11,-0.0172219805406158,-0.0172219805406158
2011-05-12,0.0164624189897142,0.0164624189897142
2011-05-13,-0.0049149740780872,-0.0049149740780872
2011-05-16,-0.0026676713199237,-0.0026676713199237
2011-05-17,0.0034668781110135,0.0034668781110135
2011-05-18,0.0072436346692142,0.0072436346692142
2011-05-19,-0.0098113293917673,-0.0098113293917673
2011-05-20,-0.0103448449738479,-0.0103448449738479
2011-05-23,-0.0275482395569846,-0.0275482395569846
2011-05-24,0.0573969316665747,0.0573969316665747
2011-05-25,-0.0187380412338876,-0.0187380412338876
2011-05-26,-0.0101562587893566,-0.0101562587893566
2011-05-27,-0.0199843346290646,-0.0199843346290646
2011-05-31,0.0067140631257075,0.0067140631257075
2011-06-01,-0.0214456278388663,-0.0214456278388663
2011-06-02,-0.0080775751652118,-0.0080775751652118
2011-06-03,0.0041237270709165,0.0041237270709165
2011-06-06,0.0217035497538762,0.0217035497538762
2011-06-07,-0.0146766737533384,-0.0146766737533384
2011-06-08,0.0040354508212336,0.0040354508212336
2011-06-09,-0.0035942551636282,-0.0035942551636282
2011-06-10,-0.0072405591615644,-0.0072405591615644
2011-06-13,-0.0124748274118154,-0.0124748274118154
2011-06-14,0.003219312775774,0.003219312775774
2011-06-15,0.0012097051438885,0.0012097051438885
2011-06-16,-0.0152366102637532,-0.0152366102637532
2011-06-17,-0.0194332564679581,-0.0194332564679581
2011-06-20,0.0078544283800854,0.0078544283800854
2011-06-21,0.0114098927812064,0.0114098927812064
2011-06-22,0.0040683637827551,0.0040683637827551
2011-06-23,0.0262187379618639,0.0262187379618639
2011-06-24,-0.0187924553799777,-0.0187924553799777
2011-06-27,-0.0179299314442654,-0.0179299314442654
2011-06-28,0.012376284952223,0.012376284952223
2011-06-29,-0.0077392518376198,-0.0077392518376198
2011-06-30,0.0314414236406715,0.0314414236406715
2011-07-01,0.0007907690664716,0.0007907690664716
2011-07-05,0.0078863900148798,0.0078863900148798
2011-07-06,-0.0252067508874919,-0.0252067508874919
2011-07-07,0.022626241048177,0.022626241048177
2011-07-08,0.0207917014396171,0.0207917014396171
2011-07-11,0.0071259027531586,0.0071259027531586
2011-07-12,-0.0043392745047834,-0.0043392745047834
2011-07-13,0.0035657746990502,0.0035657746990502
2011-07-14,-0.0276460846772407,-0.0276460846772407
2011-07-15,-0.0068937582054277,-0.0068937582054277
2011-07-18,-0.0192622672419044,-0.0192622672419044
2011-07-19,0.0074813096081143,0.0074813096081143
2011-07-20,0.0024855581942036,0.0024855581942036
2011-07-21,0.0132122878300996,0.0132122878300996
2011-07-22,-0.0122800303177082,-0.0122800303177082
2011-07-25,0.0050251609485209,0.0050251609485209
2011-07-26,-0.0012531614860587,-0.0012531614860587
2011-07-27,-0.0261824675356057,-0.0261824675356057
2011-07-28,-0.0164146508435549,-0.0164146508435549
2011-07-29,0.0367581898366025,0.0367581898366025
2011-08-01,0.0144680915994847,0.0144680915994847
2011-08-02,-0.0180748334858251,-0.0180748334858251
2011-08-03,0.0149508920867601,0.0149508920867601
2011-08-04,-0.0818413573688539,-0.0818413573688539
2011-08-05,-0.0148515412415024,-0.0148515412415024
2011-08-08,-0.0361944548819345,-0.0361944548819345
2011-08-09,0.0403141592871749,0.0403141592871749
2011-08-10,-0.1303673289037716,-0.1303673289037716
2011-08-11,0.0442217005003641,0.0442217005003641
2011-08-12,-0.0050704311317121,-0.0050704311317121
2011-08-15,-0.0081700174777951,-0.0081700174777951
2011-08-16,-0.0289370378566792,-0.0289370378566792
2011-08-17,0.0297849388044048,0.0297849388044048
2011-08-18,-0.0214639178872245,-0.0214639178872245
2011-08-19,0.0200458419142178,0.0200458419142178
2011-08-22,-0.0368334280716202,-0.0368334280716202
2011-08-23,0.0646625837359086,0.0646625837359086
2011-08-24,-0.0005362053129427,-0.0005362053129427
2011-08-25,-0.0603493608513905,-0.0603493608513905
2011-08-26,0.0999432236162029,0.0999432236162029
2011-08-29,0.0280325796908598,0.0280325796908598
2011-08-30,-0.0215322189590458,-0.0215322189590458
2011-08-31,-0.0050994583558009,-0.0050994583558009
2011-09-01,-0.0464997374349873,-0.0464997374349873
2011-09-02,-0.0252607966831195,-0.0252607966831195
2011-09-06,-0.0058513973421225,-0.0058513973421225
2011-09-07,0.0657060152497741,0.0657060152497741
2011-09-08,-0.0220873281279882,-0.0220873281279882
2011-09-09,-0.0594286237444196,-0.0594286237444196
2011-09-12,0.0116851495315558,0.0116851495315558
2011-09-13,0.0042270348479286,0.0042270348479286
2011-09-14,0.0195729485029463,0.0195729485029463
2011-09-15,-0.0051813556844861,-0.0051813556844861
2011-09-16,0.0097982750752853,0.0097982750752853
