Date,Weighted Industry Change,UFI Change,CULP Change
2011-04-18,-0.0121487037064048,-0.016714749806984,-0.0022345815101195
2011-04-19,-0.0118640313293851,-0.0046756236617346,-0.021276654822452
2011-04-20,0.0006199805342089,0.0057637106208095,-0.0078563070732877
2011-04-21,0.0022714600869211,0.0079727392514221,-0.0045197695060872
2011-04-25,-0.0042217060856553,-0.0175339061420508,0.0214931648307358
2011-04-26,0.0127511000953618,0.0189655132724611,0.0033223352749354
2011-04-27,-0.010930683062707,-0.0230467528758184,0.021017652785958
2011-04-28,-0.0421071246431946,-0.0489675449172143,0.019607771842881
2011-04-29,0.03692339253055,0.0061652518929142,0.0610526235480056
2011-05-02,-0.0346923234327569,-0.0392637680738843,-0.0099010274943349
2011-05-03,-0.0213908924099733,-0.0230917643892263,-0.0120360965240818
2011-05-04,-0.0119146401222291,-0.0065746470229404,-0.0253807096769571
2011-05-05,0.0221744921082451,0.0334224598078231,-0.0083682922457005
2011-05-06,-0.0031909572995896,-0.0032051403533462,-0.0031513324793006
2011-05-09,0.0051920524557765,0.0051380812635882,0.0052520204470969
2011-05-10,0.0192364927433354,0.0152380807059151,0.028242624711117
2011-05-11,-0.0233889024167198,-0.025188952728082,-0.0112590179321999
2011-05-12,0.0192506225438944,0.011024648213543,0.0352696251872104
2011-05-13,-0.0343402668339497,-0.0434782794276661,-0.0160642416465168
2011-05-16,-0.0198055115614435,-0.0121375796427382,-0.0420081801021722
2011-05-17,-0.0086008239302726,0.0020660972469288,-0.026881719878787
2011-05-18,-0.0046717107910813,-0.0075137027166623,-0.0022075559423117
2011-05-19,0.0138160183665453,0.0274537117764444,-0.00770921755643
2011-05-20,-0.009019764828485,-0.0288978697492394,0.0167410287825506
2011-05-23,0.0097036826487876,0.0106007474380534,0.008938539152061
2011-05-24,-0.0615179269344134,-0.0796951176634489,-0.0339911699377591
2011-05-25,0.0363636561497214,0.0369811148013708,0.0249715440267894
2011-05-26,0.0088744372241247,0.0276766297968152,-0.0166851637763296
2011-05-27,-0.0177588627786261,-0.0184005822205277,-0.0124013143288009
2011-05-31,-0.004045515327006,-0.0085592607214894,0.0067720566525621
2011-06-01,-0.0426394410390184,-0.0457143102373395,-0.0314606455025252
2011-06-02,-0.0266195124051539,-0.0246084957092476,-0.0290697661524144
2011-06-03,-0.0160089848900868,-0.0175572892529062,-0.0133656941428404
2011-06-06,-0.0369886247186581,-0.0438871794335204,-0.0160098665360961
2011-06-07,-0.0070984683424468,-0.0040551655348134,-0.0161691685395178
2011-06-08,0.0054969639128915,0.005732980721173,0.0050890535844231
2011-06-09,-0.0119943420987415,0.0024370212793319,-0.0265151560762659
2011-06-10,-0.0109685848961388,-0.0259740018466604,0.0052424588798263
2011-06-13,-0.0142615270197113,0.0132890239135419,-0.0440414099729259
2011-06-14,0.0019362673046864,-0.0193548208468903,0.0174029609226513
2011-06-15,-0.0180653029803296,-0.0224813032987601,-0.0145888771977354
2011-06-16,0.0337310050561592,0.03816792287711,0.0308724865720733
2011-06-17,0.0278018433318979,-0.0105093060342451,0.0504304848266665
2011-06-20,-0.0070571501613138,0.0180623405453451,-0.0339578411180814
2011-06-21,0.0067423842779516,0.0238473920949342,-0.0071856786677341
2011-06-22,-0.0375917374628014,-0.0491803351915714,-0.0277442151139548
