Date,Weighted Industry Change,CLB Change,HAL Change
2011-04-18,0.0044928276850251,0.0147652368670111,0.0042607747931557
2011-04-19,0.0414120841765189,0.0147089090729943,0.0423223701487851
2011-04-20,-0.0021806056180313,-0.0274041773809165,0.0
2011-04-21,0.0286525843607525,0.0064489572552337,0.0291539312419665
2011-04-25,0.0094458268780998,0.0112976399250123,0.009370040313654
2011-04-26,0.0108681458640513,-0.0077837171341793,0.0129198507938567
2011-04-27,-0.0167878394351186,-0.0182135896018529,-0.0167445599714077
2011-04-28,0.0019649065016613,0.0007383933815488,0.0019935900005042
2011-04-29,0.0033737582232964,0.009253468947762,0.0031796472254065
2011-05-02,-0.0356029958736,-0.0247994670474077,-0.0360591493803878
2011-05-03,-0.0130294331721897,-0.0140799392272482,-0.0129843582475569
2011-05-04,-0.0117018541101488,-0.007836238711705,-0.0118948187939124
2011-05-05,0.001081079897144,0.0244227009716127,0.0
2011-05-06,-0.0144449910831129,-0.0011875268661686,-0.0149852866856036
2011-05-09,0.0209999893158554,0.0238404184101659,0.0208156224324932
2011-05-10,0.0041245349425951,0.0171886240846215,0.0033174341474333
2011-05-11,-0.0338202553493505,-0.0194224671883731,-0.0343178340898725
2011-05-12,0.0070056405736461,-0.005537261763208,0.0075609951868395
2011-05-13,-0.0161555713913062,-0.0050165568198918,-0.0164635546338946
2011-05-16,-0.0082968219591905,0.0052670952402352,-0.008944150219183
2011-05-17,0.0055700332650673,0.0271663962558374,0.0042091813020675
2011-05-18,0.0288789164920333,0.0151530662686529,0.0295987383480695
2011-05-19,-0.0015430845630754,-0.0023534569634011,-0.0014903064297422
2011-05-20,0.0052913204208112,0.0042154639493074,0.0053270828547687
2011-05-23,0.000907461603454,0.0079917414079436,0.0006503095296395
2011-05-24,0.0112271752181914,-0.0022504216028612,0.0114991679313277
2011-05-25,0.0326645651064065,0.0221697221179225,0.0329328954595935
2011-05-26,0.0190679139266525,0.0325779172400548,0.0184961427000432
2011-05-27,-0.012833087398316,0.00322110142396,-0.0133779319433417
2011-05-31,-0.016208652163181,-0.0063860284708189,-0.0166666367474727
2011-06-01,-0.0163903532662041,-0.0055756595530381,-0.0170409436771585
2011-06-02,0.0217362993575906,0.0044309234782828,0.0222176951095908
2011-06-03,0.0217165126601163,0.0112048081299919,0.0219511788538619
2011-06-06,-0.0404706323005748,-0.0115361683106751,-0.0411177169927028
2011-06-07,-0.0043960210060056,-0.005470489822453,-0.0043469859904833
2011-06-08,-0.007612580868934,0.008729631599625,-0.0083177692786382
2011-06-09,0.0207977560489752,0.014187918366766,0.0210547904071619
2011-06-10,-0.0137771873502123,-0.0056196361343708,-0.014171259933667
2011-06-13,-0.0235628185958272,-0.0002968119064753,-0.0249688041749902
2011-06-14,0.0100252565888574,0.0236975920863486,0.0090602678775959
2011-06-15,-0.012782081253562,-0.0028893676824349,-0.0132911613467199
2011-06-16,-0.0083028616103472,0.0079257655333507,-0.0089724838991828
2011-06-17,-0.0189902011070372,-0.019829259364593,-0.0189724875835304
2011-06-20,0.0199390953368495,0.0185560853029267,0.0199912091006342
2011-06-21,0.0023744681809853,0.0303885191430759,0.0008494566871466
2011-06-22,-0.0005752371274458,-0.0102479891774151,0.0
2011-06-23,0.017184682344611,0.0108665448441157,0.0175097579481313
2011-06-24,-0.026975046290455,-0.0198515707705589,-0.0273537090691514
2011-06-27,0.0129271620279447,0.002565605073562,0.0138158133595721
2011-06-28,0.0334663610304999,0.0115699688193075,0.0344168035349041
2011-06-29,0.0153411912567172,0.0088859798348035,0.0154912005760147
2011-06-30,0.0171545349906697,0.0117006885762115,0.0173548556422856
2011-07-01,0.0064012341729068,0.0168413950467506,0.0058834914137144
2011-07-05,0.0181569636739967,0.0081916701768288,0.0185547021246743
2011-07-06,0.0131065651118061,0.013629194225683,0.013081960584152
2011-07-07,0.0214620361317554,-0.0119658250075121,0.02221386161338
2011-07-08,0.0268681547353144,0.0170729779837946,0.0271811497545281
2011-07-11,-0.006476518060337,0.0034126653291417,-0.0068116708807584
2011-07-12,-0.0003768020739138,-0.0001750866231215,-0.0003828571424398
2011-07-13,0.0027258716812588,0.0053103560178136,0.0026676713199235
2011-07-14,-0.0227206633725735,-0.0016446156272297,-0.0233653263783696
2011-07-15,0.0137951727239137,0.0043916485687806,0.0141383583551672
2011-07-18,-0.007602390198631,-0.0135343004160744,-0.0074738700010768
2011-07-19,0.0256790068987876,0.0015523959457813,0.0270772060228072
2011-07-20,-0.0072565065787246,-0.011045436035677,-0.007006816218426
2011-07-21,0.0230054567340494,-0.0019292520662972,0.0248425038176158
2011-07-22,0.0004952171404011,0.0113804191959742,0.0
2011-07-25,0.0132028224949294,0.0246879161467825,0.0125530245267626
2011-07-26,-0.0162963768312919,-0.0106344137851694,-0.0165217523989471
2011-07-27,-0.0189756264034717,-0.0231050116830765,-0.018729986194008
2011-07-28,-0.0044341228756746,-0.0018731568280439,-0.0045355588687319
2011-07-29,0.0150474956376968,0.028484926548575,0.0140818659318775
2011-08-01,-0.0260798693607953,-0.0209732846503979,-0.0262969799745458
2011-08-02,-0.0225646207910515,-0.0080779493207004,-0.0233679221869648
2011-08-03,0.0054564982620586,-0.0013075501078497,0.0056861838760782
2011-08-04,-0.074498095704548,-0.0559506312682043,-0.0749229492842149
2011-08-05,-0.026365996830944,0.0301306648899507,-0.0290721618023114
2011-08-08,-0.0556769271297786,-0.0148258493907415,-0.0579485026043099
2011-08-09,0.0134473087056377,-0.0077542380723107,0.0145091675536782
