Date,Weighted Industry Change,LMNR Change,ANDE Change
2011-04-18,-0.0006007914517755,-0.0284289135418334,0.0034151514644466
2011-04-19,0.0123624504880199,-0.0152516134162146,0.0154366375375528
2011-04-20,-0.0062563474057149,0.0060575892210246,-0.0075433011876071
2011-04-21,-0.0067359818077977,-0.0088365389180101,-0.0065067037990756
2011-04-25,-0.0116248429351574,0.0218254234815433,-0.0124565792893024
2011-04-26,0.0117639438008757,0.0019184176233519,0.012373614064833
2011-04-27,-0.0063947632128491,-0.0056737084656792,-0.0064895497523832
2011-04-28,0.0054778052592253,0.0172093413596929,0.0045036075245666
2011-04-29,0.0070000062006241,0.000909525146514,0.0073036475749159
2011-05-02,-0.0204294345690104,-0.0204545801336114,-0.0204286090833038
2011-05-03,-0.0191480725195836,-0.0302447989953956,-0.0185790096233881
2011-05-04,-0.0201541081882825,-0.018905525418077,-0.0202312821540217
2011-05-05,-0.0151143454706297,-0.0074812780168597,-0.0153447167874774
2011-05-06,0.0076700374013116,-0.0188025323097887,0.0082465511416866
2011-05-09,-0.0040702354111519,0.0020314376380806,-0.0043047741950263
2011-05-10,-0.0138377948945418,0.0246602793368112,-0.0167669961947534
2011-05-11,-0.0437075213749272,0.0079247074383289,-0.0445762318732778
2011-05-12,0.0094793943838333,0.0034653312960583,0.0096997927971864
2011-05-13,-0.0190933397821834,-0.0144857194747763,-0.0191824438899093
2011-05-16,-0.024863641200907,-0.0170731893399867,-0.0251924183091854
2011-05-17,0.0112695243842686,-0.0084367285117766,0.0117788176190045
2011-05-18,0.0336331081324611,-0.0004953060236409,0.0347846491296661
2011-05-19,-0.0326125754493008,-0.0083826464762344,-0.0338829896583749
2011-05-20,-0.0073565817425526,0.0005031867695476,-0.0079532422517474
2011-05-23,-0.0018484734601077,-0.0161616013714415,0.0009636222768849
2011-05-24,-0.0092212437085878,-0.0143296148171111,-0.0083632111411037
2011-05-25,0.0257175299185872,0.004179724464846,0.0262397961552093
2011-05-26,0.0093770130356161,0.0249609752294622,0.008701829661878
2011-05-27,0.0163436998359103,0.0106545409221619,0.0164237808388891
2011-05-31,-0.020260896556597,0.0059464286456916,-0.0221169141398711
2011-06-01,-0.0283869151956524,-0.0283896189447984,-0.0283867878451491
2011-06-02,-0.0074527550672201,-0.0025189492921046,-0.007601010586668
2011-06-03,-0.0122271124795753,0.008205120380108,-0.013808178117527
2011-06-06,-0.0072061424821084,-0.0114828478132958,-0.0068966153888217
2011-06-07,-0.020808606269211,-0.024875621418443,-0.0206337317073033
2011-06-08,-0.0122586956409516,-0.0020438941646632,-0.0126071846589729
2011-06-09,-0.0163815646880166,-0.0101266209083267,-0.0164019022942367
2011-06-10,0.0005522225151992,0.0133333450708634,0.0002623104666155
2011-06-13,-0.0150137493946846,-0.0296482494421006,-0.0143790899538528
2011-06-14,0.0299418415762748,0.0015360357522869,0.030809408059569
2011-06-15,-0.0125204228182848,-0.0062080103314553,-0.0128337000304096
2011-06-16,-0.0107775994428601,0.0203019945645029,-0.0116549821184208
2011-06-17,-0.0165788593485108,-0.0314881067758728,-0.0153485989695853
2011-06-20,0.0123771581172753,-0.0031462751390953,0.0132380446813454
2011-06-21,0.039356333699203,0.0057320844159284,0.0408322667434766
2011-06-22,0.0069269795807451,0.0026191323552069,0.0070245792444487
2011-06-23,0.0181000861411321,0.0126515434794565,0.0182186063357615
2011-06-24,0.0603716845885866,0.1414457246724826,-0.0109289512638315
2011-06-27,0.0133506324395779,0.0330232132312865,0.0067449527745382
2011-06-28,0.0180551019549154,0.0172257967957749,0.0182806509534212
2011-06-29,0.0059791961643801,-0.0142602356153489,0.0067763729084394
2011-06-30,0.0121035109554091,0.0207863085976437,0.0117336880928695
2011-07-01,0.0036589391143175,0.01451904181178,0.0023707555983088
2011-07-05,0.0248158158777277,-0.0142539684319794,0.0260910907365015
2011-07-06,-0.0043568329974845,0.0234233573218211,-0.0087658180417097
2011-07-07,0.0107791606364553,0.0035056934608196,0.0113373163909406
2011-07-08,0.0044837588232692,-0.0084108248240026,0.0053463620051901
2011-07-11,-0.0164222846527575,-0.0587180411161452,-0.0126849441031909
2011-07-12,0.0059194078244526,0.0322427833217597,0.003588530419142
2011-07-13,0.0054356339090036,0.0124138141500538,0.0045205931704395
2011-07-14,-0.0156600489116847,-0.0288888719346788,-0.0141877380436771
2011-07-15,-0.0001708188591116,0.0224153594435916,-0.0019120440586593
2011-07-18,-0.0194632822722408,0.001791353142141,-0.0210043434086884
2011-07-19,0.0360310938050147,0.0119946892500358,0.0390720727682171
2011-07-20,0.0152418936049666,-0.0275742962039404,0.0170840504024815
2011-07-21,0.0084677840601923,0.0337275716310502,0.0022988812676793
2011-07-22,0.0003948260027071,-0.0072156230962436,0.0006861350591263
2011-07-25,-0.0065120229993868,-0.0164075631809239,-0.0059810978983226
2011-07-26,-0.0049289188125752,-0.0065387800801302,-0.0046414435862261
2011-07-27,-0.0305806574247803,-0.0575570937068808,-0.026037993284012
2011-07-28,-0.0096028491417846,-0.0227066298640203,-0.0024154911536686
2011-07-29,0.0083284864850148,-0.0340167555162906,0.013310279661639
