Date,Weighted Industry Change,RM Change,BCOR Change
2011-04-18,-0.0011722480094423,0.0,-0.0011722480094423
2011-04-19,-0.0257912450458965,0.0,-0.0257912450458965
2011-04-20,0.0168878581383564,0.0,0.0168878581383564
2011-04-21,0.0011764975155101,0.0,0.0011764975155101
2011-04-25,0.012941136079676,0.0,0.012941136079676
2011-04-26,0.009269979449037,0.0,0.009269979449037
2011-04-27,0.0045766547941121,0.0,0.0045766547941121
2011-04-28,-0.0411099318960847,0.0,-0.0411099318960847
2011-04-29,-0.0353697670315707,0.0,-0.0353697670315707
2011-05-02,-0.0256410801631814,0.0,-0.0256410801631814
2011-05-03,0.0123179902483867,0.0,0.0123179902483867
2011-05-04,-0.0155555937025282,0.0,-0.0155555937025282
2011-05-05,-0.0056818397330839,0.0,-0.0056818397330839
2011-05-06,0.0045300070440135,0.0,0.0045300070440135
2011-05-09,0.0315670503476608,0.0,0.0315670503476608
2011-05-10,0.0130434660920573,0.0,0.0130434660920573
2011-05-11,-0.001075293406101,0.0,-0.001075293406101
2011-05-12,0.0129449708342335,0.0,0.0129449708342335
2011-05-13,-0.0470588787279231,0.0,-0.0470588787279231
2011-05-16,-0.0179775117157287,0.0,-0.0179775117157287
2011-05-17,0.0045766547941121,0.0,0.0045766547941121
2011-05-18,0.015890962880854,0.0,0.015890962880854
2011-05-19,0.0100111406984717,0.0,0.0100111406984717
2011-05-20,0.0088593495096075,0.0,0.0088593495096075
2011-05-23,-0.0077950666361377,0.0,-0.0077950666361377
2011-05-24,-0.0067339469102021,0.0,-0.0067339469102021
2011-05-25,0.0329171337162826,0.0,0.0329171337162826
2011-05-26,-0.0077092175564303,0.0,-0.0077092175564303
2011-05-27,0.0099447680321631,0.0,0.0099447680321631
2011-05-31,0.0097720034978412,0.0,0.0097720034978412
2011-06-01,-0.0311827909575679,0.0,-0.0311827909575679
2011-06-02,0.0110619891473128,0.0,0.0110619891473128
2011-06-03,0.0022197007304446,0.0,0.0022197007304446
2011-06-06,-0.019867582432562,0.0,-0.019867582432562
2011-06-07,0.0112611966786788,0.0,0.0112611966786788
2011-06-08,-0.0055927560858345,0.0,-0.0055927560858345
2011-06-09,-0.007874088390909,0.0,-0.007874088390909
2011-06-10,-0.0193621960665386,0.0,-0.0193621960665386
2011-06-13,0.0081206143565602,0.0,0.0081206143565602
2011-06-14,0.0252004900990466,0.0,0.0252004900990466
2011-06-15,-0.0135440056669353,0.0,-0.0135440056669353
2011-06-16,0.0979899157328106,0.0,0.0979899157328106
2011-06-17,-0.0022752564477985,0.0,-0.0022752564477985
2011-06-20,0.0034365049505859,0.0,0.0034365049505859
2011-06-21,0.0227272505602565,0.0,0.0227272505602565
2011-06-22,-0.0111856188466535,0.0,-0.0111856188466535
2011-06-23,0.0217640943895107,0.0,0.0217640943895107
2011-06-24,-0.0168349743096618,0.0,-0.0168349743096618
2011-06-27,0.0102857317243303,0.0,0.0102857317243303
2011-06-28,0.0214447563679559,0.0,0.0214447563679559
2011-06-29,0.0033003006014967,0.0,0.0033003006014967
2011-06-30,0.0033003006014967,0.0,0.0033003006014967
2011-07-01,0.0154014727500945,0.0,0.0154014727500945
2011-07-05,0.0108225523751961,0.0,0.0108225523751961
2011-07-06,0.0183386315237184,0.0,0.0183386315237184
2011-07-07,-0.0010537649233955,0.0,-0.0010537649233955
2011-07-08,0.0074865980714764,0.0,0.0074865980714764
2011-07-11,0.0,0.0,0.0
2011-07-12,0.001076450906663,0.0,0.001076450906663
2011-07-13,0.0096255823787918,0.0,0.0096255823787918
2011-07-14,-0.0263713092902771,0.0,-0.0263713092902771
2011-07-15,0.0075431735466359,0.0,0.0075431735466359
2011-07-18,-0.0042826510920285,0.0,-0.0042826510920285
2011-07-19,0.016059916068493,0.0,0.016059916068493
2011-07-20,-0.0063290578944722,0.0,-0.0063290578944722
2011-07-21,0.0095541562482981,0.0,0.0095541562482981
2011-07-22,-0.0021096524319702,0.0,-0.0021096524319702
2011-07-25,0.0075187638742448,0.0,0.0075187638742448
2011-07-26,0.0021345205985003,0.0,0.0021345205985003
2011-07-27,-0.0257788092347217,0.0,-0.0257788092347217
2011-07-28,0.0279017855954945,0.0,0.0279017855954945
2011-07-29,0.0225321936720226,0.0,0.0225321936720226
2011-08-01,-0.018575785273083,0.0,-0.018575785273083
