Date,Weighted Industry Change,AEE Change,ED Change,EVRG Change,DUK Change,CMS Change,AVA Change
2011-04-18,-0.006316864763825,-0.0042076029911397,-0.0017885563023392,-0.0027006055022444,-0.0032840777351904,-0.0120229771210879,0.0030276683513536
2011-04-19,8.287206077219164e-05,-0.0042253145597392,-0.0023870883388113,-0.0007719204122522,0.0005491264636709,0.0079407904036834,-0.0034408569335937
2011-04-20,0.0079349245257459,0.0052576100567878,0.0029667268019671,0.0143745471065839,0.0065502295551033,0.0104220349153127,0.0076857516904101
2011-04-21,-0.0014055305756577,0.0006961523871336,-0.0005915752285244,0.0034403728254148,-0.0005417586387771,-0.0066461740447873,0.0012674561279598
2011-04-25,-0.0036608986959755,-0.0013937600858532,0.0003947199227634,0.0003803089077603,-0.0032450027260608,-0.0071942135783625,-0.0025369753450385
2011-04-26,-0.0152016200972288,0.0038220535225345,0.0043256236347418,0.0060652676213389,-0.0005405185458894,-0.0232077808022551,0.0071851258406724
2011-04-27,0.0039173827628181,0.0020789835299191,0.0080156370514411,0.0093843845993908,0.0021621429168425,0.0031578666285466,0.0117155100884778
2011-04-28,0.0109338026343373,0.012807229042932,0.007367143077323,0.0081784841569877,0.0048413207019453,0.0136268464319435,0.0128151905373433
2011-04-29,0.0114966002488411,0.0006827773912575,0.005013465454555,0.0029487624836253,-0.003739299947351,0.021144912858068,-0.0081465931489278
2011-05-02,0.0034494257035011,0.0051038288191232,0.0032610428824504,0.0014733302427023,0.0058855329561407,0.0020171919153424,-0.0020441226055598
2011-05-03,0.002604809635731,-0.000338188332264,0.0116880748496397,0.0025773083658866,-0.0010638541075834,0.0030181778583486,-0.0020441226055598
2011-05-04,0.0006732560025653,-0.0091587673662219,0.0062666508167661,-0.006998178148332,0.0037273532819295,0.0045431678452401,-0.0069672163504806
2011-05-05,-0.0034265539219705,-0.0126496013413126,-0.0018921187702599,0.0052064447815111,-0.0042553487938591,-0.0015106085459972,0.0016590214502748
