Date,Weighted Industry Change,JOUT Change
2011-04-18,-0.0032279013217348,-0.0032279013217348
2011-04-19,-0.0103292349758737,-0.0103292349758737
2011-04-20,0.0064516375141758,0.0064516375141758
2011-04-21,0.0031867553901898,0.0031867553901898
2011-04-25,0.0019132482389869,0.0019132482389869
2011-04-26,1.225960636751493e-16,1.225960636751493e-16
2011-04-27,0.0235818926357195,0.0235818926357195
2011-04-28,-0.0024629931491652,-0.0024629931491652
2011-04-29,0.0209230863131009,0.0209230863131009
2011-05-02,-0.0072289660527571,-0.0072289660527571
2011-05-03,-0.0151240163106571,-0.0151240163106571
2011-05-04,-0.004347807028923,-0.004347807028923
2011-05-05,0.0181250572204589,0.0181250572204589
2011-05-06,0.0109689400883307,0.0109689400883307
2011-05-09,0.0392750184799618,0.0392750184799618
2011-05-10,-0.0139372694940841,-0.0139372694940841
2011-05-11,-0.0077151967461199,-0.0077151967461199
2011-05-12,-0.0096038324656385,-0.0096038324656385
2011-05-13,-0.0232274482847387,-0.0232274482847387
2011-05-16,-0.030322144317734,-0.030322144317734
2011-05-17,-0.0098554907735143,-0.0098554907735143
2011-05-18,0.0257766252724953,0.0257766252724953
2011-05-19,0.0128369582955403,0.0128369582955403
2011-05-20,0.0,0.0
2011-05-23,0.0025840385471719,0.0025840385471719
2011-05-24,-0.0425667144877187,-0.0425667144877187
2011-05-25,0.0277227780111776,0.0277227780111776
2011-05-26,0.0175895438032234,0.0175895438032234
2011-05-27,-0.0063979770145576,-0.0063979770145576
2011-05-31,0.023091703217045,0.023091703217045
2011-06-01,-0.0293933283353402,-0.0293933283353402
2011-06-02,-0.0121327958004226,-0.0121327958004226
2011-06-03,0.0026143765591094,0.0026143765591094
2011-06-06,-0.0039113702099002,-0.0039113702099002
2011-06-07,0.0174870767552812,0.0174870767552812
2011-06-08,-0.0019205975154282,-0.0019205975154282
2011-06-09,0.0025608170388022,0.0025608170388022
2011-06-10,-0.0192307809871091,-0.0192307809871091
2011-06-13,-0.0045424851081989,-0.0045424851081989
2011-06-14,0.0052049397723952,0.0052049397723952
2011-06-15,-0.0364821111205133,-0.0364821111205133
2011-06-16,-0.0026881694586955,-0.0026881694586955
2011-06-17,0.0522437854673577,0.0522437854673577
2011-06-20,0.0025526459258631,0.0025526459258631
2011-06-21,0.0,0.0
2011-06-22,-0.0267515975411722,-0.0267515975411722
2011-06-23,0.0270805705491899,0.0270805705491899
2011-06-24,0.0232257843017578,0.0232257843017578
2011-06-27,0.0183312845209612,0.0183312845209612
2011-06-28,0.0055900714568601,0.0055900714568601
2011-06-29,-0.0130354428221656,-0.0130354428221656
2011-06-30,0.0747018525587207,0.0747018525587207
2011-07-01,0.0447414583803426,0.0447414583803426
2011-07-05,0.0776971126003145,0.0776971126003145
2011-07-06,0.0511482019854344,0.0511482019854344
2011-07-07,0.0407149811159222,0.0407149811159222
2011-07-08,0.0038554180099306,0.0038554180099306
2011-07-11,-0.0179176241510795,-0.0179176241510795
2011-07-12,-0.0009818584653736,-0.0009818584653736
2011-07-13,0.0152184316725853,0.0152184316725853
2011-07-14,-0.031070727349893,-0.031070727349893
2011-07-15,0.0029557327855202,0.0029557327855202
2011-07-18,-0.0162241849179173,-0.0162241849179173
2011-07-19,0.00199207747407,0.00199207747407
2011-07-20,-0.0084493076144633,-0.0084493076144633
2011-07-21,0.0510766396011628,0.0510766396011628
2011-07-22,1.8457354439611074e-16,1.8457354439611074e-16
2011-07-25,-0.0112525168089758,-0.0112525168089758
2011-07-26,-0.0229999542236326,-0.0229999542236326
2011-07-27,-0.081136933533485,-0.081136933533485
2011-07-28,-0.028121483728375,-0.028121483728375
2011-07-29,0.0445225683930312,0.0445225683930313
2011-08-01,0.0105088791404523,0.0105088791404523
2011-08-02,0.0180623927442664,0.0180623927442664
2011-08-03,0.0209789879745723,0.0209789879745723
2011-08-04,-0.0010627235965986,-0.0010627235965986
2011-08-05,-0.1178627544272169,-0.1178627544272169
2011-08-08,0.0018204300654631,0.0018204300654631
2011-08-09,0.0402886416178906,0.0402886416178906
2011-08-10,-0.1560693048937718,-0.1560693048937718
2011-08-11,0.0398648746610993,0.0398648746610993
2011-08-12,0.0212628810549405,0.0212628810549405
2011-08-15,0.0112570548938283,0.0112570548938283
2011-08-16,-0.0711633434027808,-0.0711633434027808
2011-08-17,0.0195949855544195,0.0195949855544195
2011-08-18,0.0032552208237272,0.0032552208237272
2011-08-19,-0.0222077167386779,-0.0222077167386779
2011-08-22,-0.0215264139170511,-0.0215264139170511
2011-08-23,0.0453938802373466,0.0453938802373466
2011-08-24,0.019329847178611,0.019329847178611
2011-08-25,-0.0366624484762671,-0.0366624484762671
2011-08-26,0.0400788203662974,0.0400788203662974
2011-08-29,-0.00879945889322,-0.00879945889322
2011-08-30,0.0393295036331238,0.0393295036331238
2011-08-31,-0.0173913465845487,-0.0173913465845487
2011-09-01,-0.0044388488564737,-0.0044388488564737
2011-09-02,-0.0343487152406423,-0.0343487152406423
2011-09-06,0.0726409152580385,0.0726409152580385
2011-09-07,0.0225885749811042,0.0225885749811042
2011-09-08,-0.0578464132012129,-0.0578464132012129
2011-09-09,-0.0527931591171261,-0.0527931591171261
2011-09-12,0.0124101616705281,0.0124101616705281
2011-09-13,-0.0019659689512144,-0.0019659689512144
2011-09-14,0.0103359693680786,0.0103359693680786
2011-09-15,-0.0025445267922115,-0.0025445267922115
2011-09-16,-0.0183660520933274,-0.0183660520933274
2011-09-19,0.0013080744155377,0.0013080744155377
2011-09-20,-0.0367741738596267,-0.0367741738596267
