Date,Weighted Industry Change,FIX Change
2011-04-18,-0.0055732998534938,-0.0055732998534938
2011-04-19,-0.0047732273189384,-0.0047732273189384
2011-04-20,0.0981432020773406,0.0981432020773406
2011-04-21,-0.0416000366210939,-0.0416000366210939
2011-04-25,-0.0008326585088473,-0.0008326585088473
2011-04-26,0.0141313449765104,0.0141313449765104
2011-04-27,-0.0213288994386775,-0.0213288994386775
2011-04-28,0.0058824076254197,0.0058824076254197
2011-04-29,0.0158069528408863,0.0158069528408863
2011-05-02,-0.0253890596763458,-0.0253890596763458
2011-05-03,-0.0059221401549503,-0.0059221401549503
2011-05-04,-0.0240963627993806,-0.0240963627993806
2011-05-05,-0.0089285204909274,-0.0089285204909274
2011-05-06,-0.0425909916960104,-0.0425909916960104
2011-05-09,-0.0138760930973127,-0.0138760930973127
2011-05-10,0.0514980544330138,0.0514980544330138
2011-05-11,-0.0116487559335464,-0.0116487559335464
2011-05-12,0.0228310506259979,0.0228310506259979
2011-05-13,-0.0134047921497003,-0.0134047921497003
2011-05-16,-0.0045454718849875,-0.0045454718849875
2011-05-17,-0.0218181610107419,-0.0218181610107419
2011-05-18,0.0073937084993008,0.0073937084993008
2011-05-19,-0.0081892770211343,-0.0081892770211343
2011-05-20,0.0018467643494522,0.0018467643494522
2011-05-23,0.0047169089869046,0.0047169089869046
2011-05-24,-0.0532212598313715,-0.0532212598313715
2011-05-25,0.0208747544122839,0.0208747544122839
2011-05-26,0.0244618388911921,0.0244618388911921
2011-05-27,-0.0161904834565665,-0.0161904834565665
2011-05-31,-0.0057526766885063,-0.0057526766885063
2011-06-01,-0.0038722131799085,-0.0038722131799085
2011-06-02,0.0077820939478694,0.0077820939478694
2011-06-03,0.0236453924938403,0.0236453924938403
2011-06-06,0.0057859614540838,0.0057859614540838
2011-06-07,-0.0142314629101668,-0.0142314629101668
2011-06-08,0.0029070433655684,0.0029070433655684
2011-06-09,-0.0048169740061279,-0.0048169740061279
2011-06-10,-0.0166177057895028,-0.0166177057895028
2011-06-13,-0.0019822058930836,-0.0019822058930836
2011-06-14,0.0088235445363575,0.0088235445363575
2011-06-15,0.008867010440432,0.008867010440432
2011-06-16,-0.0127076409172724,-0.0127076409172724
2011-06-17,-0.009852160744208,-0.009852160744208
2011-06-20,0.0109561411449392,0.0109561411449392
2011-06-21,0.0146341091249047,0.0146341091249047
2011-06-22,0.0048449798656426,0.0048449798656426
2011-06-23,0.0313111239200829,0.0313111239200829
2011-06-24,-0.015151590409902,-0.015151590409902
2011-06-27,0.0019212735885529,0.0019212735885529
2011-06-28,0.0,0.0
2011-06-29,-0.00476192292713,-0.00476192292713
2011-06-30,0.0153109904624353,0.0153109904624353
2011-07-01,0.0216164976329787,0.0216164976329787
2011-07-05,0.0082948567510911,0.0082948567510911
2011-07-06,0.0036764670434089,0.0036764670434089
2011-07-07,0.0171789849163389,0.0171789849163389
2011-07-08,-0.0009032769180828,-0.0009032769180828
2011-07-11,-0.0082644765611115,-0.0082644765611115
2011-07-12,-0.0037141052764307,-0.0037141052764307
2011-07-13,-0.0018552416126862,-0.0018552416126862
2011-07-14,-0.0083256382140902,-0.0083256382140902
2011-07-15,-0.0037243913133587,-0.0037243913133587
2011-07-18,-0.0103384028949392,-0.0103384028949392
2011-07-19,0.0216572974001061,0.0216572974001061
2011-07-20,-0.0101476576386671,-0.0101476576386671
2011-07-21,0.0148010953932766,0.0148010953932766
2011-07-22,-0.0246350781773648,-0.0246350781773648
2011-07-25,0.0028490681297523,0.0028490681297523
2011-07-26,-0.0047483563155565,-0.0047483563155565
2011-07-27,-0.0200764854092844,-0.0200764854092844
2011-07-28,0.0019568985877501,0.0019568985877501
2011-07-29,0.0357142519248046,0.0357142519248046
2011-08-01,-0.0170778278773479,-0.0170778278773479
2011-08-02,-0.0320388269509836,-0.0320388269509836
2011-08-03,0.0466960101460863,0.0466960101460863
2011-08-04,-0.0418803230005298,-0.0418803230005298
2011-08-05,-0.0627208531173018,-0.0627208531173018
2011-08-08,-0.0706679136135393,-0.0706679136135393
2011-08-09,0.0121457372640802,0.0121457372640802
2011-08-10,-0.0495868265266474,-0.0495868265266474
2011-08-11,0.0506465819561321,0.0506465819561321
2011-08-12,-0.0050968591841118,-0.0050968591841118
2011-08-15,0.0131978838306605,0.0131978838306605
2011-08-16,-0.002030503247624,-0.002030503247624
2011-08-17,-0.0242179389317383,-0.0242179389317383
2011-08-18,-0.0396995598363117,-0.0396995598363117
2011-08-19,0.0216401526009295,0.0216401526009295
2011-08-22,-0.030303002154437,-0.030303002154437
2011-08-23,0.0245810359460635,0.0245810359460635
2011-08-24,0.0253583796746866,0.0253583796746866
2011-08-25,-0.0405549753556102,-0.0405549753556102
2011-08-26,0.0504484086789492,0.0504484086789492
2011-08-29,0.0189273761481945,0.0189273761481945
2011-08-30,0.0166494075757072,0.0166494075757072
2011-08-31,-0.0274668877095537,-0.0274668877095537
2011-09-01,-0.0177453108191863,-0.0177453108191863
2011-09-02,-0.0196078757289686,-0.0196078757289686
2011-09-06,0.0446224660796368,0.0446224660796368
2011-09-07,0.0344456077651467,0.0344456077651467
2011-09-08,-0.0041972678881238,-0.0041972678881238
2011-09-09,-0.0032050997939716,-0.0032050997939716
2011-09-12,0.0142076633727553,0.0142076633727553
2011-09-13,0.0235798787596795,0.0235798787596795
2011-09-14,0.0166147295442058,0.0166147295442058
2011-09-15,0.011156248902815,0.011156248902815
2011-09-16,-0.0179104777870274,-0.0179104777870274
2011-09-19,-0.0092878434273383,-0.0092878434273383
