Date,Weighted Industry Change,BRO Change,AJG Change
2011-04-18,-0.0010199895483461,0.003478865184371,-0.0124663354255045
2011-04-19,-0.0055088020657015,-0.0047525084844912,-0.0091680968003044
2011-04-20,-0.0008406013706077,-0.0003951098021668,-0.002023590782945
2011-04-21,-0.0073216153721742,-0.0078895763285922,-0.0047090276422487
2011-04-25,-0.0064692246097637,-0.0091088927618345,0.0044098056354777
2011-04-26,0.0037574470612111,0.0039968177314201,0.0030384281799228
2011-04-27,0.0077848496989036,0.0039856668338604,0.01525426315049
2011-04-28,0.0157541140142594,0.0170027039248995,0.0093801934914111
2011-04-29,-0.0010054938849183,0.0054454026442039,-0.013907286943163
2011-05-02,-0.0130579734238587,-0.012020215676083,-0.0151006331245532
2011-05-03,0.0047218150263745,0.0,0.010562162245766
2011-05-04,-0.004539578134007,0.0,-0.010128330044198
2011-05-05,-0.000626922612985,-0.0011872056233496,0.0006837763338006
2011-05-06,-0.0048865115745681,-0.004702227158342,-0.0054255628570333
2011-05-09,-0.0006223390677057,0.0011839260641221,-0.0044368315410112
2011-05-10,0.0073690214088609,0.0086682910944773,0.0054607457876561
2011-05-11,-0.005222316991781,-0.0054859441412932,-0.0047489617307441
2011-05-12,0.0096186752792655,0.0153967386823181,0.0
2011-05-13,-0.0119476979255273,-0.0104327109416737,-0.0161888549211425
2011-05-16,0.0171057716801385,0.0196001566253972,0.0037852929240583
2011-05-17,-0.0088071202800853,-0.0088666709656765,-0.008623663400269
2011-05-18,0.0158423738408788,0.0178363345538197,0.009375016142925
2011-05-19,-0.0068243027772508,-0.0102349719107117,0.0
2011-05-20,-0.0090679532234343,-0.0080398539461706,-0.0106786553895472
2011-05-23,-0.0069123368975526,-0.0038894779339561,-0.0112398912027411
2011-05-24,-0.0034465461576095,-0.0027205478456893,-0.0060198327787455
2011-05-25,-0.0050529399026376,-0.0080925235316832,-0.0007086658717802
2011-05-26,0.0130704720011823,0.0132502008811266,0.0127931989395844
2011-05-27,0.0012287196127913,0.0019208311848488,0.0
2011-05-31,-1.5830029289162373e-05,0.0022787491878555,-0.0034710303132055
2011-06-01,-0.0168584806941812,-0.02009862228965,-0.0115183220977294
2011-06-02,0.0028920026025183,0.0069632612193233,-0.0017581274075331
2011-06-03,0.00867779834906,0.0073728608200992,0.0103239233393879
2011-06-06,-0.0018986122276341,-0.0030852264853263,0.0003534224535043
2011-06-07,-0.0041569960929498,-0.0061656972141832,0.0
2011-06-08,-0.0081931029275735,-0.0101049449478241,-0.0049226896753892
2011-06-09,-0.0019544686568306,-0.003132413006534,0.0
2011-06-10,-0.0093855792094398,-0.0090837103083909,-0.0102727245087207
2011-06-13,0.0037461429150911,-0.0003976234208157,0.0089285714285713
2011-06-14,0.000531100363437,0.0027646009347514,-0.0017599168366452
2011-06-15,-0.0052091387155708,-0.0063567678556663,-0.0021359724320561
2011-06-16,0.0029027963911987,0.0023952644757866,0.0035688929277662
2011-06-17,-0.0072653142818835,-0.0095011785013269,-0.0049574855093171
2011-06-20,0.0058861262031898,0.006821832896207,0.0042810891525212
2011-06-21,0.0167560383230928,0.020981816383339,0.005661707222797
2011-06-22,-0.0043730801323707,-0.0042718683631675,-0.0045806611913617
2011-06-23,0.0082304185862218,0.0090551002240383,0.0060736004888918
2011-06-24,-0.0150791372034674,-0.0171741030306218,-0.0060305098642535
2011-06-27,-0.0022258150647322,-0.0015897857083184,-0.0046345513120312
2011-06-28,-0.001171007088935,-0.0035643624787284,0.0061041319197633
2011-06-29,0.010653817847568,0.0102929622536009,0.012095344902365
2011-06-30,0.0022443347467309,0.0019523325212392,0.0031634499182554
2011-07-01,0.0082780932498146,0.0085736287865443,0.007363221637519
2011-07-05,-0.008163191002066,-0.0092807333895459,-0.0034782741380773
2011-07-06,0.0098429687876087,0.0109804190841374,0.0062871222651812
2011-07-07,0.0045485580432847,0.0050134654545551,0.0031077401737952
2011-07-08,0.0016607028484236,0.0023237593590835,-0.0003471096517602
2011-07-11,-0.0113482637497251,-0.0128855882796294,-0.0052594535807393
2011-07-12,0.0052694610857759,0.0043685706520406,0.0081272599217515
2011-07-13,-0.0077841532083057,-0.0074921344434059,-0.0087351499884405
2011-07-14,-0.0170973338525064,-0.0185918199342219,-0.0133520440263795
2011-07-15,-0.018684687390893,-0.0196708058659048,-0.0145493201906321
2011-07-18,-0.0153732305235702,-0.0169072102025612,-0.006500552607588
2011-07-19,-0.0146833999837807,-0.0143369040859988,-0.0178441291862694
2011-07-20,-0.0160229837024579,-0.0176790298771558,-0.0022238497761446
2011-07-21,0.0157858707273263,0.0142791978979278,0.0221729635370054
2011-07-22,-0.0099963397733023,-0.0108893678991504,-0.004336857206452
2011-07-25,0.0065598013138727,0.0064515845495973,0.0073125723144896
2011-07-26,0.0056650017580712,0.0063868334471335,0.0007257060287096
2011-07-27,0.0079272647800663,0.0059063679879481,0.0125582512946462
2011-07-28,-0.0135410673894951,-0.0139576532517331,-0.012640404100746
2011-07-29,0.0047245926740569,0.0032198572015265,0.0082467355546204
2011-08-01,-0.0100173764388183,-0.014084482631472,-0.0035199008098142
2011-08-02,-0.0107422725946195,-0.0157480384522895,-0.0014209239332416
2011-08-03,0.0089103540737424,0.0103577832262336,0.0060412253013937
2011-08-04,-0.0178871427306317,-0.0160226278788762,-0.0274607857568675
2011-08-05,-0.0418996229446336,-0.0431279540739382,-0.0371313642486757
2011-08-08,-0.0597322628126332,-0.0641547997983103,-0.0466744028908015
2011-08-09,0.0322863938249007,0.029396107499846,0.0484776056171418
