Date,Weighted Industry Change,CFX Change
2011-04-18,-0.0129809357097052,-0.0129809357097052
2011-04-19,-0.0032771391771539,-0.0032771391771539
2011-04-20,0.0046125636560001,0.0046125636560001
2011-04-21,0.0045537516228966,0.0045537516228966
2011-04-25,0.0018173106661861,0.0018173106661861
2011-04-26,0.0072267322413257,0.0072267322413257
2011-04-27,-0.0098654403982614,-0.0098654403982614
2011-04-28,-0.0054545836015181,-0.0054545836015181
2011-04-29,-0.0009145156376854,-0.0009145156376854
2011-05-02,-0.021828083093787,-0.021828083093787
2011-05-03,-0.0733333163791232,-0.0733333163791232
2011-05-04,0.0052682286768599,0.0052682286768599
2011-05-05,0.0047847073346863,0.0047847073346863
2011-05-06,-0.0154639138400396,-0.0154639138400396
2011-05-09,0.0190204282201608,0.0190204282201608
2011-05-10,0.0432558281477107,0.0432558281477107
2011-05-11,-0.0107142756788097,-0.0107142756788097
2011-05-12,0.0132058710208415,0.0132058710208415
2011-05-13,-0.0085393498452861,-0.0085393498452861
2011-05-16,-0.022354004079046,-0.022354004079046
2011-05-17,-0.0014104694875339,-0.0014104694875339
2011-05-18,0.0154711638484019,0.0154711638484019
2011-05-19,-0.006874409744646,-0.006874409744646
2011-05-20,-0.0162412290724904,-0.0162412290724904
2011-05-23,0.0038610003068145,0.0038610003068145
2011-05-24,0.0024003474432876,0.0024003474432876
2011-05-25,0.0245546566028698,0.0245546566028698
2011-05-26,0.0226309038332943,0.0226309038332943
2011-05-27,0.0087116248835454,0.0087116248835454
2011-05-31,0.0134953284114642,0.0134953284114642
2011-06-01,-0.0325601935661098,-0.0325601935661098
2011-06-02,0.0078089146862337,0.0078089146862337
2011-06-03,0.0124883690996478,0.0124883690996478
2011-06-06,0.0004570488695342,0.0004570488695342
2011-06-07,0.0058876431710052,0.0058876431710052
2011-06-08,0.0297565301321522,0.0297565301321522
2011-06-09,0.0212765851718928,0.0212765851718928
2011-06-10,-0.0136402262281421,-0.0136402262281421
2011-06-13,-0.0246007636144725,-0.0246007636144725
2011-06-14,0.0109601054736224,0.0109601054736224
2011-06-15,-0.0092186560795144,-0.0092186560795144
2011-06-16,0.0163500155967687,0.0163500155967687
2011-06-17,0.0021598766839353,0.0021598766839353
2011-06-20,0.0047577291959379,0.0047577291959379
2011-06-21,0.0185265110787295,0.0185265110787295
2011-06-22,-0.0072432927681089,-0.0072432927681089
2011-06-23,0.0278260604194974,0.0278260604194974
2011-06-24,-0.0155920328285813,-0.0155920328285813
2011-06-27,0.0107250109707324,0.0107250109707324
2011-06-28,0.03594082009218,0.03594082009218
2011-06-29,0.0081433537169575,0.0081433537169575
2011-06-30,-0.0028147004346868,-0.0028147004346868
2011-07-01,0.0156689958441407,0.0156689958441407
2011-07-05,0.0221518770067996,0.0221518770067996
2011-07-06,0.0034937947122756,0.0034937947122756
2011-07-07,-0.0015348813890416,-0.0015348813890416
2011-07-08,0.0218494495367851,0.0218494495367851
2011-07-11,-0.006191944522728,-0.006191944522728
2011-07-12,-0.0039308325224227,-0.0039308325224227
2011-07-13,0.0039231221015165,0.0039231221015165
2011-07-14,-0.0210690216878867,-0.0210690216878867
2011-07-15,0.0019818131318423,0.0019818131318423
2011-07-18,0.0023818763267297,0.0023818763267297
2011-07-19,0.0226917032795279,0.0226917032795279
2011-07-20,-0.0129720815381744,-0.0129720815381744
2011-07-21,0.0065434980480879,0.0065434980480879
2011-07-22,-0.0087820330238583,-0.0087820330238583
2011-07-25,0.0168231734804509,0.0168231734804509
2011-07-26,-0.0287907877913868,-0.0287907877913868
2011-07-27,-0.0187325352927913,-0.0187325352927913
2011-07-28,-0.0207485854542239,-0.0207485854542239
2011-07-29,0.0343905088233277,0.0343905088233277
2011-08-01,0.0178311418952186,0.0178311418952186
2011-08-02,-0.0104579521444638,-0.0104579521444638
2011-08-03,-0.0061998568862484,-0.0061998568862484
2011-08-04,-0.0639880716910498,-0.0639880716910498
2011-08-05,-0.0293542083129347,-0.0293542083129347
2011-08-08,-0.0520371467481207,-0.0520371467481207
2011-08-09,0.0387789002860314,0.0387789002860314
2011-08-10,-0.0004050315376883,-0.0004050315376883
2011-08-11,0.0253930302973226,0.0253930302973226
2011-08-12,-0.013209019254514,-0.013209019254514
2011-08-15,0.0060144192188543,0.0060144192188543
2011-08-16,-0.0133333302507496,-0.0133333302507496
2011-08-17,-0.0081465931489278,-0.0081465931489278
2011-08-18,-0.0536627024466216,-0.0536627024466216
2011-08-19,0.0013875475546902,0.0013875475546902
2011-08-22,-0.0197398167781639,-0.0197398167781639
2011-08-23,0.0564663811549778,0.0564663811549778
2011-08-24,0.0415584012389343,0.0415584012389343
2011-08-25,-0.0621398505737509,-0.0621398505737509
2011-08-26,0.0552608290726466,0.0552608290726466
2011-08-29,0.013658937325755,0.013658937325755
2011-08-30,0.0266393290447691,0.0266393290447691
2011-08-31,-0.004761937920648,-0.004761937920648
2011-09-01,-0.0123211235223544,-0.0123211235223544
2011-09-02,-0.0394250914489448,-0.0394250914489448
2011-09-06,0.0092551379255126,0.0092551379255126
2011-09-07,0.0381482808640771,0.0381482808640771
2011-09-08,-0.0241465409097687,-0.0241465409097687
2011-09-09,-0.0051813010654304,-0.0051813010654304
2011-09-12,-0.0513514080098673,-0.0513514080098673
2011-09-13,0.0247895560079387,0.0247895560079387
2011-09-14,-0.022522521748499,-0.022522521748499
2011-09-15,0.0198155936732281,0.0198155936732281
2011-09-16,0.0344067350692757,0.0344067350692757
2011-09-19,0.0498266734112543,0.0498266734112543
