Date,Weighted Industry Change,GL Change
2011-04-18,-0.0059469619235288,-0.0059469619235288
2011-04-19,0.0058220086880067,0.0058220086880067
2011-04-20,-0.0034606712435285,-0.0034606712435285
2011-04-21,0.0033043140170876,0.0033043140170876
2011-04-25,-0.0065986525817491,-0.0065986525817491
2011-04-26,0.0025506459000618,0.0025506459000618
2011-04-27,0.0028783381535352,0.0028783381535352
2011-04-28,0.0065003610014153,0.0065003610014153
2011-04-29,0.0043524004865412,0.0043524004865412
2011-05-02,-0.013545738090561,-0.013545738090561
2011-05-03,0.0072540354820451,0.0072540354820451
2011-05-04,-0.0043582872663066,-0.0043582872663066
2011-05-05,-0.01135333658674,-0.01135333658674
2011-05-06,-0.0019726731499007,-0.0019726731499007
2011-05-09,0.0021312639892169,0.0021312639892169
2011-05-10,0.0092396047134075,0.0092396047134075
2011-05-11,-0.000601615163413,-0.000601615163413
2011-05-12,0.0060313789336908,0.0060313789336908
2011-05-13,-0.0106446785679221,-0.0106446785679221
2011-05-16,0.0130699400770037,0.0130699400770037
2011-05-17,0.0073806765627724,0.0073806765627724
2011-05-18,0.0046351522089403,0.0046351522089403
2011-05-19,0.0038661459902774,0.0038661459902774
2011-05-20,-0.0087498167840043,-0.0087498167840043
2011-05-23,-0.0013629830291682,-0.0013629830291682
2011-05-24,-0.0077202792732533,-0.0077202792732533
2011-05-25,0.0044458137704368,0.0044458137704368
2011-05-26,0.0041315622222571,0.0041315622222571
2011-05-27,0.0027372235978783,0.0027372235978783
2011-05-31,-0.0021071408317024,-0.0021071408317024
2011-06-01,-0.0199787911032797,-0.0199787911032797
2011-06-02,0.0058479918385553,0.0058479918385553
2011-06-03,-0.0015515445595795,-0.0015515445595795
2011-06-06,-0.0007800415937379,-0.0007800415937379
2011-06-07,-0.0108695768067358,-0.0108695768067358
2011-06-08,-0.0028252994542589,-0.0028252994542589
2011-06-09,-0.0040758477428943,-0.0040758477428943
2011-06-10,-0.0014226647295286,-0.0014226647295286
2011-06-13,-0.0006334669277927,-0.0006334669277927
2011-06-14,-0.0001572146235903,-0.0001572146235903
2011-06-15,-0.0259739791904753,-0.0259739791904753
2011-06-16,0.0126438523161206,0.0126438523161206
2011-06-17,0.0015918709785224,0.0015918709785224
2011-06-20,0.0036723693435754,0.0036723693435754
2011-06-21,0.0014246915880013,0.0014246915880013
2011-06-22,-0.0053934184446795,-0.0053934184446795
2011-06-23,0.0121006312876121,0.0121006312876121
2011-06-24,-0.0050938914905809,-0.0050938914905809
2011-06-27,0.0031923125294723,0.0031923125294723
2011-06-28,0.0057142802647181,0.0057142802647181
2011-06-29,0.0006275712849881,0.0006275712849881
2011-06-30,0.0029710571401536,0.0029710571401536
2011-07-01,0.0051402155286167,0.0051402155286167
2011-07-05,-0.0055594108267814,-0.0055594108267814
2011-07-06,0.019686905282496,0.019686905282496
2011-07-07,0.0057564335961701,0.0057564335961701
2011-07-08,0.0006954262032162,0.0006954262032162
