Date,Weighted Industry Change,PAG Change,ABG Change,GT Change,RUSHA Change,LAD Change,GPI Change,CTB Change
2011-04-18,0.0231358044020668,0.0227152825273972,0.0078218504333479,0.0255548162317039,0.0062801526072386,0.0454232525493066,0.0027596740759455,0.0056634830455452
2011-04-19,0.0029177894887684,-0.0205128009502704,-0.008328339922442,0.0052287531182189,-0.0205446195885074,-0.0294695972134474,-0.011973049149648,0.0180144424013535
2011-04-20,-0.002000125712193,0.0304123795973862,0.0111699313051747,-0.0070153449113932,-0.005741621292417,0.015862509537531,0.0340456976824103,0.0019253425387449
2011-04-21,0.016695417149892,0.0094105310392876,0.0262391121252991,0.019157100489017,-0.0052108293307022,-0.0116807467201894,0.0136559576402289,0.0079969186078563
2011-04-25,0.0055000604505048,-0.011274487575353,0.0215786000906342,0.0093283345299731,-0.0095238004411968,-0.0059132819322519,-0.0339249242524163,0.0117070007043073
2011-04-26,-0.0173444843218081,0.0059434833437645,-0.0588888592190212,-0.0219245194079691,0.004786974990632,-0.005940541331994,0.0138639513465979,-0.0022564673034249
2011-04-27,0.0041502434164871,0.0098328791267981,-0.0112961080561781,0.0012391857819089,-0.0066730155556873,0.0236794968583174,0.03144020592402,0.0003773671276164
2011-04-28,0.0155367018918476,0.0340807289185366,0.0362756010223572,0.007462738793704,0.0081378917232206,0.0579881399027838,0.0415140593715928,0.0034052270733523
2011-04-29,0.0133280576371325,-0.0314519418798552,0.0075712964582968,0.0156686494766211,-0.0004747993938598,0.0150669897664147,0.006548236786369,0.0033469748839986
2011-05-02,-0.0258266130623817,-0.0266074720364071,-0.0173511352529636,-0.0273972602739728,-0.0360873351031554,0.0033112286514066,-0.029534894366597,-0.0184979647539197
2011-05-03,-0.0080212727198627,-0.0050159876343276,-0.011255843374127,-0.0067492032957867,-0.0182805802759741,-0.040861388524481,-0.0060009601756043,-0.0101886965193838
2011-05-04,-0.008433805277735,0.001377354377921,0.0017984879345335,-0.0084554464749478,-0.0030425934796095,-0.0282583487200855,0.0067550970842736,-0.0240274285760842
2011-05-05,0.003362335389131,0.0046189553455759,-0.0036231562727872,0.0046029877772747,0.0230650353312857,-0.0107913850049466,0.0048239451846575,-0.0086409788399665
2011-05-06,-0.0115732541055903,-0.0194746515698177,-0.0083681645833281,-0.0084697699765433,-0.0029527529953092,-0.0578651024406991,-0.0348754725382533,-0.0144475138779904
2011-05-09,0.0329586442746936,0.0078703737635016,0.0114734625715644,0.035207206723225,0.0347222611505216,0.0259192466076443,0.0108082154581545,0.0211070795067355
2011-05-10,0.0226054229246787,0.0063985970003191,0.0089020543106474,0.0246304786160853,0.0275796209192333,0.033918123436685,0.0142615462369073,0.0070120882213012
2011-05-11,-0.0421971380516049,-0.0127445966339506,-0.0129640142755553,-0.046013942524209,-0.0274674192347056,-0.0124645506010959,-0.0126492261263234,-0.0185758335681842
2011-05-12,0.016582862150499,0.0300925744005032,0.0282452667032853,0.0152370467396232,0.0202702506778015,0.0138808420132952,0.0172413569502433,0.0126984002038136
2011-05-13,-0.0154299570517026,-0.0251911595804759,-0.0140350740212987,-0.0133259171609161,-0.0227165622014197,-0.0279202160922847,-0.014575790152812,-0.02864990405617
2011-05-16,-0.0129176222369418,-0.0167442144349564,-0.0179532766904406,-0.0101465787766713,-0.0249145204743092,-0.0443786992265755,-0.0192354741026916,-0.0097759583941601
2011-05-17,-0.0258442967985958,-0.0037968640182613,-0.0036855878845407,-0.0291428702218192,0.0035461321838997,0.0204714582211987,-0.0197056850217135,-0.0207468876384103
2011-05-18,0.0147113138451119,0.0143609934501883,0.0221811842578744,0.013953474446076,0.0136019658470256,0.0486027453770546,0.0073492377662385,0.0109658472763124
2011-05-19,0.0081064248210314,-0.0173221361732585,-0.0035950492133644,0.0131503456401489,-0.0157326015453883,-0.0069283449191181,-0.0162419170025974,0.0074596067731507
2011-05-20,-0.0135979028242323,-0.0431034317387026,-0.0369473411202294,-0.0005688412357927,-0.0005034881863229,-0.0234329013287303,-0.0309146423950295,-0.0202814476081484
2011-05-23,0.0095820189545203,0.0153374822392779,0.0282776072312046,0.0069930559615648,0.0123966823069746,0.0207467964854587,0.0075431735466357,0.0116129229145666
2011-05-24,-0.0289266835084853,-0.0030059854055331,0.0136645533007378,-0.0373777827109751,-0.0223691407484343,-0.0190421191666967,0.0101686132988088,-0.0242038094815398
2011-05-25,0.0222707788097875,0.0050454280024959,0.0252618520626042,0.0245508879449861,0.0130685040027776,0.0153031331597671,0.0186517662059079,0.0113586822112111
2011-05-26,0.0251799685668743,0.0203251835532275,0.0006027865455007,0.0276145300066722,0.0093555003128314,0.0227406009138146,0.0272894489339066,0.0272845022348774
2011-05-27,-0.0005657775211816,0.0074516409405153,-0.0155688752696842,-0.0022791458642484,-0.0015329936459562,0.0403179477492636,-0.0138354372974389,0.0029436372078634
2011-05-31,-0.0002083188295489,0.0141671189670313,0.0071941804370069,-0.0022510362688184,0.0060453341689155,-0.0313852780342583,-0.0038580638312253,0.0070862892003281
2011-06-01,-0.0416964436465238,-0.0313555056866224,-0.0429082950679581,-0.0447085971769298,-0.0442879001121442,-0.0306749099301693,-0.0295566346556495,-0.0358333587646486
2011-06-02,-0.0077933518647789,0.0,-0.0062304942398068,-0.0088862337670555,-0.0157895335200075,0.0034601767828374,0.0002677948230012,-0.0030355462465469
2011-06-03,0.0061560752856777,0.014735721731795,-0.0019108110404873,0.0067073544457447,0.0054674632167329,-0.010557091254051,0.0032697255964621,-0.0026654582555445
