Date,Weighted Industry Change,RGR Change
2011-04-18,-0.0105516171068584,-0.0105516171068584
2011-04-19,-0.0009704248991447,-0.0009704248991447
2011-04-20,0.0043206986518259,0.0043206986518259
2011-04-21,-0.0038095201764787,-0.0038095201764787
2011-04-25,0.0009560448226926,0.0009560448226926
2011-04-26,0.0047961812777039,0.0047961812777039
2011-04-27,0.045586740468044,0.045586740468044
2011-04-28,0.0917132803857604,0.0917132803857604
2011-04-29,0.0101954019449445,0.0101954019449445
2011-05-02,-0.0277194398242707,-0.0277194398242707
2011-05-03,0.0117035310505118,0.0117035310505118
2011-05-04,-0.0089781569026287,-0.0089781569026287
2011-05-05,-0.0264412925193239,-0.0264412925193239
2011-05-06,-0.0079400222571683,-0.0079400222571683
2011-05-09,0.0022291233339397,0.0022291233339397
2011-05-10,0.0146601475055803,0.0146601475055803
2011-05-11,-0.0366769754523463,-0.0366769754523463
2011-05-12,0.0202485293753637,0.0202485293753637
2011-05-13,-0.0148916934105752,-0.0148916934105752
2011-05-16,-0.0249307023076099,-0.0249307023076099
2011-05-17,0.0157593082755339,0.0157593082755339
2011-05-18,0.0037647022920495,0.0037647022920495
2011-05-19,-0.0149114496027986,-0.0149114496027986
2011-05-20,-0.0057061738143261,-0.0057061738143261
2011-05-23,0.0063106387553052,0.0063106387553052
2011-05-24,-0.0024130906716935,-0.0024130906716935
2011-05-25,0.0184286685402835,0.0184286685402835
2011-05-26,0.0364158261126893,0.0364158261126893
2011-05-27,-0.0280846557222437,-0.0280846557222437
2011-05-31,0.0347744242124277,0.0347744242124277
2011-06-01,-0.0418562372818111,-0.0418562372818111
2011-06-02,0.0033254919102138,0.0033254919102138
2011-06-03,-0.0274434127232364,-0.0274434127232364
2011-06-06,0.0129289020880486,0.0129289020880486
2011-06-07,-0.0146057025821449,-0.0146057025821449
2011-06-08,-0.0059523280155267,-0.0059523280155267
2011-06-09,-0.0139442573560441,-0.0139442573560441
2011-06-10,-0.0349544347547139,-0.0349544347547139
2011-06-13,0.0125918036643709,0.0125918036643709
2011-06-14,-0.0077121604110535,-0.0077121604110535
2011-06-15,-0.0162473515294527,-0.0162473515294527
2011-06-16,0.0319317958960435,0.0319317958960435
2011-06-17,-0.0194871364495691,-0.0194871364495691
2011-06-20,0.0073221434886741,0.0073221434886741
2011-06-21,0.0067183027495489,0.0067183027495489
2011-06-22,0.0056877254128068,0.0056877254128068
2011-06-23,0.0602910530775277,0.0602910530775277
2011-06-24,0.0068593528023074,0.0068593528023074
2011-06-27,0.019540866599734,0.019540866599734
2011-06-28,0.0287356516085077,0.0287356516085077
2011-06-29,0.0078594582935674,0.0078594582935674
2011-06-30,0.0009120135652232,0.0009120135652232
2011-07-01,0.0049931320732826,0.0049931320732826
2011-07-05,0.0288547962507958,0.0288547962507958
2011-07-06,0.004374386327698,0.004374386327698
2011-07-07,0.0216356549889503,0.0216356549889503
2011-07-08,0.0008565506396968,0.0008565506396968
2011-07-11,-0.0004342261651618,-0.0004342261651618
2011-07-12,0.0056644512612185,0.0056644512612185
2011-07-13,0.0081579484431155,0.0081579484431155
2011-07-14,-0.0216559803845183,-0.0216559803845183
2011-07-15,-0.0068876388534231,-0.0068876388534231
2011-07-18,-0.007417106270858,-0.007417106270858
2011-07-19,0.0162422704447797,0.0162422704447797
2011-07-20,-0.0017226102222882,-0.0017226102222882
2011-07-21,0.0055938498018745,0.0055938498018745
2011-07-22,0.0153846417188177,0.0153846417188177
2011-07-25,0.0315969158286725,0.0315969158286725
2011-07-26,0.0173195907750081,0.0173195907750081
