Date,Weighted Industry Change,DEO Change,KDP Change
2011-04-18,0.0125960770140204,0.0005186840521619,0.0158145047584679
2011-04-19,0.0077152595261236,0.0039626427878231,0.0083116803850447
2011-04-20,-0.0048567383288691,-0.0071625996696294,-0.0043545589051193
2011-04-21,0.0026662554738889,-0.0038885794511659,0.0041120495512607
2011-04-25,-0.0056621231265937,-0.001387320079221,-0.0061554672514761
2011-04-26,-0.0023434290177916,0.0011366044145461,-0.0028394580688081
2011-04-27,0.0129632771915863,0.0117178063712576,0.0131512505241107
2011-04-28,-0.0096691567259077,0.0084451109479068,-0.0119700638528976
2011-04-29,-0.010203501403584,0.0019702458307251,-0.0123456256166206
2011-05-02,0.0003271207557831,0.0031897251873629,-0.0002538613158149
2011-05-03,0.0076442831163698,0.0009900272108767,0.0094028655890639
2011-05-04,-0.009035152242029,-0.0044537993591045,-0.0103483053625767
2011-05-05,0.0018316167754929,-0.003208318525335,0.0051176289373472
2011-05-06,-0.002681855295597,-0.0030343488512199,-0.0025394181337218
2011-05-09,0.0044903968968494,0.0031462020589395,0.0048482380215434
2011-05-10,0.0048929010022177,0.0050468416580704,0.0048150645163347
2011-05-11,0.0173657264620519,-0.0085146788255784,0.0210473604560126
2011-05-12,0.0302796947052771,0.0093783671572583,0.0329176993778715
2011-05-13,0.0045417299126734,-0.0017828824602545,0.0055354884827816
2011-05-16,0.0030760263798374,-0.0071064606413877,0.0052834107571533
2011-05-17,0.0077273657023857,0.0033853074887707,0.0090822434686758
2011-05-18,-0.0086512708968608,0.007772735578183,-0.0120996943717153
2011-05-19,-0.0013536016395181,0.0021536288733233,-0.0021241480966893
2011-05-20,-0.0035476158754347,0.0004808958328994,-0.0042573394127891
2011-05-23,0.0020008645242879,-0.0007340048955439,0.0026322232098993
2011-05-24,-0.0007112434103012,-0.0062043129655716,0.0002386234169235
2011-05-25,-0.0065047803919901,0.0043018494529923,-0.0083752639662737
2011-05-26,0.0046168247794292,0.0036492282581044,0.0048356083169254
2011-05-27,-0.0082111467060996,0.0051300442226359,-0.0103639500549586
2011-05-31,-0.0022398408213556,-0.0012910870222023,-0.0024212706045612
2011-06-01,-0.0065268937685818,-0.0126627015999722,-0.0051033509449045
2011-06-02,-0.0015182525466756,0.0075489431335627,-0.0053685022733192
2011-06-03,-0.0017507225280261,0.0060642347857759,-0.0044466479054172
2011-06-06,-0.0090423360930248,-0.0137631545575646,-0.0071853545872585
2011-06-07,-0.0016342386030591,-0.0042664212143829,-0.0007463331697695
2011-06-08,-0.0093413744159132,-0.0027661257091138,-0.0114427630781722
2011-06-09,0.0049453364875573,0.0074012507034444,0.0040251533940152
2011-06-10,0.0060176315388089,-0.0147778028726746,0.0128141242715293
2011-06-13,0.0100395449616642,-0.0027680315041026,0.01191361457754
2011-06-14,0.0011836707570455,-0.0048054004822722,0.0024377979767224
2011-06-15,-0.0040331249335947,-0.0051301549315921,-0.003670117815066
2011-06-16,0.0036761539928601,0.008947448860208,0.00197048852368
2011-06-17,-0.0094045480165515,-0.0074754978156648,-0.0097703401221094
2011-06-20,0.007141130266383,0.0008622775875964,0.0086313759655628
2011-06-21,-1.0866876979289007e-05,0.0080773916228667,-0.0026880938557269
2011-06-22,-0.0033037210393126,-0.0018541597410345,-0.0039408830892961
2011-06-23,0.0011724711338287,0.0091352233022759,-0.0004992625331511
2011-06-24,-0.0055888951047454,-0.0024832949511199,-0.0059806048362526
2011-06-27,0.0109086317981924,0.0024709283692815,0.0132433476570353
2011-06-28,0.0052799725528392,0.0068391328560139,0.004433505220216
2011-06-29,0.010145283040156,0.0009874608017617,0.0127170571172791
2011-06-30,0.0121950753870448,0.0077548608983095,0.0128019024097275
2011-07-01,0.0079894203297198,0.0100490160558554,0.0071685319640651
2011-07-05,0.0091152891705821,-0.0077095708137418,0.0139976306341447
2011-07-06,0.0038161998819293,-0.0025128525217125,0.0051655604582042
2011-07-07,-0.0255330045857701,0.0005981744588179,-0.0275507881094743
2011-07-08,0.0092542479854776,-0.0003591808010372,0.0108511438388271
2011-07-11,-0.0086893105544671,-0.0030480371888814,-0.01078879819748
2011-07-12,0.0030499486661658,0.0003721471166075,0.0041171752282858
2011-07-13,-0.000742287628999,0.0029611086333491,-0.0019253433893224
2011-07-14,-0.0133609846919326,-0.0094570948217007,-0.0142305876897341
2011-07-15,-0.002245389423244,-0.0023522944151069,-0.0021993240937856
2011-07-18,-0.017516422815466,-0.0053770201151936,-0.0199606046511103
2011-07-19,0.0167741291017724,0.0053004266741896,0.0194999694824218
2011-07-20,0.0019904831188989,0.0037396586611601,0.0012278790658563
2011-07-21,-0.0065287844384774,0.0091832988467628,-0.0114745463015409
2011-07-22,-0.0055546305799863,0.0027885028877091,-0.0076222663523613
2011-07-25,-0.0067673845725606,-0.0010933828278462,-0.0077441311028487
2011-07-26,-0.0047160691417601,0.0039639859586149,-0.0067652332446997
2011-07-27,-0.0257676523184688,-0.0168390851113383,-0.0281760737581073
2011-07-28,-0.0081009522318744,-0.0025575335880119,-0.0088105766064652
2011-07-29,-0.0012516854344195,-0.0033125293262742,-0.0007939294328467
2011-08-01,-0.012540470225702,-0.0162798733767027,-0.0115758654601076
2011-08-02,-0.0029171874021661,-0.0125528479707052,0.0008047906377831
2011-08-03,0.0123892273689168,0.0023651787337349,0.0155453764408762
2011-08-04,-0.0264318825501858,-0.0340067637275483,-0.0237523181386151
2011-08-05,0.011045876041581,-0.0048351860430709,0.0160108596205841
2011-08-08,-0.0331286528538576,-0.0275301325082225,-0.0344827693354284
2011-08-09,0.0058267833767134,-0.0014653071906052,0.0100390575634189
2011-08-10,-0.0209252641118277,-0.0220311571179663,-0.0201511679240861
2011-08-11,0.0344749369379288,0.0276183249838368,0.0421052483069365
2011-08-12,0.0117545778579237,0.0073347111876905,0.0185034096646471
2011-08-15,-0.0064814838307222,0.0111053794323194,-0.0117365276528909
2011-08-16,0.0056846162640937,0.0116700449226094,0.002718088383599
2011-08-17,-0.001366253531412,-0.0044745393589746,-0.0002688443641409
2011-08-18,-0.0050963500342775,-0.0055117872147763,-0.0049382798740238
2011-08-19,-0.0081403188231139,-0.0082700731112361,-0.008048767989321
2011-08-22,-0.0142944242128216,-0.017956883062531,-0.0124034444151904
2011-08-23,0.0141221764736574,0.0148327726510498,0.0136375691513409
2011-08-24,0.0058157033053998,0.0182320395995074,-0.004139114760804
2011-08-25,-0.0116609040117031,-0.0071914621811786,-0.0163073562081614
2011-08-26,0.0217118249377953,0.0065942870491268,0.0307215379552169
2011-08-29,0.0220102765804182,0.0168238555981,0.0246412087704361
2011-08-30,0.0094544051165909,0.003582379301149,0.0116927614727549
2011-08-31,0.0057167641407734,0.0056384487082127,0.0057501628425139
2011-09-01,-0.0042718209658124,-0.0045917440825799,-0.0041677481103387
2011-09-02,0.0042341953740053,0.0073796621614271,0.0026574135339536
2011-09-06,0.0124398536549533,0.0056388882261907,0.0171195945971861
