Date,Weighted Industry Change,PHM Change,TPH Change,MDC Change,TMHC Change,THO Change
2011-04-18,0.019258353078571,0.0181818632195672,0.0,0.027515977940526,0.0,0.0256843604245595
2011-04-19,0.0440573922412403,0.0470139632705722,0.0,0.0237573013227882,0.0,0.0006542511600698
2011-04-20,-0.0268276149834599,-0.0286055679346292,0.0,-0.0066925312263662,0.0,-0.0057859306218041
2011-04-21,-0.0504566265550784,-0.0523751311011778,0.0,-0.0235832490021009,0.0,0.0083816964875887
2011-04-25,0.0006965502720525,0.0,0.0,0.0209613605869237,0.0,-0.0047695237596199
2011-04-26,-0.0069651131757389,-0.0076433049055368,0.0,0.0077739037576421,0.0,-0.0136812058861153
2011-04-27,0.0184640236332101,0.019157100489017,0.0,0.0084151323859504,0.0,0.0061290494857294
2011-04-28,0.0070031402044132,0.0073348977633191,0.0,0.0017259523955066,0.0,-0.0083628249471138
2011-04-29,-0.0082524934141696,-0.0097442050346336,0.0,0.007941968312635,0.0,0.0022624335363911
2011-05-02,-0.0231577031822241,-0.0245097810055187,0.0,-0.019145240664228,0.0,-0.0025731721876302
2011-05-03,-0.0168775357087416,-0.0176767506486069,0.0,-0.0097867966969465,0.0,-0.0233084923140455
2011-05-04,0.0261913304115218,0.0322580645161291,0.0,-0.0165551675793237,0.0,-0.0187932639715802
2011-05-05,0.0096042631239278,0.0100756171242672,0.0,0.0057512747023561,0.0,0.017270579648597
2011-05-06,-0.0222635585397369,-0.023312833040054,0.0,-0.012711842437476,0.0,-0.0250907958372574
2011-05-09,-0.0157224938054054,-0.0164141557056335,0.0,-0.0143678174697355,0.0,0.0084573749836512
2011-05-10,-0.0255481258495027,-0.0063938861428747,0.0,-0.0702206205610166,0.0,0.0300200010764624
2011-05-11,-0.0302105814275971,-0.0346598180036816,0.0,-0.0019724196494595,0.0,-0.0022735173787394
2011-05-12,0.0200005919382857,0.0186170035692403,0.0,-0.0031708815024124,0.0,0.0716388174213747
2011-05-13,-0.0100428525355326,-0.0104166569653897,0.0,-0.0051628259567318,0.0,-0.0122474442053801
2011-05-16,0.005969674735502,0.0079470120879163,0.0,-0.0016025909563954,0.0,-0.0115516374019947
2011-05-17,0.0026387758243455,0.0039578113601987,0.0,-0.0096852130683131,0.0,0.0047680079543594
2011-05-18,-0.0004130312412485,-0.0052562366821608,0.0,0.0313136166688937,0.0,0.0069620035031231
2011-05-19,-0.0024842548676,-0.0065616423423393,0.0,0.0160281551157907,0.0,0.0099875057952681
2011-05-20,0.0222684544134803,0.0238410362637491,0.0,0.0135291532691169,0.0,-0.0239055750481605
2011-05-23,-0.0086478518957693,-0.0092104862766577,0.0,-0.0046314939873867,0.0,-0.0054927325396873
2011-05-24,-0.0133800371588524,-0.0145118911110254,0.0,-0.0115875078196431,0.0,-0.0022617641501537
2011-05-25,0.0068663419394177,0.0053691225338396,0.0,0.0184025539290508,0.0,0.0175552342054825
2011-05-26,0.0469321610555064,0.049399248825478,0.0,0.0197063234207566,0.0,0.00769230016825
2011-05-27,0.0394534733395059,0.0419313759218196,0.0,0.0177358949926752,0.0,-0.0142676204780297
2011-05-31,0.0223779039657983,0.0242718221869558,0.0,-0.0011118710124079,0.0,0.0253968011765254
2011-06-01,-0.0374594091887756,-0.0359712452333438,0.0,-0.0349962856260395,0.0,-0.0582945476206696
2011-06-02,-0.0291903025376013,-0.0334571888847187,0.0,-0.0096599590900436,0.0,0.0170491953365138
2011-06-03,0.0145959845193431,0.0169050862774514,0.0,0.000396046268777,0.0,0.0045736487048971
2011-06-06,-0.0442627411065452,-0.0487805027344987,0.0,-0.0221693704141884,0.0,0.0061990387087228
2011-06-07,-0.0293468203265825,-0.0322147352030386,0.0,-0.0064464326001848,0.0,-0.0080385851104027
2011-06-08,-0.0293243808128894,-0.0319444479397787,0.0,-0.002035036123589,0.0,-0.0191620699917013
2011-06-09,0.0046312153029521,0.0042795623383276,0.0,0.0113774993312697,0.0,0.0046327366041732
2011-06-10,-0.0112487883347292,-0.0100000245230537,0.0,-0.0084986358552327,0.0,-0.0298805279150786
2011-06-13,-0.0014534988179064,0.002877695176315,0.0,0.0048859847810619,0.0,-0.0314852874029148
2011-06-14,0.0176850503025244,0.0197182913191659,0.0,0.0,0.0,0.0181437704302927
2011-06-15,-0.0198141974478153,-0.0209790340373028,0.0,-0.0222401184316443,0.0,0.0027748846312092
