Date,Weighted Industry Change,NSIT Change
2011-04-18,-0.0131654007599479,-0.0131654007599479
2011-04-19,-0.0143926302775603,-0.0143926302775603
2011-04-20,-0.0080275970590522,-0.0080275970590522
2011-04-21,0.0011527641108891,0.0011527641108891
2011-04-25,-0.0213011411258934,-0.0213011411258934
2011-04-26,0.0176159263044421,0.0176159263044421
2011-04-27,0.0080971302623073,0.0080971302623073
2011-04-28,-0.0005740659493707,-0.0005740659493707
2011-04-29,-0.0137930905965408,-0.0137930905965408
2011-05-02,-0.0360465588216311,-0.0360465588216311
2011-05-03,-0.0108630240489386,-0.0108630240489386
2011-05-04,0.0103848544641801,0.0103848544641801
2011-05-05,-0.0235293893253102,-0.0235293893253102
2011-05-06,-0.0183975940014396,-0.0183975940014396
2011-05-09,0.0513132683063805,0.0513132683063805
2011-05-10,0.0254481552001447,0.0254481552001447
2011-05-11,-0.0124786910849135,-0.0124786910849135
2011-05-12,0.0368875720793628,0.0368875720793628
2011-05-13,-0.047964338857446,-0.047964338857446
2011-05-16,-0.0276470184326171,-0.0276470184326171
2011-05-17,0.0146341327256489,0.0146341327256489
2011-05-18,0.0107783466828696,0.0107783466828696
2011-05-19,-0.0240469129477095,-0.0240469129477095
2011-05-20,-0.0248183920127815,-0.0248183920127815
2011-05-23,-0.0038047189521266,-0.0038047189521266
2011-05-24,-0.021601026526809,-0.021601026526809
2011-05-25,0.006506205739382,0.006506205739382
2011-05-26,0.0200258674924944,0.0200258674924944
2011-05-27,0.0050251208117255,0.0050251208117255
2011-05-31,0.03582457718182,0.03582457718182
2011-06-01,-0.0316229522319563,-0.0316229522319563
2011-06-02,0.0,0.0
2011-06-03,0.0081606502370477,0.0081606502370477
2011-06-06,-0.0299065149565848,-0.0299065149565848
2011-06-07,0.0063451412654265,0.0063451412654265
2011-06-08,0.01397714550368,0.01397714550368
2011-06-09,-0.0049720275293588,-0.0049720275293588
2011-06-10,-0.012570698377327,-0.012570698377327
2011-06-13,-0.0031746152847532,-0.0031746152847532
2011-06-14,-0.0012515334582141,-0.0012515334582141
2011-06-15,0.0152284116518183,0.0152284116518183
2011-06-16,0.0024968169185866,0.0024968169185866
2011-06-17,-0.0055658721189392,-0.0055658721189392
2011-06-20,0.0162196018555657,0.0162196018555657
2011-06-21,-0.0006097700679539,-0.0006097700679539
2011-06-22,0.0104679851410022,0.0104679851410022
2011-06-23,0.015413070936086,0.015413070936086
2011-06-24,0.0054446551028035,0.0054446551028035
2011-06-27,-0.0096270605704808,-0.0096270605704808
2011-06-28,0.0048250858910844,0.0048250858910844
2011-06-29,0.037724498921263,0.037724498921263
2011-06-30,0.0160641867122475,0.0160641867122475
2011-07-01,0.0095774690869828,0.0095774690869828
2011-07-05,0.037325907956353,0.037325907956353
2011-07-06,0.0133832974258962,0.0133832974258962
2011-07-07,-0.0062925502781908,-0.0062925502781908
2011-07-08,0.0010764509066631,0.0010764509066631
2011-07-11,0.0086956440613712,0.0086956440613712
2011-07-12,-0.0119241849108777,-0.0119241849108777
2011-07-13,0.0168845019410078,0.0168845019410078
2011-07-14,-0.0266524517004124,-0.0266524517004124
2011-07-15,-0.0010935186857586,-0.0010935186857586
2011-07-18,-0.0180921013074017,-0.0180921013074017
2011-07-19,0.0188888973659939,0.0188888973659939
2011-07-20,-0.0021704240295702,-0.0021704240295702
2011-07-21,-0.0005423117457814,-0.0005423117457814
2011-07-22,0.0005419144238349,0.0005419144238349
2011-07-25,0.0005464606174181,0.0005464606174181
2011-07-26,-0.0218340406765007,-0.0218340406765007
2011-07-27,-0.0583613370364297,-0.0583613370364297
2011-07-28,-0.0101070201770727,-0.0101070201770727
2011-07-29,0.024345685398695,0.024345685398695
2011-08-01,-0.0274693865538949,-0.0274693865538949
2011-08-02,-0.0481927814669142,-0.0481927814669142
2011-08-03,0.0442757615867354,0.0442757615867354
2011-08-04,0.0044444402058917,0.0044444402058917
2011-08-05,-0.0811546689316602,-0.0811546689316602
2011-08-08,-0.1026895013752497,-0.1026895013752497
2011-08-09,0.0624584430877274,0.0624584430877274
2011-08-10,-0.0154738728289152,-0.0154738728289152
2011-08-11,0.0403645767849713,0.0403645767849713
2011-08-12,0.0074441020866889,0.0074441020866889
2011-08-15,0.0410287862476542,0.0410287862476542
2011-08-16,0.0071770839809516,0.0071770839809516
2011-08-17,-0.0017761267247446,-0.0017761267247446
2011-08-18,-0.0416156853626518,-0.0416156853626518
2011-08-19,0.0181818632195674,0.0181818632195674
2011-08-22,-0.0043397209216526,-0.0043397209216526
2011-08-23,0.069925809330759,0.069925809330759
2011-08-24,0.0273255402620208,0.0273255402620208
2011-08-25,-0.020728337889421,-0.020728337889421
2011-08-26,0.0584829300585104,0.0584829300585104
2011-08-29,0.0511578232930307,0.0511578232930307
2011-08-30,-0.0103734831855057,-0.0103734831855057
2011-08-31,-0.015175348313189,-0.015175348313189
2011-09-01,-0.0042283257602251,-0.0042283257602251
2011-09-02,-0.0338612206427421,-0.0338612206427421
2011-09-06,0.0479574542665436,0.0479574542665436
2011-09-07,0.026533971154647,0.026533971154647
2011-09-08,-0.0454545548374098,-0.0454545548374098
2011-09-09,-0.0154462508486501,-0.0154462508486501
2011-09-12,0.0011785774055943,0.0011785774055943
2011-09-13,-0.0064744327153291,-0.0064744327153291
2011-09-14,0.0023404919731761,0.0023404919731761
2011-09-15,-0.002318893653759,-0.002318893653759
2011-09-16,-0.023685722707201,-0.023685722707201
2011-09-19,-0.0060204923416682,-0.0060204923416682
2011-09-20,-0.0279464829926139,-0.0279464829926139
