Date,Weighted Industry Change,WOR Change,ROCK Change
2011-04-18,-0.0034242908281811,0.0019969549080134,-0.0122484986513391
2011-04-19,0.0145400071317824,0.0227722310444962,-0.0017575094518928
2011-04-20,-0.0125504171933775,-0.0056818576924711,0.0025640797829274
2011-04-21,-0.0078772502638311,-0.0089749897672591,0.0
2011-04-25,-0.0075055531939122,-0.0009528565022278,0.0228619385686795
2011-04-26,0.0061007841935804,-0.0075614295163464,0.0306291297927067
2011-04-27,-0.0066083878334684,-0.0047302969256498,-0.0136986364531983
2011-04-28,-0.0024992697314503,0.0203791610143009,-0.0310710690915622
2011-04-29,0.0012074489077296,-0.0023127262936291,-0.0193114647508837
2011-05-02,-0.0176590523887562,-0.0350553606173333,-0.0247440234851247
2011-05-03,-0.0077390621343741,-0.0100719898311333,-0.0070236980943511
2011-05-04,-0.0205921492988499,-0.0101743745485757,-0.0301686014887136
2011-05-05,0.002462966459183,0.0004948158997948,0.0987551503358714
2011-05-06,-0.0178876041578178,-0.0029253761712733,0.0073910113409711
2011-05-09,0.0094353930068349,0.024914521054679,-0.0058997695357469
2011-05-10,0.0046816088723377,0.0118315196369809,0.037009621874846
2011-05-11,-0.009039788664755,-0.0263034922127502,-0.0421428680419921
2011-05-12,0.0244981276254476,0.0242483016319115,0.0368144068873196
2011-05-13,-0.0079582224702896,-0.0345480156758246,-0.0384057772207152
2011-05-16,-0.001055601147902,0.0349581984485957,0.0098559604682824
2011-05-17,0.0035213642280195,0.0062261050450376,-0.0189393942130608
2011-05-18,0.0026242351884,0.0290061190245367,-0.0145482793225816
2011-05-19,-0.0107387136937699,-0.0124081091417131,-0.0169360521347842
2011-05-20,-0.0089417954044719,-0.0098130415054222,-0.016496393717526
2011-05-23,0.0007360287687692,-0.0028818187714623,0.0008244211696198
2011-05-24,-0.0005624147098388,-0.0114998403840799,-0.0065412859117268
2011-05-25,0.0143343130353041,0.0199513315150252,0.0413907287382336
2011-05-26,0.0063034889605374,0.0120076850943541,0.0271132498901259
2011-05-27,0.0071311503123184,0.0108337045311165,0.0038550647421318
2011-05-31,-0.0066317973819093,0.0032168977062467,-0.0173062109026717
2011-06-01,-0.0252646205622932,-0.0432979579156817,-0.0138889123955217
2011-06-02,0.006678864730385,0.0183043909719199,-0.0015686633540134
2011-06-03,0.0004171350384508,-0.0217285792121646,-0.0388035203457589
2011-06-06,-0.0083842189631507,-0.0004940824602234,-0.0033641682672859
2011-06-07,-0.0088027853957002,-0.0009818584653737,-0.0199999809265136
2011-06-08,-0.0002041439963074,-0.0108856666660374,-0.026609397089533
2011-06-09,0.0033797508551866,0.003480840014902,-0.006129570434025
2011-06-10,-0.0082568477202099,0.0015022878155755,-0.0249110087787249
