Date,Weighted Industry Change,BIG Change,FIVE Change,M Change,KSS Change,WMT Change
2011-04-18,-0.0006202136206952,-0.0111059585534302,0.0,-0.0016694077507136,-0.0045454141522234,0.0043330733666585
2011-04-19,-0.0038364469112218,-0.0180032838326494,0.0,0.0,-0.0064638814154181,0.0016898264255391
2011-04-20,0.0033104071573461,-0.0063753637023481,0.0,0.0103050287568576,-0.0036080255841154,-0.0011163046193678
2011-04-21,-0.0108790994332315,-0.0149572001280621,0.0,-0.0174867955472755,-0.0097069304785592,-0.0044592691402896
2011-04-25,-0.0053274024100285,-0.0158691955996793,0.0,-0.0066252525854842,0.0023076717670148,-0.0042910363579091
2011-04-26,0.0116275913159537,-0.0113911154901956,0.0,0.0149192135463019,0.0195739866785005,0.0097396603054559
2011-04-27,0.0038951213634619,-0.0017148382005769,0.0,-0.000406844138034,0.0035740900536935,0.0100222177083371
2011-04-28,-0.0029613933904908,0.0024588712397511,0.0,-0.0178499205219806,-0.0013167737965602,0.0073677970977385
2011-04-29,0.0011291389930718,0.006611176708004,0.0,-0.0103476821845582,-0.0064090510363359,0.0104760098588998
2011-05-02,-0.004763005215107,0.0075646992863313,0.0,-0.0073891749041785,-0.0119827633678499,-0.0007262330101228
2011-05-03,0.0198595475108882,0.0009719829731942,0.0,0.0360845669788673,0.0072038117178243,0.0068990058239925
2011-05-04,0.0083437894558614,-0.0119220895854306,0.0,0.0159999847412108,0.0031966560355354,0.0010847506256385
2011-05-05,0.0169359894287773,-0.0225974630511003,0.0,0.0345504943792373,0.0183256319472065,-0.0014506224631228
2011-05-06,-0.0147916298911437,-0.0075738256106499,0.0,-0.0232210045512051,-0.0173127244921369,-0.0050632691348976
2011-05-09,0.0044741669834995,0.0028031801974835,0.0,0.0073105246529768,0.0007655677612888,0.0023648763058241
2011-05-10,0.003861490088894,0.002796151752031,0.0,-0.0007590306441793,0.0103073281507622,0.0068902491913742
2011-05-11,-0.0015095672795388,-0.0139948917999439,0.0,-0.0028129367863494,0.006760574842283,0.0010886873149932
2011-05-12,0.0132280192520259,-0.0092903383316531,0.0,0.0116648961833338,0.0311111167625144,0.0086893469886232
2011-05-13,0.0028259147980971,0.0033853450065713,0.0,0.0124510304703515,-0.006840703390356,-0.0008965256706141
2011-05-16,-0.0005860320828309,-0.009895860755608,0.0,-0.010927083684196,0.004537205207318,0.0080920834022737
2011-05-17,0.0034789271702516,-0.0112300938859839,0.0,0.0085227191910024,0.0099819068419054,-0.000359979432493
2011-05-18,0.0073308488149001,-0.0018513539349848,0.0,0.0249210599341967,0.0085699584238168,-0.005765760267103
2011-05-19,-0.0087631111347302,-0.0174570408137105,0.0,-0.0080699318414669,-0.000353427420211,0.0045265254765902
2011-05-20,-0.0164288266630374,-0.0014880725991417,0.0,-0.0232002837791223,-0.0301632495480707,-0.0046804378956632
2011-05-23,0.0116897213369756,0.0101918509102901,0.0,0.0170818340113925,0.0149529518307308,0.0041825701985093
2011-05-24,-0.0114557527651114,-0.018974189099737,0.0,-0.0149720894187905,-0.0085454767400567,-0.0083273512887895
2011-05-25,2.0340957716272964e-05,-0.0194115670595291,0.0,0.0074839984254515,-0.001473601578662,-0.00128134163382
2011-05-26,0.0096279835755833,0.0138665044179939,0.0,0.014877792529382,0.0029602192353481,0.0016504704676806
2011-05-27,0.0019818777647099,0.0166195920175813,0.0,0.0034710303132057,-0.0123411672931277,-0.0009132280741653
2011-05-31,0.0026014891034818,0.0105867652626251,0.0,0.0027777752022686,-0.0109604334482395,0.0061953379367813
2011-06-01,-0.0116739025549301,-0.0051174586813871,0.0,-0.0163478022036345,-0.0020743091247155,-0.0123681395205071
2011-06-02,-0.0103117718434178,-0.0121212583599668,0.0,-0.0035562012263599,-0.0160827141479986,-0.0121748728750882
2011-06-03,0.0022920928811498,0.0080569667754886,0.0,-0.0075675345755914,-0.0025590761824342,0.0095954526226096
2011-06-06,-0.0091228580746145,-0.0326857679915966,0.0,-0.0174990717060166,0.0027805999719675,-0.0018567079035484
