Date,Weighted Industry Change,NCLH Change,RCL Change,GMLP Change
2011-04-18,0.0115276267971929,0.0,0.0113914292327078,0.0150529227169181
2011-04-19,0.0082518651610877,0.0,0.0084970710600309,0.006043498000588
2011-04-20,-0.0105223246499518,0.0,-0.0157662656321003,0.0217821480023977
2011-04-21,0.0133438076830871,0.0,0.0083681924889771,0.043261834780238
2011-04-25,-0.0075206802626644,0.0,-0.0038930110546029,-0.0283842355272979
2011-04-26,0.0118654074825992,0.0,0.0143005525260813,-0.0166666949236835
2011-04-27,-0.0026375109873029,0.0,-0.0027624462881614,-0.0003772247753865
2011-04-28,-0.0487643055610165,0.0,-0.0498687702266107,0.0026636108445685
2011-04-29,-0.0019262704197985,0.0,-0.0030044801204503,0.0113207259268128
2011-05-02,-0.019772074246389,0.0,-0.0215133274339473,0.0093457943925234
2011-05-03,0.0039887287962117,0.0,0.0037793280692624,0.0086369304105659
2011-05-04,-0.0152028616596936,0.0,-0.0110691478417354,-0.0570370709454572
2011-05-05,0.0653102295626257,0.0,0.0715015129716755,-0.0460683015628739
2011-05-06,-0.0235264966608572,0.0,-0.0260890422315668,-0.0049730184856313
2011-05-09,-0.0108280804414734,0.0,-0.0153161793205522,0.0149013628824116
2011-05-10,0.0019966901699112,0.0,0.0012400604523557,0.0097541946229435
2011-05-11,-0.0028922528829969,0.0,-0.0041995595570089,0.0168826194255262
2011-05-12,0.0141580932625733,0.0,0.0145967387262573,0.0015582005477143
2011-05-13,0.0114997788331067,0.0,0.0117849140100916,-0.0054389817751874
2011-05-16,-0.0161553345737993,0.0,-0.0161527126175545,-0.02258566654258
2011-05-17,-0.0042649262797489,0.0,0.0067635388313647,-0.0498039395201439
2011-05-18,0.0111344766695646,0.0,0.0122286419315868,0.0071599168474878
2011-05-19,-0.0124928693408756,0.0,-0.0164538792622119,0.0253465104811259
2011-05-20,0.0054624958274325,0.0,0.0,0.0434783023496204
2011-05-23,-0.0141828129709841,0.0,-0.0152168011533677,0.0
2011-05-24,-0.0242291284070561,0.0,-0.0252903107673891,-0.0084465496181729
2011-05-25,0.0072441043809688,0.0,0.007756109127074,-0.0003717557257864
2011-05-26,-0.0060138578724108,0.0,-0.007116512059481,0.0140897692914315
2011-05-27,0.0013918079225954,0.0,0.0021007881436648,-0.0036363775079899
2011-05-31,-0.0020241364695089,0.0,-0.0020471296649507,-0.0025225115251973
2011-06-01,-0.035101080016376,0.0,-0.0372575002472395,-0.0158387517344134
2011-06-02,0.0122921560114597,0.0,0.0139747506196704,0.0044117253131943
