Date,Weighted Industry Change,GFF Change
2011-04-18,0.0032599804694967,0.0032599804694967
2011-04-19,-0.0072698022419975,-0.0072698022419975
2011-04-20,0.0055821128418786,0.0055821128418786
2011-04-21,0.0,0.0
2011-04-25,0.0023715958537706,0.0023715958537706
2011-04-26,0.0007861065249691,0.0007861065249691
2011-04-27,0.0007874196088211,0.0007874196088211
2011-04-28,0.0149370736159333,0.0149370736159333
2011-04-29,-0.016975329196084,-0.016975329196084
2011-05-02,-0.0257812436553652,-0.0257812436553652
2011-05-03,-0.0161030441253278,-0.0161030441253278
2011-05-04,-0.0253267542270599,-0.0253267542270599
2011-05-05,0.006808504145196,0.006808504145196
2011-05-06,-0.0543477940181499,-0.0543477940181499
2011-05-09,0.0238516311875098,0.0238516311875098
2011-05-10,0.0154109029793175,0.0154109029793175
2011-05-11,-0.0321217343103645,-0.0321217343103645
2011-05-12,-0.0017559663881307,-0.0017559663881307
2011-05-13,-0.0123348315962455,-0.0123348315962455
2011-05-16,-0.0305755536049445,-0.0305755536049445
2011-05-17,-0.0216572076002636,-0.0216572076002636
2011-05-18,0.0229885760956773,0.0229885760956773
2011-05-19,-0.0111731739400762,-0.0111731739400762
2011-05-20,-0.0028571174258278,-0.0028571174258278
2011-05-23,-0.0097275710498979,-0.0097275710498979
2011-05-24,-0.024390243902439,-0.024390243902439
2011-05-25,0.0200401575263636,0.0200401575263636
2011-05-26,0.0118459905432789,0.0118459905432789
2011-05-27,0.0009680763751881,0.0009680763751881
2011-05-31,0.0124283091746477,0.0124283091746477
2011-06-01,-0.0568182156844559,-0.0568182156844559
2011-06-02,0.0150602026060013,0.0150602026060013
2011-06-03,0.0060301930418962,0.0060301930418962
2011-06-06,-0.0060000419616699,-0.0060000419616699
2011-06-07,-0.0219123772773605,-0.0219123772773605
2011-06-08,0.0051282246907551,0.0051282246907551
2011-06-09,-0.0030457548714359,-0.0030457548714359
2011-06-10,0.0040857979580067,0.0040857979580067
2011-06-13,0.0181818497082432,0.0181818497082432
2011-06-14,-0.0235293897652978,-0.0235293897652978
2011-06-15,0.0040774679043887,0.0040774679043887
2011-06-16,0.0020263888546681,0.0020263888546681
2011-06-17,-0.0230924191796926,-0.0230924191796926
2011-06-20,0.0061792398950545,0.0061792398950545
2011-06-21,0.009109327079495,0.009109327079495
2011-06-22,-0.0091093270794949,-0.0091093270794949
2011-06-23,0.0165289093355255,0.0165289093355255
2011-06-24,-0.0111335683606385,-0.0111335683606385
2011-06-27,0.0091930697587925,0.0091930697587925
2011-06-28,-0.0020222909069134,-0.0020222909069134
2011-06-29,0.0100502897876046,0.0100502897876046
2011-06-30,-0.0019802432681454,-0.0019802432681454
2011-07-01,0.0218037922400213,0.0218037922400213
