Date,Weighted Industry Change,ARLP Change,BBL Change
2011-04-18,-0.001938492524393,0.0014870975873496,-0.002236306497118
2011-04-19,-0.0038365155088098,-0.0203999837239582,-0.0003686259561234
2011-04-20,0.0056705281926422,0.0121441305959617,0.0045838027312865
2011-04-21,-0.0024599021218293,0.0195974027308166,-0.0056470983168658
2011-04-25,-0.0083406723432559,-0.0118655444164047,-0.0070988937287222
2011-04-26,0.0090884301279085,0.0113167150474494,0.00836516426493
2011-04-27,0.0043200527061293,0.0091778577930576,0.0033404769782428
2011-04-28,0.0085411201177373,0.002018973654377,0.0097449173704107
2011-04-29,0.008303540758714,0.0233598058523939,0.0044147805436142
2011-05-02,-0.0072860326419805,-0.0238643385569345,-0.0031114709721434
2011-05-03,-0.0099386409499798,-0.034000015258789,-0.0035413471448138
2011-05-04,-0.0155673645445256,-0.0200156819784204,-0.0146497893909624
2011-05-05,-0.0172391690193609,-0.0255026227780713,-0.0149727235341997
2011-05-06,-0.0053827773438198,-0.006803646952431,-0.005178679325468
2011-05-09,0.0214902812817394,0.0446168948648896,0.016585903257366
2011-05-10,0.0048466646962631,-0.0139713345144966,0.0072754869816039
2011-05-11,-0.0215781026074044,-0.0355615448340125,-0.0189436978242871
2011-05-12,0.0040198193229469,-0.0109015566096784,0.00665364808973
2011-05-13,-0.0193056845077531,-0.0244584196416329,-0.0189070067520437
2011-05-16,0.0001804469987385,-0.0030311646676211,0.0006531933860108
2011-05-17,0.0043383442991105,-0.0071221725498389,0.0087707576161611
2011-05-18,0.0188746836672086,0.0392924320212884,0.0132950550943312
2011-05-19,-0.0102446196559938,0.0034722222222222,-0.0115399608992297
2011-05-20,-0.0044075696758269,0.0002763112105497,-0.0048101290430981
2011-05-23,0.0025946286610355,-0.0128761120817365,0.005944372620388
2011-05-24,-0.0052981827920887,0.0071255524162359,-0.0077356282136964
2011-05-25,0.0141480480856257,0.0185635166988197,0.013837057416977
2011-05-26,0.0098632109637461,0.0191172423674416,0.0089679593204741
2011-05-27,-0.0015665616899027,0.0013764414593366,-0.0019101175119137
2011-05-31,-0.0044092116801904,-0.0084354115181227,-0.004014045282542
2011-06-01,-0.0247642890017159,-0.0282153832038586,-0.0241679876276955
2011-06-02,0.0027206588920384,-0.0063639789855547,0.004186285774513
2011-06-03,0.0102133937603444,0.0005750563101105,0.0112359057502427
2011-06-06,-0.0125125550002303,-0.0100301557308187,-0.0131078776772757
2011-06-07,-0.0012153763878164,0.004629625030506,-0.0020821972975023
2011-06-08,-0.0070328095091053,-0.0213503081859375,-0.0041212118261494
2011-06-09,0.0102042740601888,0.0193974964824065,0.0095300272961649
2011-06-10,-0.0136075141701541,-0.0115912648888108,-0.0137516523139322
2011-06-13,-0.0064750508626793,-0.0186757171636226,-0.004020949595277
2011-06-14,0.0085819777098545,0.0266272090766789,0.0054133043791052
2011-06-15,-0.0174355473516387,-0.0158861933357516,-0.0175486290852136
2011-06-16,-0.0045851862854849,-0.0119718094946634,-0.0035514566245311
2011-06-17,-0.0122490723137968,-0.0214555999394014,-0.0104294223671149
2011-06-20,0.0114710307608299,0.0081127195771928,0.012003243334622
2011-06-21,0.0121835335183439,0.0207806192385858,0.011190533255294
2011-06-22,-0.003397738654565,0.0032921516974773,-0.0041711189433083
2011-06-23,0.0125178946407158,0.0249616641804548,0.0113604833937
2011-06-24,-0.0115504796500344,0.008783804403769,-0.0133422898178837
2011-06-27,0.0046161989606105,-0.0032149746666292,0.0051736541674776
2011-06-28,0.0138287317816298,0.0125887567223376,0.0139429007452445
2011-06-29,0.0056632004200474,0.015829107192745,0.0048278020554366
2011-06-30,0.0088365742198387,0.0020700741469742,0.0097850155033779
2011-07-01,0.0100654972678774,0.0006437731136456,0.0106992270415821
2011-07-05,-0.0018005008501444,-0.0001282325157753,-0.0021499705273988
2011-07-06,0.0017982774989807,-0.0142349102978886,0.0036833897341282
2011-07-07,0.0015603073000673,-0.0007546862716195,0.0019868827087393
2011-07-08,0.0078684275798697,0.0063734865449374,0.0079576215407774
2011-07-11,-0.0076259022416671,-0.0162258425646542,-0.0061784443538358
2011-07-12,0.0003602195319633,-0.006280300340403,0.0009193550746697
2011-07-13,0.0124988492220937,0.0005252910666553,0.013251872507338
2011-07-14,-0.0139041911692573,-0.0111950092914346,-0.0140301703312114
2011-07-15,-0.0023722749717128,-0.0082721225383282,-0.0017245590097454
2011-07-18,-0.002058912400018,0.008758145999285,-0.0028405124253454
2011-07-19,0.0065553074248018,0.0044883105803299,0.0066640011746604
2011-07-20,-0.0016861649399515,-0.0015190221086334,-0.001696870544084
2011-07-21,0.0154531000795231,-0.003156167187092,0.0167736708196595
2011-07-22,0.0008832786941872,0.0054416644323347,0.0001292950380512
2011-07-25,0.0035572928366801,0.0025578327407274,0.003666345020649
2011-07-26,-0.0055917066580504,-0.0296116539511725,-0.0005196948797318
2011-07-27,-0.0198613924967607,0.0050585362023998,-0.0238678676704147
2011-07-28,0.0034998634208505,-0.028278938468617,0.0054688012010015
2011-07-29,0.0104289496108964,0.0222251554765832,0.0096735351034663
2011-08-01,-0.0255818736865419,-0.0258565625278473,-0.0255397902157534
2011-08-02,-0.0129996462486762,-0.0209095471028888,-0.0122120078161593
2011-08-03,-0.0100851155080471,-0.0096942725710463,-0.0101279171247451
2011-08-04,-0.0345676454413406,-0.0211190476439586,-0.0355481503266553
2011-08-05,-0.0338553939173676,-0.0287155493666394,-0.0346542557869076
2011-08-08,-0.0522530735091441,-0.048662498037019,-0.0527786764317568
