Date,Weighted Industry Change,APOG Change,THRM Change
2011-04-18,0.017919375718365,0.0118168277594449,0.0282227227497013
2011-04-19,0.0062191658693639,0.0166787887271131,-0.0081181261109337
2011-04-20,0.0124229795122799,0.002105244419031,0.0320933318132046
2011-04-21,-0.015575918071374,-0.0242047289451168,-0.0063069481219902
2011-04-25,0.002519633933002,-0.0049574855093171,0.0042523331733961
2011-04-26,0.026130335695853,0.001415393059262,0.0300488706423799
2011-04-27,0.0234455707657627,-0.0070471762334403,0.0291130222189966
2011-04-28,0.0284179528358496,0.0313166956875527,0.0282152435455207
2011-04-29,0.0700825657492885,-0.0192308158362591,0.0839160669572756
2011-05-02,-0.0186063259646848,-0.0264439886894355,-0.0175439261822633
2011-05-03,0.0168999840997293,0.0021444379654274,0.0340095278663517
2011-05-04,-0.0071722385610044,-0.0121515424642755,-0.0046109465099203
2011-05-05,0.001009186897688,0.0072727550159798,-0.0017667126092822
2011-05-06,-0.0136809048374131,-0.0120396655574914,-0.0144843567024793
2011-05-09,0.008941636480944,-0.0050287136810747,0.0129793099381749
2011-05-10,0.0053614789087853,0.0107680987253491,0.0028902396886854
2011-05-11,-0.0203334672543047,-0.0263909291834942,-0.0179086929813204
2011-05-12,0.0227732312179025,0.0191458196128528,0.0249110356518063
2011-05-13,-0.0400695006780605,-0.039158808074461,-0.0403924273526342
2011-05-16,0.0018442942369772,0.0037878932922231,0.0012098336106661
2011-05-17,-0.0097883576399495,0.0007575931080557,-0.0140158162324784
2011-05-18,0.009894412973174,0.0007524626719742,0.014805779890308
2011-05-19,-0.0118268492087672,-0.0037312864540236,-0.0157289908095338
2011-05-20,-0.0088357935270644,-0.0181131902730689,-0.0037174391704663
2011-05-23,0.0027586788284965,0.0,0.0044360361015897
2011-05-24,-0.0158030456555056,-0.0140844565933036,-0.0164557104900733
2011-05-25,0.009436029127679,0.019154088579982,0.0064599731541905
2011-05-26,0.0249115358587568,0.0211432650282486,0.0263496038788801
2011-05-27,0.0232653516162364,-0.006116202153875,0.033707802293914
2011-05-31,-0.005575128034271,0.0076103063304884,-0.0130564519716607
2011-06-01,-0.0367035629346445,-0.0445955570164628,-0.0313631158116096
2011-06-02,-0.0083795844617386,0.0102848189011002,-0.0179566544088512
2011-06-03,0.0032150447493164,-0.026399993896484,0.021235516378129
2011-06-06,-0.0116140588566528,-0.0213991179728915,0.0044586400859205
2011-06-07,-0.0113568704526996,-0.0083264262751006,-0.0125234693751414
2011-06-08,-0.0141241594610022,-0.0092827516295759,-0.0159235670724318
2011-06-09,-0.0122346472042596,-0.0076206731067001,-0.0148004853797247
2011-06-10,0.0016518831297144,-0.0017226102222882,0.0039473960769477
2011-06-13,-0.0091130819570435,-0.0145922817047605,-0.0033068909466471
2011-06-14,0.0166021974165047,0.0137693501710745,0.0203813556107305
2011-06-15,0.0049388314400098,0.0103092682147488,-0.0006531827960646
2011-06-16,0.0082250659270554,0.0264504657746883,-0.0058746837063122
2011-06-17,-0.0014697294641714,0.0024773482655687,-0.0045484500933688
2011-06-20,0.008518632723478,0.0148637745895008,0.0019671956046682
2011-06-21,0.012547156596104,0.0096540533075544,0.0143043085430307
2011-06-22,-0.0121667841651785,-0.0117555305261727,-0.0135222177564579
2011-06-23,-0.00177944929008,-0.0231630115754121,0.0456047306784041
2011-06-24,-0.0022879186910789,-0.0210867989043496,0.0239747098814494
2011-06-27,0.0059855234190261,0.0090683970024279,0.0043184211058904
2011-06-28,0.0172577910526026,0.0138211441998186,0.0185184705513626
2011-06-29,0.0199361357811992,0.0007968309744902,0.0277443301530768
2011-06-30,0.013220462976296,0.0142518055063175,0.0122305814525065
2011-07-01,0.0106914532292913,0.0140187151897734,0.0063146159511937
2011-07-05,-0.0103427988990469,0.0015419817793063,-0.0187713267996696
2011-07-06,0.007681184425494,-0.00076865708731,0.0168116472769474
2011-07-07,0.0066835818691229,-0.0076336166837964,0.0180790780243489
2011-07-08,-0.0055790855951504,-0.0117370595981541,0.0
2011-07-11,-0.0135557725010722,-0.009630809405433,-0.0175736664778059
2011-07-12,0.0077137641883028,-0.0138099163687306,0.0201845662277858
2011-07-13,-0.0116935530013056,-0.018744945992656,-0.007274821601005
2011-07-14,0.0080657667428497,0.0082644152597344,0.0078784122702299
2011-07-15,-0.0056182335595055,0.0056910320112795,-0.0150000254313151
2011-07-18,-0.0074757911887925,0.0016207053356609,-0.0118912279890777
2011-07-19,-0.0092468797371802,-0.0104333959906032,-0.0084985621400689
2011-07-20,-0.0046625908461871,-0.004858333422137,-0.0045740380076025
2011-07-21,-0.0056828627284408,-0.004858333422137,-0.0096810980332693
2011-07-22,0.0127299586773118,0.0040683637827551,0.020126532130764
2011-07-25,-0.0035936995973159,-0.0098199576871416,0.002279254545087
2011-07-26,-0.0294284854465065,-0.0066335716912782,-0.0374361814424165
2011-07-27,-0.0249756348919572,-0.0418760483728548,-0.0107206846551936
2011-07-28,0.0021326388033319,0.0017406839131492,0.0023980220291902
2011-07-29,0.0112358342697432,0.0070360531672175,0.0193939208984375
2011-08-01,-0.0082911884157868,-0.0249999958893347,0.0
2011-08-02,-0.0419101976188472,-0.0328888787163629,-0.0487090250270095
2011-08-03,-0.0077542949061809,-0.0036697213993501,-0.0135218939467297
2011-08-04,-0.0488049866481682,-0.0541044691472577,-0.0455408126451058
2011-08-05,0.0054836758229825,0.0126213701003478,-0.0032765524236513
2011-08-08,-0.0419496120020583,-0.0625000118263184,-0.0321004913186355
2011-08-09,-0.0358055027871945,0.0484536367289284,-0.0726643740203802
